source_id,target_id,rel_type
ART-10-INC-1,ACT-TITULAR,REFERS_TO_ACTOR
ART-11-INC-1,ACT-TITULAR,REFERS_TO_ACTOR
ART-11-INC-2,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-11-INC-2,ACT-GOBIERNO,REFERS_TO_ACTOR
ART-11-INC-2,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-11-INC-2,ACT-TITULAR,REFERS_TO_ACTOR
ART-12-INC-1,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-12-INC-1,ACT-TITULAR,REFERS_TO_ACTOR
ART-12-LIT-c,ACT-TITULAR,REFERS_TO_ACTOR
ART-12-LIT-d,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-12-PAR-1,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-12-PAR-1,ACT-TITULAR,REFERS_TO_ACTOR
ART-13-LIT-a,ACT-TITULAR,REFERS_TO_ACTOR
ART-13-LIT-c,ACT-TITULAR,REFERS_TO_ACTOR
ART-14-INC-1,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-14-INC-1,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-14-INC-1,ACT-TITULAR,REFERS_TO_ACTOR
ART-14-INC-2,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-14-INC-2,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-14-PAR-1,ACT-GOBIERNO,REFERS_TO_ACTOR
ART-15-INC-1,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-15-INC-1,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-15-INC-1,ACT-TITULAR,REFERS_TO_ACTOR
ART-15-NUM-1,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-15-NUM-1,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-15-NUM-1,ACT-TITULAR,REFERS_TO_ACTOR
ART-16-INC-1,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-16-INC-1,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-16-INC-1,ACT-SIC,REFERS_TO_ACTOR
ART-16-INC-1,ACT-TITULAR,REFERS_TO_ACTOR
ART-17-INC-1,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-17-LIT-a,ACT-TITULAR,REFERS_TO_ACTOR
ART-17-LIT-b,ACT-TITULAR,REFERS_TO_ACTOR
ART-17-LIT-c,ACT-TITULAR,REFERS_TO_ACTOR
ART-17-LIT-e,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-17-LIT-f,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-17-LIT-g,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-17-LIT-h,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-17-LIT-i,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-17-LIT-i,ACT-TITULAR,REFERS_TO_ACTOR
ART-17-LIT-l,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-17-LIT-l,ACT-TITULAR,REFERS_TO_ACTOR
ART-17-LIT-m,ACT-TITULAR,REFERS_TO_ACTOR
ART-17-LIT-n,ACT-TITULAR,REFERS_TO_ACTOR
ART-17-LIT-o,ACT-SIC,REFERS_TO_ACTOR
ART-18-INC-1,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-18-LIT-a,ACT-TITULAR,REFERS_TO_ACTOR
ART-18-LIT-d,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-18-LIT-e,ACT-TITULAR,REFERS_TO_ACTOR
ART-18-LIT-f,ACT-TITULAR,REFERS_TO_ACTOR
ART-18-LIT-i,ACT-SIC,REFERS_TO_ACTOR
ART-18-LIT-i,ACT-TITULAR,REFERS_TO_ACTOR
ART-18-LIT-k,ACT-SIC,REFERS_TO_ACTOR
ART-18-LIT-k,ACT-TITULAR,REFERS_TO_ACTOR
ART-18-LIT-l,ACT-SIC,REFERS_TO_ACTOR
ART-18-PAR-1,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-18-PAR-1,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-19-INC-1,ACT-DELEGATURA,REFERS_TO_ACTOR
ART-19-INC-1,ACT-SIC,REFERS_TO_ACTOR
ART-19-PAR-1,ACT-GOBIERNO,REFERS_TO_ACTOR
ART-19-PAR-1,ACT-SIC,REFERS_TO_ACTOR
ART-2-INC-2,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-2-INC-2,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-2-INC-4,ACT-TITULAR,REFERS_TO_ACTOR
ART-20-INC-1,ACT-SIC,REFERS_TO_ACTOR
ART-21-INC-1,ACT-SIC,REFERS_TO_ACTOR
ART-21-LIT-c,ACT-TITULAR,REFERS_TO_ACTOR
ART-21-LIT-e,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-21-LIT-e,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-21-LIT-f,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-21-LIT-f,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-21-LIT-j,ACT-TITULAR,REFERS_TO_ACTOR
ART-22-INC-1,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-22-INC-1,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-22-INC-1,ACT-SIC,REFERS_TO_ACTOR
ART-23-INC-1,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-23-INC-1,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-23-INC-1,ACT-SIC,REFERS_TO_ACTOR
ART-23-LIT-c,ACT-SIC,REFERS_TO_ACTOR
ART-23-PAR-1,ACT-PROCURADURIA,REFERS_TO_ACTOR
ART-23-PAR-1,ACT-SIC,REFERS_TO_ACTOR
ART-24-LIT-d,ACT-SIC,REFERS_TO_ACTOR
ART-24-LIT-e,ACT-SIC,REFERS_TO_ACTOR
ART-25-INC-2,ACT-SIC,REFERS_TO_ACTOR
ART-25-INC-3,ACT-SIC,REFERS_TO_ACTOR
ART-25-PAR-1,ACT-GOBIERNO,REFERS_TO_ACTOR
ART-25-PAR-1,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-26-INC-1,ACT-SIC,REFERS_TO_ACTOR
ART-26-LIT-a,ACT-TITULAR,REFERS_TO_ACTOR
ART-26-LIT-b,ACT-TITULAR,REFERS_TO_ACTOR
ART-26-LIT-e,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-26-LIT-e,ACT-TITULAR,REFERS_TO_ACTOR
ART-26-PAR-1,ACT-SIC,REFERS_TO_ACTOR
ART-27-INC-1,ACT-GOBIERNO,REFERS_TO_ACTOR
ART-3-LIT-a,ACT-TITULAR,REFERS_TO_ACTOR
ART-3-LIT-d,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-3-LIT-d,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-3-LIT-e,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-3-LIT-f,ACT-TITULAR,REFERS_TO_ACTOR
ART-4-INC-2,ACT-TITULAR,REFERS_TO_ACTOR
ART-4-LIT-b,ACT-TITULAR,REFERS_TO_ACTOR
ART-4-LIT-c,ACT-TITULAR,REFERS_TO_ACTOR
ART-4-LIT-e,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-4-LIT-e,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-4-LIT-e,ACT-TITULAR,REFERS_TO_ACTOR
ART-4-LIT-f,ACT-TITULAR,REFERS_TO_ACTOR
ART-4-LIT-g,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-4-LIT-g,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-5-INC-1,ACT-TITULAR,REFERS_TO_ACTOR
ART-6-LIT-a,ACT-TITULAR,REFERS_TO_ACTOR
ART-6-LIT-b,ACT-TITULAR,REFERS_TO_ACTOR
ART-6-LIT-c,ACT-TITULAR,REFERS_TO_ACTOR
ART-6-LIT-e,ACT-TITULAR,REFERS_TO_ACTOR
ART-7-INC-3,ACT-GOBIERNO,REFERS_TO_ACTOR
ART-8-INC-1,ACT-TITULAR,REFERS_TO_ACTOR
ART-8-LIT-a,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-8-LIT-a,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-8-LIT-b,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-8-LIT-c,ACT-ENCARGADO,REFERS_TO_ACTOR
ART-8-LIT-c,ACT-RESPONSABLE,REFERS_TO_ACTOR
ART-8-LIT-d,ACT-SIC,REFERS_TO_ACTOR
ART-8-LIT-e,ACT-SIC,REFERS_TO_ACTOR
ART-9-INC-1,ACT-TITULAR,REFERS_TO_ACTOR
