clause_id,clause_ref,article_id,article_number,marker,kind,level,parent_clause_id,text,source_document
CL_1_1,1(1),ART_1,1,1,numeric,1,,This Law may be cited as the “Data Protection Law 2020”.,KB 2/UAE/DIFC Data Protection Law.pdf
CL_1_2,1(2),ART_1,1,2,numeric,1,,"This Law repeals and replaces the Data Protection Law, being Law No. 1 of 2007, as it was in force immediately prior to the commencement of this Law (“the Previous Law”), and all Regulations made under the Previous Law from commencement of this Law.",KB 2/UAE/DIFC Data Protection Law.pdf
CL_1_3,1(3),ART_1,1,3,numeric,1,,"Except where otherwise provided in this Law, anything done or omitted to be done pursuant to or for the purposes of the Previous Law is deemed to be done or omitted to be done pursuant to or for the purposes of this Law.",KB 2/UAE/DIFC Data Protection Law.pdf
CL_1_4,1(4),ART_1,1,4,numeric,1,,"Without limiting the generality of Article 1(3) and Article 4, and subject only to Article 1(5), such repeal and replacement shall not affect: under the Previous Law, and any such legal proceeding shall be instituted, continued or enforced, including any penalty, fine or forfeiture, under this Law.",KB 2/UAE/DIFC Data Protection Law.pdf
CL_1_4_a,1(4)(a),ART_1,1,a,alpha,2,CL_1_4,"any right, privilege, remedy, obligation or liability accrued to or incurred by any person; or",KB 2/UAE/DIFC Data Protection Law.pdf
CL_1_4_b,1(4)(b),ART_1,1,b,alpha,2,CL_1_4,"any investigation, legal or administrative proceeding commenced, or to be commenced, in respect of any such right, remedy, obligation or liability,",KB 2/UAE/DIFC Data Protection Law.pdf
CL_1_5,1(5),ART_1,1,5,numeric,1,,"Where there is no equivalent provision in this Law to a provision in the Previous Law, a relevant provision of the previous Law is deemed to survive the repeal and replacement under this Article 1 until such time as necessary for the purpose of any investigation, legal or administrative proceedings specified in Article 1(4)(b).",KB 2/UAE/DIFC Data Protection Law.pdf
CL_1_6,1(6),ART_1,1,6,numeric,1,,"Unless otherwise provided, any reference to the Previous Law includes Regulations made under the Previous Law.",KB 2/UAE/DIFC Data Protection Law.pdf
CL_5_a,5(a),ART_5,5,a,alpha,1,,provide standards and controls for the Processing and free movement of Personal Data by a Controller or Processor; and,KB 2/UAE/DIFC Data Protection Law.pdf
CL_5_b,5(b),ART_5,5,b,alpha,1,,"protect the fundamental rights of Data Subjects, including how such rights apply to the protection of Personal Data in emerging technologies.",KB 2/UAE/DIFC Data Protection Law.pdf
