part_id,part_number,title,source_document
PART_1,1,INTRODUCTION AND SCOPE,KB 2/UAE/DIFC Data Protection Law.pdf
PART_2,2,GENERAL REQUIREMENTS,KB 2/UAE/DIFC Data Protection Law.pdf
PART_3,3,JOINT CONTROLLERS AND PROCESSORS,KB 2/UAE/DIFC Data Protection Law.pdf
PART_4,4,DATA EXPORT AND SHARING,KB 2/UAE/DIFC Data Protection Law.pdf
PART_5,5,INFORMATION PROVISION,KB 2/UAE/DIFC Data Protection Law.pdf
PART_6,6,RIGHTS OF DATA SUBJECTS,KB 2/UAE/DIFC Data Protection Law.pdf
PART_7,7,PERSONAL DATA BREACHES,KB 2/UAE/DIFC Data Protection Law.pdf
PART_8,8,THE COMMISSIONER,KB 2/UAE/DIFC Data Protection Law.pdf
PART_9,9,"REMEDIES, LIABILITY AND SANCTIONS",KB 2/UAE/DIFC Data Protection Law.pdf
PART_10,10,GENERAL EXEMPTIONS,KB 2/UAE/DIFC Data Protection Law.pdf
