cweweakness_id,rank,cwe_id,name,rank_change_vs_2022,list,source_document
CWE-787,1,CWE-787,Out-of-bounds Write,0,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-79,2,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),0,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-89,3,CWE-89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),0,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-416,4,CWE-416,Use After Free,3,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-78,5,CWE-78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),1,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-20,6,CWE-20,Improper Input Validation,-2,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-125,7,CWE-125,Out-of-bounds Read,-2,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-22,8,CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),0,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-352,9,CWE-352,Cross-Site Request Forgery (CSRF),0,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-434,10,CWE-434,Unrestricted Upload of File with Dangerous Type,0,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-862,11,CWE-862,Missing Authorization,5,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-476,12,CWE-476,NULL Pointer Dereference,-1,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-287,13,CWE-287,Improper Authentication,1,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-190,14,CWE-190,Integer Overflow or Wraparound,-1,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-502,15,CWE-502,Deserialization of Untrusted Data,-3,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-77,16,CWE-77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),1,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-119,17,CWE-119,Improper Restriction of Operations within the Bounds of a Memory Buffer,2,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-798,18,CWE-798,Use of Hard-coded Credentials,-3,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-918,19,CWE-918,Server-Side Request Forgery (SSRF),2,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-306,20,CWE-306,Missing Authentication for Critical Function,-2,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-362,21,CWE-362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),1,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-269,22,CWE-269,Improper Privilege Management,7,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-94,23,CWE-94,Improper Control of Generation of Code ('Code Injection'),2,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-863,24,CWE-863,Incorrect Authorization,4,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
CWE-276,25,CWE-276,Incorrect Default Permissions,-5,2023 CWE Top 25,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
