exhibit_id,kind,label,caption,source_line,source_document
Figure_2_1,Figure,Figure 2-1,"The the purpose, scope, and how to use the document. sections that make up the DO-178C standard RTCA was founded back in 1935. They are an independent standards development",370,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_2_2,Figure,Figure 2-2,"customer requirements, and how these artifacts flow into the software life cycle. Information flow between system In the software life cycle, requirements decomposition continues, software verification",450,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Table_2_1,Table,Table 2-1,DO-178C Development Assurance Levels (DAL),506,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_2_3,Figure,Figure 2-3,ARP4754A V-model development process,546,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_2_4,Figure,Figure 2-4,DO-178C example of a software project using development sequences.,584,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Table_2_2,Table,Table 2-2,Table A-1 Software planning process,639,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Table_2_3,Table,Table 2-3,DO-178C Table A-2 Software development process,713,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_2_5,Figure,Figure 2-5,Requirements traceability through DO-178C software levels (D-A),759,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_2_6,Figure,Figure 2-6,Software testing activities,822,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Table_2_4,Table,Table 2-4,DO-178C Table A-3 Verification of outputs of software requirements process,857,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Table_2_5,Table,Table 2-5,DO-178C Table A-4 Verification of outputs of software design process,865,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Table_2_6,Table,Table 2-6,DO-178C Table A-5 Verification of outputs of software coding and integration processes,879,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Table_2_7,Table,Table 2-7,DO-178C Table A-6 Testing of outputs of integration process,888,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Table_2_8,Table,Table 2-8,DO-178C Table A-7 Verification of process results,902,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Table_2_9,Table,Table 2-9,DO-178C Table A-8 Software configuration management process,948,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Table_2_10,Table,Table 2-10,DO-178C SCM process activities associated with CC1 and CC2 data,973,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Table_2_11,Table,Table 2-11,DO-178C Table A-9 Software Quality Assurance Process,1001,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Table_2_12,Table,Table 2-12,DO-178C Table A-10 Certification liaison process,1039,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Table_2_13,Table,Table 2-13,DO-178C Tool qualification level determination,1160,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_3_7,Figure,Figure 3-7,Parasoft C/C++test and DTP dashboardParasoft,1334,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_3_8,Figure,Figure 3-8,The Guidelines Compliance Summary is the primary record of overall project compliance.,1480,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_3_9,Figure,Figure 3-9,The Guideline Enforcement Plan demonstrates how each MISRA guideline is verified.,1496,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_3_10,Figure,Figure 3-10,The Deviations Report documents all of the approved deviation permits.,1501,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_3_11,Figure,Figure 3-11,The Guideline Re-categorization Plan communicates how the guidelines are to be applied as part of the stakeholder/supplier relationship.,1512,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_3_12,Figure,Figure 3-12,SEI CERT vulnerability priority and cost diagram,1562,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_3_13,Figure,Figure 3-13,Parasoft DTP SEI CERT C Compliance dashboard,1608,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_3_14,Figure,Figure 3-14,Parasoft's CERT Guidelines Compliance Report summary,1616,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_3_15,Figure,Figure 3-15,The 2023 CWE Top 25,1713,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_3_16,Figure,Figure 3-16,Parasoft DTP CWE Compliance dashboard,1767,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_3_17,Figure,Figure 3-17,Parasoft's CWE Guidelines Compliance Report summary,1789,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_4_1,Figure,Figure 4-1,The V-model development process Veriﬁes showing the relationship between each phase Module Unit and the verification and Design Testing,1827,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_4_2,Figure,Figure 4-2,"A high-level view of deploying, executing, and observing tests from host to target in Parasoft C/C++ testing solutions.",2032,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
