source_id,target_id,rel_type
DOC1,S001,HAS_SECTION
S001,S002,HAS_SUBSECTION
S002,S003,HAS_SUBSECTION
S002,S004,HAS_SUBSECTION
S002,S005,HAS_SUBSECTION
S002,S006,HAS_SUBSECTION
S006,S007,HAS_SUBSECTION
S006,S008,HAS_SUBSECTION
S006,S009,HAS_SUBSECTION
S006,S010,HAS_SUBSECTION
S002,S011,HAS_SUBSECTION
S002,S012,HAS_SUBSECTION
S001,S013,HAS_SUBSECTION
S013,S014,HAS_SUBSECTION
S013,S015,HAS_SUBSECTION
S013,S016,HAS_SUBSECTION
S013,S017,HAS_SUBSECTION
S013,S018,HAS_SUBSECTION
S013,S019,HAS_SUBSECTION
S013,S020,HAS_SUBSECTION
S013,S021,HAS_SUBSECTION
S013,S022,HAS_SUBSECTION
S013,S023,HAS_SUBSECTION
S013,S024,HAS_SUBSECTION
DOC1,S025,HAS_SECTION
S025,S026,HAS_SUBSECTION
S026,S027,HAS_SUBSECTION
S026,S028,HAS_SUBSECTION
S026,S029,HAS_SUBSECTION
S029,S030,HAS_SUBSECTION
S026,S031,HAS_SUBSECTION
S031,S032,HAS_SUBSECTION
S031,S033,HAS_SUBSECTION
S026,S034,HAS_SUBSECTION
S034,S035,HAS_SUBSECTION
S025,S036,HAS_SUBSECTION
S036,S037,HAS_SUBSECTION
S037,S038,HAS_SUBSECTION
S037,S039,HAS_SUBSECTION
S037,S040,HAS_SUBSECTION
S037,S041,HAS_SUBSECTION
S036,S042,HAS_SUBSECTION
S042,S043,HAS_SUBSECTION
S042,S044,HAS_SUBSECTION
S042,S045,HAS_SUBSECTION
S042,S046,HAS_SUBSECTION
S036,S047,HAS_SUBSECTION
S047,S048,HAS_SUBSECTION
S047,S049,HAS_SUBSECTION
S025,S050,HAS_SUBSECTION
S050,S051,HAS_SUBSECTION
S050,S052,HAS_SUBSECTION
S050,S053,HAS_SUBSECTION
S025,S054,HAS_SUBSECTION
S054,S055,HAS_SUBSECTION
S054,S056,HAS_SUBSECTION
S054,S057,HAS_SUBSECTION
S054,S058,HAS_SUBSECTION
S054,S059,HAS_SUBSECTION
S059,S060,HAS_SUBSECTION
S054,S061,HAS_SUBSECTION
S061,S062,HAS_SUBSECTION
S061,S063,HAS_SUBSECTION
S054,S064,HAS_SUBSECTION
S025,S065,HAS_SUBSECTION
S065,S066,HAS_SUBSECTION
S065,S067,HAS_SUBSECTION
S067,S068,HAS_SUBSECTION
S067,S069,HAS_SUBSECTION
S067,S070,HAS_SUBSECTION
S067,S071,HAS_SUBSECTION
S065,S072,HAS_SUBSECTION
S025,S073,HAS_SUBSECTION
S073,S074,HAS_SUBSECTION
S073,S075,HAS_SUBSECTION
S073,S076,HAS_SUBSECTION
S073,S077,HAS_SUBSECTION
S077,S078,HAS_SUBSECTION
S077,S079,HAS_SUBSECTION
S073,S080,HAS_SUBSECTION
S025,S081,HAS_SUBSECTION
S081,S082,HAS_SUBSECTION
S081,S083,HAS_SUBSECTION
DOC1,S084,HAS_SECTION
S084,S085,HAS_SUBSECTION
S085,S086,HAS_SUBSECTION
S085,S087,HAS_SUBSECTION
S087,S088,HAS_SUBSECTION
S085,S089,HAS_SUBSECTION
S085,S090,HAS_SUBSECTION
S085,S091,HAS_SUBSECTION
S085,S092,HAS_SUBSECTION
S084,S093,HAS_SUBSECTION
S093,S094,HAS_SUBSECTION
S093,S095,HAS_SUBSECTION
S093,S096,HAS_SUBSECTION
S093,S097,HAS_SUBSECTION
S093,S098,HAS_SUBSECTION
S093,S099,HAS_SUBSECTION
S093,S100,HAS_SUBSECTION
S093,S101,HAS_SUBSECTION
S101,S102,HAS_SUBSECTION
S101,S103,HAS_SUBSECTION
S101,S104,HAS_SUBSECTION
S084,S105,HAS_SUBSECTION
S084,S106,HAS_SUBSECTION
DOC1,S107,HAS_SECTION
S107,S108,HAS_SUBSECTION
S108,S109,HAS_SUBSECTION
S108,S110,HAS_SUBSECTION
S108,S111,HAS_SUBSECTION
S108,S112,HAS_SUBSECTION
S108,S113,HAS_SUBSECTION
S108,S114,HAS_SUBSECTION
