source_id,target_id,rel_type
S034,CWE-787,LISTS_WEAKNESS
S034,CWE-79,LISTS_WEAKNESS
S034,CWE-89,LISTS_WEAKNESS
S034,CWE-416,LISTS_WEAKNESS
S034,CWE-78,LISTS_WEAKNESS
S034,CWE-20,LISTS_WEAKNESS
S034,CWE-125,LISTS_WEAKNESS
S034,CWE-22,LISTS_WEAKNESS
S034,CWE-352,LISTS_WEAKNESS
S034,CWE-434,LISTS_WEAKNESS
S034,CWE-862,LISTS_WEAKNESS
S034,CWE-476,LISTS_WEAKNESS
S034,CWE-287,LISTS_WEAKNESS
S034,CWE-190,LISTS_WEAKNESS
S034,CWE-502,LISTS_WEAKNESS
S034,CWE-77,LISTS_WEAKNESS
S034,CWE-119,LISTS_WEAKNESS
S034,CWE-798,LISTS_WEAKNESS
S034,CWE-918,LISTS_WEAKNESS
S034,CWE-306,LISTS_WEAKNESS
S034,CWE-362,LISTS_WEAKNESS
S034,CWE-269,LISTS_WEAKNESS
S034,CWE-94,LISTS_WEAKNESS
S034,CWE-863,LISTS_WEAKNESS
S034,CWE-276,LISTS_WEAKNESS
