source_id,target_id,rel_type
SS12,TC1,DEFINES_TOOL_CRITERION
SS12,TC2,DEFINES_TOOL_CRITERION
SS12,TC3,DEFINES_TOOL_CRITERION
SS12,TQL1,DEFINES_TOOL_QUALIFICATION_LEVEL
SS12,TQL2,DEFINES_TOOL_QUALIFICATION_LEVEL
SS12,TQL3,DEFINES_TOOL_QUALIFICATION_LEVEL
SS12,TQL4,DEFINES_TOOL_QUALIFICATION_LEVEL
SS12,TQL5,DEFINES_TOOL_QUALIFICATION_LEVEL
RS_DO330,TQS1,PRESCRIBES_STEP
RS_DO330,TQS2,PRESCRIBES_STEP
RS_DO330,TQS3,PRESCRIBES_STEP
RS_DO330,TQS4,PRESCRIBES_STEP
RS_DO330,TQS5,PRESCRIBES_STEP
RS_DO330,TQS6,PRESCRIBES_STEP
RS_DO330,TQS7,PRESCRIBES_STEP
RS_DO330,TQS8,PRESCRIBES_STEP
S085,RS_DO330,REFERENCES_STANDARD
