ecompetence_id,code,name,ecfarea_id,source_document
ECF-A.1,A.1.,Information Systems and Business Strategy Alignment,ECFA-A,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-A.2,A.2.,Service Level Management,ECFA-A,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-A.3,A.3.,Business Plan Development,ECFA-A,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-A.4,A.4.,Product/Service Planning,ECFA-A,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-A.5,A.5.,Architecture Design,ECFA-A,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-A.6,A.6.,Application Design,ECFA-A,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-A.7,A.7.,Technology Trend Monitoring,ECFA-A,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-A.8,A.8.,Sustainability Management,ECFA-A,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-A.9,A.9.,Innovating,ECFA-A,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-A.10,A.10.,User Experience,ECFA-A,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-B.1,B.1.,Application Development,ECFA-B,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-B.2,B.2.,Component Integration,ECFA-B,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-B.3,B.3.,Testing,ECFA-B,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-B.4,B.4.,Solution Deployment,ECFA-B,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-B.5,B.5.,Documentation Production,ECFA-B,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-B.6,B.6.,ICT Systems Engineering,ECFA-B,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-C.1,C.1.,User Support,ECFA-C,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-C.2,C.2.,Change Support,ECFA-C,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-C.3,C.3.,Service Delivery,ECFA-C,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-C.4,C.4.,Problem Management,ECFA-C,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-C.5,C.5.,Systems Management,ECFA-C,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-D.1,D.1.,Information Security Strategy Development,ECFA-D,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-D.2,D.2.,ICT Quality Strategy Development,ECFA-D,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
ECF-D.3,D.3.,Education and Training Provision,ECFA-D,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
