source_id,target_id,rel_type,number
DOC-ECSF-UM,SEC-ES,HAS_SECTION,
DOC-ECSF-UM,SEC-1,HAS_SECTION,1
DOC-ECSF-UM,SEC-2,HAS_SECTION,2
DOC-ECSF-UM,SEC-3,HAS_SECTION,3
DOC-ECSF-UM,SEC-4,HAS_SECTION,4
DOC-ECSF-UM,SEC-5,HAS_SECTION,5
DOC-ECSF-UM,SEC-A,HAS_SECTION,A
DOC-ECSF-UM,SEC-B,HAS_SECTION,B
SEC-1,SEC-1.1,HAS_SUBSECTION,1.1
SEC-1,SEC-1.2,HAS_SUBSECTION,1.2
SEC-2,SEC-2.1,HAS_SUBSECTION,2.1
SEC-2.1,SEC-2.1.1,HAS_SUBSECTION,2.1.1
SEC-2.1,SEC-2.1.2,HAS_SUBSECTION,2.1.2
SEC-2.1,SEC-2.1.3,HAS_SUBSECTION,2.1.3
SEC-2.1,SEC-2.1.4,HAS_SUBSECTION,2.1.4
SEC-2,SEC-2.2,HAS_SUBSECTION,2.2
SEC-3,SEC-3.1,HAS_SUBSECTION,3.1
SEC-3,SEC-3.2,HAS_SUBSECTION,3.2
SEC-3,SEC-3.3,HAS_SUBSECTION,3.3
SEC-3,SEC-3.4,HAS_SUBSECTION,3.4
SEC-3,SEC-3.5,HAS_SUBSECTION,3.5
SEC-A,SEC-A.1,HAS_SUBSECTION,A.1
SEC-A,SEC-A.2,HAS_SUBSECTION,A.2
SEC-A,SEC-A.3,HAS_SUBSECTION,A.3
SEC-A,SEC-A.4,HAS_SUBSECTION,A.4
SEC-B,SEC-B.1,HAS_SUBSECTION,B.1
SEC-B,SEC-B.2,HAS_SUBSECTION,B.2
SEC-B,SEC-B.3,HAS_SUBSECTION,B.3
SEC-B,SEC-B.4,HAS_SUBSECTION,B.4
SEC-B,SEC-B.5,HAS_SUBSECTION,B.5
SEC-B,SEC-B.6,HAS_SUBSECTION,B.6
SEC-B,SEC-B.7,HAS_SUBSECTION,B.7
