source_id,target_id,rel_type
ECFA-A,ECF-A.1,HAS_COMPETENCE
ECFA-A,ECF-A.2,HAS_COMPETENCE
ECFA-A,ECF-A.3,HAS_COMPETENCE
ECFA-A,ECF-A.4,HAS_COMPETENCE
ECFA-A,ECF-A.5,HAS_COMPETENCE
ECFA-A,ECF-A.6,HAS_COMPETENCE
ECFA-A,ECF-A.7,HAS_COMPETENCE
ECFA-A,ECF-A.8,HAS_COMPETENCE
ECFA-A,ECF-A.9,HAS_COMPETENCE
ECFA-A,ECF-A.10,HAS_COMPETENCE
ECFA-B,ECF-B.1,HAS_COMPETENCE
ECFA-B,ECF-B.2,HAS_COMPETENCE
ECFA-B,ECF-B.3,HAS_COMPETENCE
ECFA-B,ECF-B.4,HAS_COMPETENCE
ECFA-B,ECF-B.5,HAS_COMPETENCE
ECFA-B,ECF-B.6,HAS_COMPETENCE
ECFA-C,ECF-C.1,HAS_COMPETENCE
ECFA-C,ECF-C.2,HAS_COMPETENCE
ECFA-C,ECF-C.3,HAS_COMPETENCE
ECFA-C,ECF-C.4,HAS_COMPETENCE
ECFA-C,ECF-C.5,HAS_COMPETENCE
ECFA-D,ECF-D.1,HAS_COMPETENCE
ECFA-D,ECF-D.2,HAS_COMPETENCE
ECFA-D,ECF-D.3,HAS_COMPETENCE
ECFA-D,ECF-D.4,HAS_COMPETENCE
ECFA-D,ECF-D.5,HAS_COMPETENCE
ECFA-D,ECF-D.6,HAS_COMPETENCE
ECFA-D,ECF-D.7,HAS_COMPETENCE
ECFA-D,ECF-D.8,HAS_COMPETENCE
ECFA-D,ECF-D.9,HAS_COMPETENCE
ECFA-D,ECF-D.10,HAS_COMPETENCE
ECFA-D,ECF-D.11,HAS_COMPETENCE
ECFA-E,ECF-E.1,HAS_COMPETENCE
ECFA-E,ECF-E.2,HAS_COMPETENCE
ECFA-E,ECF-E.3,HAS_COMPETENCE
ECFA-E,ECF-E.4,HAS_COMPETENCE
ECFA-E,ECF-E.5,HAS_COMPETENCE
ECFA-E,ECF-E.6,HAS_COMPETENCE
ECFA-E,ECF-E.7,HAS_COMPETENCE
ECFA-E,ECF-E.8,HAS_COMPETENCE
ECFA-E,ECF-E.9,HAS_COMPETENCE
