source_id,target_id,rel_type
RP-01,PC-01,HAS_COMPONENT
RP-01,PC-02,HAS_COMPONENT
RP-01,PC-03,HAS_COMPONENT
RP-01,PC-04,HAS_COMPONENT
RP-01,PC-05,HAS_COMPONENT
RP-01,PC-06,HAS_COMPONENT
RP-01,PC-07,HAS_COMPONENT
RP-01,PC-08,HAS_COMPONENT
RP-01,PC-09,HAS_COMPONENT
RP-02,PC-01,HAS_COMPONENT
RP-02,PC-02,HAS_COMPONENT
RP-02,PC-03,HAS_COMPONENT
RP-02,PC-04,HAS_COMPONENT
RP-02,PC-05,HAS_COMPONENT
RP-02,PC-06,HAS_COMPONENT
RP-02,PC-07,HAS_COMPONENT
RP-02,PC-08,HAS_COMPONENT
RP-02,PC-09,HAS_COMPONENT
RP-03,PC-01,HAS_COMPONENT
RP-03,PC-02,HAS_COMPONENT
RP-03,PC-03,HAS_COMPONENT
RP-03,PC-04,HAS_COMPONENT
RP-03,PC-05,HAS_COMPONENT
RP-03,PC-06,HAS_COMPONENT
RP-03,PC-07,HAS_COMPONENT
RP-03,PC-08,HAS_COMPONENT
RP-03,PC-09,HAS_COMPONENT
RP-04,PC-01,HAS_COMPONENT
RP-04,PC-02,HAS_COMPONENT
RP-04,PC-03,HAS_COMPONENT
RP-04,PC-04,HAS_COMPONENT
RP-04,PC-05,HAS_COMPONENT
RP-04,PC-06,HAS_COMPONENT
RP-04,PC-07,HAS_COMPONENT
RP-04,PC-08,HAS_COMPONENT
RP-04,PC-09,HAS_COMPONENT
RP-05,PC-01,HAS_COMPONENT
RP-05,PC-02,HAS_COMPONENT
RP-05,PC-03,HAS_COMPONENT
RP-05,PC-04,HAS_COMPONENT
RP-05,PC-05,HAS_COMPONENT
RP-05,PC-06,HAS_COMPONENT
RP-05,PC-07,HAS_COMPONENT
RP-05,PC-08,HAS_COMPONENT
RP-05,PC-09,HAS_COMPONENT
RP-06,PC-01,HAS_COMPONENT
RP-06,PC-02,HAS_COMPONENT
RP-06,PC-03,HAS_COMPONENT
RP-06,PC-04,HAS_COMPONENT
RP-06,PC-05,HAS_COMPONENT
RP-06,PC-06,HAS_COMPONENT
RP-06,PC-07,HAS_COMPONENT
RP-06,PC-08,HAS_COMPONENT
RP-06,PC-09,HAS_COMPONENT
RP-07,PC-01,HAS_COMPONENT
RP-07,PC-02,HAS_COMPONENT
RP-07,PC-03,HAS_COMPONENT
RP-07,PC-04,HAS_COMPONENT
RP-07,PC-05,HAS_COMPONENT
RP-07,PC-06,HAS_COMPONENT
RP-07,PC-07,HAS_COMPONENT
RP-07,PC-08,HAS_COMPONENT
RP-07,PC-09,HAS_COMPONENT
RP-08,PC-01,HAS_COMPONENT
RP-08,PC-02,HAS_COMPONENT
RP-08,PC-03,HAS_COMPONENT
RP-08,PC-04,HAS_COMPONENT
RP-08,PC-05,HAS_COMPONENT
RP-08,PC-06,HAS_COMPONENT
RP-08,PC-07,HAS_COMPONENT
RP-08,PC-08,HAS_COMPONENT
RP-08,PC-09,HAS_COMPONENT
RP-09,PC-01,HAS_COMPONENT
RP-09,PC-02,HAS_COMPONENT
RP-09,PC-03,HAS_COMPONENT
RP-09,PC-04,HAS_COMPONENT
RP-09,PC-05,HAS_COMPONENT
RP-09,PC-06,HAS_COMPONENT
RP-09,PC-07,HAS_COMPONENT
RP-09,PC-08,HAS_COMPONENT
RP-09,PC-09,HAS_COMPONENT
RP-10,PC-01,HAS_COMPONENT
RP-10,PC-02,HAS_COMPONENT
RP-10,PC-03,HAS_COMPONENT
RP-10,PC-04,HAS_COMPONENT
RP-10,PC-05,HAS_COMPONENT
RP-10,PC-06,HAS_COMPONENT
RP-10,PC-07,HAS_COMPONENT
RP-10,PC-08,HAS_COMPONENT
RP-10,PC-09,HAS_COMPONENT
RP-11,PC-01,HAS_COMPONENT
RP-11,PC-02,HAS_COMPONENT
RP-11,PC-03,HAS_COMPONENT
RP-11,PC-04,HAS_COMPONENT
RP-11,PC-05,HAS_COMPONENT
RP-11,PC-06,HAS_COMPONENT
RP-11,PC-07,HAS_COMPONENT
RP-11,PC-08,HAS_COMPONENT
RP-11,PC-09,HAS_COMPONENT
RP-12,PC-01,HAS_COMPONENT
RP-12,PC-02,HAS_COMPONENT
RP-12,PC-03,HAS_COMPONENT
RP-12,PC-04,HAS_COMPONENT
RP-12,PC-05,HAS_COMPONENT
RP-12,PC-06,HAS_COMPONENT
RP-12,PC-07,HAS_COMPONENT
RP-12,PC-08,HAS_COMPONENT
RP-12,PC-09,HAS_COMPONENT
