annex_id,number,title,source_line,source_document
annexI,I,List of Union harmonisation legislation,8328,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexII,II,"List of criminal offences referred to in Article 5(1), first subparagraph, point (h)(iii)",8433,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexIII,III,High-risk AI systems referred to in Article 6(2),8461,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexIV,IV,Technical documentation referred to in Article 11(1),8602,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexV,V,EU declaration of conformity,8696,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexVI,VI,Conformity assessment procedure based on internal control,8723,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexVII,VII,Conformity based on an assessment of the quality management system and an assessment of the technical documentation,8743,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexVIII,VIII,Information to be submitted upon the registration of high-risk AI systems in accordance with,8869,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexIX,IX,Information to be submitted upon the registration of high-risk AI systems listed in Annex III in relation to testing in real world conditions in accordance with Article 60,8956,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexX,X,"Union legislative acts on large-scale IT systems in the area of Freedom, Security and Justice",8977,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexXI,XI,"Technical documentation referred to in Article 53(1), point (a) — technical documentation for providers of general-purpose AI models Section 1 Information to be provided by all providers of general-purpose AI models",9069,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexXII,XII,"Transparency information referred to in Article 53(1), point (b) — technical documentation for providers of general-purpose AI models to downstream providers that integrate the model into their AI system",9138,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexXIII,XIII,Criteria for the designation of general-purpose AI models with systemic risk referred to in Article 51,9171,KB 2/Europe/EU Artificial Intelligence Act.pdf
