source_id,target_id,rel_type
art_6_p5,dl_1,HAS_DEADLINE
art_56_p9,dl_2,HAS_DEADLINE
art_56_p9_sub1,dl_3,HAS_DEADLINE
art_57_p1,dl_4,HAS_DEADLINE
art_70_p2,dl_3,HAS_DEADLINE
art_70_p6,dl_3,HAS_DEADLINE
art_72_p3,dl_1,HAS_DEADLINE
art_73_p7,dl_3,HAS_DEADLINE
art_77_p2,dl_5,HAS_DEADLINE
art_97_p2,dl_6,HAS_DEADLINE
art_97_p4,dl_7,HAS_DEADLINE
art_102_p0_sub2,dl_8,HAS_DEADLINE
art_103_p0_sub2,dl_8,HAS_DEADLINE
art_104_p0_sub2,dl_8,HAS_DEADLINE
art_105_p0_sub2,dl_8,HAS_DEADLINE
art_106_p0_sub2,dl_8,HAS_DEADLINE
art_107_p0_sub2,dl_8,HAS_DEADLINE
art_108_p0_sub2,dl_8,HAS_DEADLINE
art_109_p0_sub2,dl_8,HAS_DEADLINE
art_110_p0_sub1,dl_8,HAS_DEADLINE
art_111_p1,dl_9,HAS_DEADLINE
art_111_p1,dl_10,HAS_DEADLINE
art_111_p2,dl_4,HAS_DEADLINE
art_111_p2,dl_11,HAS_DEADLINE
art_111_p3,dl_3,HAS_DEADLINE
art_111_p3,dl_9,HAS_DEADLINE
art_112_p2,dl_12,HAS_DEADLINE
art_112_p3,dl_13,HAS_DEADLINE
art_112_p5,dl_12,HAS_DEADLINE
art_112_p6,dl_12,HAS_DEADLINE
art_112_p7,dl_12,HAS_DEADLINE
art_112_p13,dl_14,HAS_DEADLINE
art_113_p0,dl_4,HAS_DEADLINE
art_3_p0_n47,dl_15,HAS_DEADLINE
art_113_p0_a,dl_16,HAS_DEADLINE
art_113_p0_b,dl_3,HAS_DEADLINE
art_113_p0_c,dl_9,HAS_DEADLINE
annexI_sA_1,dl_17,HAS_DEADLINE
annexI_sA_2,dl_18,HAS_DEADLINE
annexI_sA_3,dl_19,HAS_DEADLINE
annexI_sA_4,dl_20,HAS_DEADLINE
annexI_sA_5,dl_20,HAS_DEADLINE
annexI_sA_6,dl_21,HAS_DEADLINE
annexI_sA_7,dl_22,HAS_DEADLINE
annexI_sA_8,dl_23,HAS_DEADLINE
annexI_sA_9,dl_23,HAS_DEADLINE
annexI_sA_10,dl_23,HAS_DEADLINE
annexI_sA_11,dl_24,HAS_DEADLINE
annexI_sA_12,dl_24,HAS_DEADLINE
annexI_sB_13,dl_25,HAS_DEADLINE
annexI_sB_14,dl_26,HAS_DEADLINE
annexI_sB_15,dl_27,HAS_DEADLINE
annexI_sB_16,dl_28,HAS_DEADLINE
annexI_sB_17,dl_29,HAS_DEADLINE
annexI_sB_18,dl_30,HAS_DEADLINE
annexI_sB_19,dl_31,HAS_DEADLINE
annexI_sB_20,dl_32,HAS_DEADLINE
annexX_1_a,dl_33,HAS_DEADLINE
annexX_1_b,dl_33,HAS_DEADLINE
annexX_1_c,dl_33,HAS_DEADLINE
annexX_2_a,dl_34,HAS_DEADLINE
annexX_2_b,dl_34,HAS_DEADLINE
annexX_3,dl_35,HAS_DEADLINE
annexX_4,dl_36,HAS_DEADLINE
annexX_5_a,dl_37,HAS_DEADLINE
annexX_5_b,dl_37,HAS_DEADLINE
annexX_6,dl_38,HAS_DEADLINE
annexX_7_a,dl_39,HAS_DEADLINE
annexX_7_b,dl_39,HAS_DEADLINE
