annexprovision_id,annex,part,label,level,text,source_document
ANNEX_I_PartI,I,Part I,Part I,part,Cybersecurity requirements relating to the properties of products with digital elements,KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartI_1,I,Part I,(1),point,"Products with digital elements shall be designed, developed and produced in such a way that they ensure an appropriate level of cybersecurity based on the risks.",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartI_2,I,Part I,(2),point,"On the basis of the cybersecurity risk assessment referred to in Article 13(2) and where applicable, products with digital elements shall:",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartI_2_a,I,Part I,(a),sub-point,be made available on the market without known exploitable vulnerabilities;,KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartI_2_b,I,Part I,(b),sub-point,"be made available on the market with a secure by default configuration, unless otherwise agreed between manufacturer and business user in relation to a tailor-made product with digital elements, including the possibility to reset the product to its original state;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartI_2_c,I,Part I,(c),sub-point,"ensure that vulnerabilities can be addressed through security updates, including, where applicable, through automatic security updates that are installed within an appropriate timeframe enabled as a default setting, with a clear and easy-to-use opt-out mechanism, through the notification of available updates to users, and the option to temporarily postpone them;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartI_2_d,I,Part I,(d),sub-point,"ensure protection from unauthorised access by appropriate control mechanisms, including but not limited to authentication, identity or access management systems, and report on possible unauthorised access;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartI_2_e,I,Part I,(e),sub-point,"protect the confidentiality of stored, transmitted or otherwise processed data, personal or other, such as by encrypting relevant data at rest or in transit by state of the art mechanisms, and by using other technical means;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartI_2_f,I,Part I,(f),sub-point,"protect the integrity of stored, transmitted or otherwise processed data, personal or other, commands, programs and configuration against any manipulation or modification not authorised by the user, and report on corruptions;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartI_2_g,I,Part I,(g),sub-point,"process only data, personal or other, that are adequate, relevant and limited to what is necessary in relation to the intended purpose of the product with digital elements (data minimisation);",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartI_2_h,I,Part I,(h),sub-point,"protect the availability of essential and basic functions, also after an incident, including through resilience and mitigation measures against denial-of-service attacks;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartI_2_i,I,Part I,(i),sub-point,minimise the negative impact by the products themselves or connected devices on the availability of services provided by other devices or networks;,KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartI_2_j,I,Part I,(j),sub-point,"be designed, developed and produced to limit attack surfaces, including external interfaces;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartI_2_k,I,Part I,(k),sub-point,"be designed, developed and produced to reduce the impact of an incident using appropriate exploitation mitigation mechanisms and techniques;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartI_2_l,I,Part I,(l),sub-point,"provide security related information by recording and monitoring relevant internal activity, including the access to or modification of data, services or functions, with an opt-out mechanism for the user;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartI_2_m,I,Part I,(m),sub-point,"provide the possibility for users to securely and easily remove on a permanent basis all data and settings and, where such data can be transferred to other products or systems, ensure that this is done in a secure manner.",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartII,I,Part II,Part II,part,Vulnerability handling requirements,KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartII_introductorywording,I,Part II,introductory wording,introductory wording,Manufacturers of products with digital elements shall:,KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartII_1,I,Part II,(1),point,"identify and document vulnerabilities and components contained in products with digital elements, including by drawing up a software bill of materials in a commonly used and machine-readable format covering at the very least the top-level dependencies of the products;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartII_2,I,Part II,(2),point,"in relation to the risks posed to products with digital elements, address and remediate vulnerabilities without delay, including by providing security updates; where technically feasible, new security updates shall be provided separately from functionality updates;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartII_3,I,Part II,(3),point,apply effective and regular tests and reviews of the security of the product with digital elements;,KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartII_4,I,Part II,(4),point,"once a security update has been made available, share and publicly disclose information about fixed vulnerabilities, including a description of the vulnerabilities, information allowing users to identify the product with digital elements affected, the impacts of the vulnerabilities, their severity and clear and accessible information helping users to remediate the vulnerabilities; in duly justified cases, where manufacturers consider the security risks of publication to outweigh the security benefits, they may delay making public information regarding a fixed vulnerability until after users have been given the possibility to apply the relevant patch;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartII_5,I,Part II,(5),point,put in place and enforce a policy on coordinated vulnerability disclosure;,KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartII_6,I,Part II,(6),point,"take measures to facilitate the sharing of information about potential vulnerabilities in their product with digital elements as well as in third-party components contained in that product, including by providing a contact address for the reporting of the vulnerabilities discovered in the product with digital elements;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartII_7,I,Part II,(7),point,"provide for mechanisms to securely distribute updates for products with digital elements to ensure that vulnerabilities are fixed or mitigated in a timely manner and, where applicable for security updates, in an automatic manner;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_I_PartII_8,I,Part II,(8),point,"ensure that, where security updates are available to address identified security issues, they are disseminated without delay and, unless otherwise agreed between a manufacturer and a business user in relation to a tailor-made product with digital elements, free of charge, accompanied by advisory messages providing users with the relevant information, including on potential action to be taken.",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_II_introductorywording,II,,introductory wording,introductory wording,"At minimum, the product with digital elements shall be accompanied by:",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_II_1,II,,1,point,"the name, registered trade name or registered trademark of the manufacturer, and the postal address, the email address or other digital contact as well as, where available, the website at which the manufacturer can be contacted;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_II_2,II,,2,point,"the single point of contact where information about vulnerabilities of the product with digital elements can be reported and received, and where the manufacturer’s policy on coordinated vulnerability disclosure can be found;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_II_3,II,,3,point,name and type and any additional information enabling the unique identification of the product with digital elements;,KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_II_4,II,,4,point,"the intended purpose of the product with digital elements, including the security environment provided by the manufacturer, as well as the product’s essential functionalities and information about the security properties;",KB 2/Europe/EU Cyber Resilience Act.pdf
