article_id,number,title,chapter_id,source_document
ART_1,1,Subject matter,CH_1,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_2,2,Scope,CH_1,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_3,3,Definitions,CH_1,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_4,4,Free movement,CH_1,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_5,5,Procurement or use of products with digital elements,CH_1,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_6,6,Requirements for products with digital elements,CH_1,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_7,7,Important products with digital elements,CH_1,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_8,8,Critical products with digital elements,CH_1,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_9,9,Stakeholder consultation,CH_1,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_10,10,Enhancing skills in a cyber resilient digital environment,CH_1,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_11,11,General product safety,CH_1,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_12,12,High-risk AI systems,CH_1,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_13,13,Obligations of manufacturers,CH_2,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_14,14,Reporting obligations of manufacturers,CH_2,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_15,15,Voluntary reporting,CH_2,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_16,16,Establishment of a single reporting platform,CH_2,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_17,17,Other provisions related to reporting,CH_2,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_18,18,Authorised representatives,CH_2,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_19,19,Obligations of importers,CH_2,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_20,20,Obligations of distributors,CH_2,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_21,21,Cases in which obligations of manufacturers apply to importers and distributors,CH_2,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_22,22,Other cases in which obligations of manufacturers apply,CH_2,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_23,23,Identification of economic operators,CH_2,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_24,24,Obligations of open-source software stewards,CH_2,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_25,25,Security attestation of free and open-source software,CH_2,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_26,26,Guidance,CH_2,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_27,27,Presumption of conformity,CH_3,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_28,28,EU declaration of conformity,CH_3,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_29,29,General principles of the CE marking,CH_3,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_30,30,Rules and conditions for affixing the CE marking,CH_3,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_31,31,Technical documentation,CH_3,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_32,32,Conformity assessment procedures for products with digital elements,CH_3,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_33,33,"Support measures for microenterprises and small and medium-sized enterprises, including start-ups",CH_3,KB 2/Europe/EU Cyber Resilience Act.pdf
