source_id,target_id,rel_type
ART_7_P4,DATE_11_December_2025,SETS_DATE
ART_14_P9,DATE_11_December_2025,SETS_DATE
ART_35_P2,DATE_11_December_2026,SETS_DATE
ART_61_P2,DATE_10_December_2024,SETS_DATE
ART_61_P4,DATE_13_April_2016,SETS_DATE
ART_66_S3,DATE_23_October_2024,SETS_DATE
ART_67_S3,DATE_23_October_2024,SETS_DATE
ART_69_P1,DATE_11_June_2028,SETS_DATE
ART_69_P2,DATE_11_December_2027,SETS_DATE
ART_69_P3,DATE_11_December_2027,SETS_DATE
ART_70_P1,DATE_11_December_2030,SETS_DATE
ART_70_P2,DATE_11_September_2028,SETS_DATE
ART_71_P2,DATE_11_September_2026,SETS_DATE
ART_71_P2,DATE_11_June_2026,SETS_DATE
ART_71_P2,DATE_11_December_2027,SETS_DATE
ART_71_P2_S2,DATE_23_October_2024,SETS_DATE
