source_id,target_id,rel_type
FDA-CYBER-PREMARKET-2026,I,CONTAINS
FDA-CYBER-PREMARKET-2026,II,CONTAINS
FDA-CYBER-PREMARKET-2026,III,CONTAINS
FDA-CYBER-PREMARKET-2026,IV,CONTAINS
IV,IV.A,CONTAINS
IV.A,IV.A.1,CONTAINS
IV,IV.B,CONTAINS
IV,IV.C,CONTAINS
IV,IV.D,CONTAINS
FDA-CYBER-PREMARKET-2026,V,CONTAINS
V,V.A,CONTAINS
V.A,V.A.1,CONTAINS
V.A,V.A.2,CONTAINS
V.A,V.A.3,CONTAINS
V.A,V.A.4,CONTAINS
V.A.4,V.A.4.a,CONTAINS
V.A.4,V.A.4.b,CONTAINS
V.A,V.A.5,CONTAINS
V.A,V.A.6,CONTAINS
V,V.B,CONTAINS
V.B,V.B.1,CONTAINS
V.B,V.B.2,CONTAINS
V.B.2,V.B.2.a,CONTAINS
V.B.2,V.B.2.b,CONTAINS
V.B.2,V.B.2.c,CONTAINS
V.B.2,V.B.2.d,CONTAINS
V,V.C,CONTAINS
FDA-CYBER-PREMARKET-2026,VI,CONTAINS
VI,VI.A,CONTAINS
VI,VI.B,CONTAINS
FDA-CYBER-PREMARKET-2026,VII,CONTAINS
VII,VII.A,CONTAINS
VII,VII.B,CONTAINS
VII,VII.C,CONTAINS
VII.C,VII.C.1,CONTAINS
VII.C,VII.C.2,CONTAINS
VII.C,VII.C.3,CONTAINS
VII,VII.D,CONTAINS
VII.D,VII.D.1,CONTAINS
VII.D,VII.D.2,CONTAINS
VII,VII.E,CONTAINS
FDA-CYBER-PREMARKET-2026,APP1,CONTAINS
APP1,APP1.AUTHN,CONTAINS
APP1,APP1.AUTHZ,CONTAINS
APP1,APP1.CRYPTO,CONTAINS
APP1,APP1.INTEG,CONTAINS
APP1,APP1.CONF,CONTAINS
APP1,APP1.LOG,CONTAINS
APP1,APP1.RES,CONTAINS
APP1,APP1.UPD,CONTAINS
FDA-CYBER-PREMARKET-2026,APP2,CONTAINS
APP2,APP2.A,CONTAINS
APP2,APP2.B,CONTAINS
FDA-CYBER-PREMARKET-2026,APP3,CONTAINS
FDA-CYBER-PREMARKET-2026,APP4,CONTAINS
FDA-CYBER-PREMARKET-2026,APP5,CONTAINS
