source_id,target_id,rel_type
PG-S0,PG-C0.1,HAS_CLAUSE
PG-S1,PG-C1.1,HAS_CLAUSE
PG-S1,PG-C1.2,HAS_CLAUSE
PG-S1,PG-C1.3,HAS_CLAUSE
PG-S2,PG-C2.0,HAS_CLAUSE
PG-S2.1,PG-C2.1.1,HAS_CLAUSE
PG-S2.2,PG-C2.2.1,HAS_CLAUSE
PG-S2.2,PG-C2.2.2,HAS_CLAUSE
PG-S2.3,PG-C2.3.1,HAS_CLAUSE
PG-S2.3.1,PG-C2.3.1.1,HAS_CLAUSE
PG-S2.3.1,PG-C2.3.1.2,HAS_CLAUSE
PG-S2.3.1,PG-C2.3.1.2(1),HAS_CLAUSE
PG-S2.3.1,PG-C2.3.1.2(2),HAS_CLAUSE
PG-S2.3.1,PG-C2.3.1.2(3),HAS_CLAUSE
PG-S2.3.1,PG-C2.3.1.2(4),HAS_CLAUSE
PG-S2.3.1,PG-C2.3.1.3,HAS_CLAUSE
PG-S2.3.2,PG-C2.3.2.1,HAS_CLAUSE
PG-S2.3.3,PG-C2.3.3.1,HAS_CLAUSE
PG-S2.3.4,PG-C2.3.4.1,HAS_CLAUSE
PG-S2.3.4,PG-C2.3.4.2,HAS_CLAUSE
PG-S2.3.5,PG-C2.3.5.0,HAS_CLAUSE
PG-S2.3.5,PG-C2.3.5.1,HAS_CLAUSE
PG-S2.3.5,PG-C2.3.5.2,HAS_CLAUSE
PG-S2.3.5,PG-C2.3.5.3,HAS_CLAUSE
PG-S2.3.5,PG-C2.3.5.4,HAS_CLAUSE
PG-S2.3.5,PG-C2.3.5.5,HAS_CLAUSE
PG-S2.3.5,PG-C2.3.5.6,HAS_CLAUSE
PG-S3,PG-C3.1,HAS_CLAUSE
PG-S4,PG-C4.0,HAS_CLAUSE
PG-S4,PG-C4.1,HAS_CLAUSE
PG-S4,PG-C4.2,HAS_CLAUSE
PG-S4,PG-C4.3,HAS_CLAUSE
PG-S4,PG-C4.4,HAS_CLAUSE
PG-S5,PG-C5.1,HAS_CLAUSE
PG-S5,PG-C5.2,HAS_CLAUSE
ES-S1,ES-C1.1,HAS_CLAUSE
ES-S1,ES-C1.2,HAS_CLAUSE
ES-S1,ES-C1.3,HAS_CLAUSE
ES-S2,ES-C2.0,HAS_CLAUSE
ES-S2.1,ES-C2.1.1,HAS_CLAUSE
ES-S2.1,ES-C2.1.2,HAS_CLAUSE
ES-S2.2,ES-C2.2.1,HAS_CLAUSE
ES-S2.2,ES-C2.2.2,HAS_CLAUSE
ES-S2.3,ES-C2.3.1,HAS_CLAUSE
ES-S2.3.1,ES-C2.3.1.1,HAS_CLAUSE
ES-S2.3.1,ES-C2.3.1.2,HAS_CLAUSE
ES-S2.3.1,ES-C2.3.1.2(1),HAS_CLAUSE
ES-S2.3.1,ES-C2.3.1.2(2),HAS_CLAUSE
ES-S2.3.1,ES-C2.3.1.2(3),HAS_CLAUSE
ES-S2.3.1,ES-C2.3.1.2(4),HAS_CLAUSE
ES-S2.3.2,ES-C2.3.2.1,HAS_CLAUSE
ES-S2.3.3,ES-C2.3.3.1,HAS_CLAUSE
ES-S2.3.4,ES-C2.3.4.1,HAS_CLAUSE
ES-S2.3.4,ES-C2.3.4.2,HAS_CLAUSE
ES-S2.3.5,ES-C2.3.5.0,HAS_CLAUSE
ES-S2.3.5,ES-C2.3.5.1,HAS_CLAUSE
ES-S2.3.5,ES-C2.3.5.2,HAS_CLAUSE
ES-S2.3.5,ES-C2.3.5.3,HAS_CLAUSE
ES-S2.3.5,ES-C2.3.5.4,HAS_CLAUSE
ES-S2.3.5,ES-C2.3.5.5,HAS_CLAUSE
ES-S2.3.5,ES-C2.3.5.6,HAS_CLAUSE
ES-S2.3.5,ES-C2.3.5.7,HAS_CLAUSE
ES-S2.3.5,ES-C2.3.5.8,HAS_CLAUSE
ES-S3,ES-C3.1,HAS_CLAUSE
ES-S4,ES-C4.0,HAS_CLAUSE
ES-S4,ES-C4.1,HAS_CLAUSE
ES-S4,ES-C4.2,HAS_CLAUSE
ES-S4,ES-C4.3,HAS_CLAUSE
ES-S4,ES-C4.4,HAS_CLAUSE
ES-S5,ES-C5.1,HAS_CLAUSE
ES-S5,ES-C5.2,HAS_CLAUSE
