source_id,target_id,rel_type
PG-C1.1,RES-GUIDANCE-STUDENTS,LINKS_TO
PG-C1.2,RES-EXEMPTED-RECORDS,LINKS_TO
PG-C1.3,RES-CROSSWALK-PG,LINKS_TO
PG-C2.2.2,RES-IDEA-STATE-CONTACTS,LINKS_TO
PG-C2.3.1.3,RES-VOLUNTEERS,LINKS_TO
PG-C2.3.3.1,RES-DIRECTORY-TRAINING,LINKS_TO
PG-C4.0,RES-FILE-COMPLAINT,LINKS_TO
PG-C4.4,RES-FILE-COMPLAINT,LINKS_TO
PG-C5.1,RES-STUDENTPRIVACY,LINKS_TO
PG-C5.2,RES-CONTACT,LINKS_TO
PG-C5.2,RES-SPPO-ADDRESS,LINKS_TO
ES-C1.1,RES-GUIDANCE-PARENTS,LINKS_TO
ES-C1.2,RES-EXEMPTED-RECORDS,LINKS_TO
ES-C1.3,RES-CROSSWALK-ES,LINKS_TO
ES-C2.3.3.1,RES-DIRECTORY-TRAINING,LINKS_TO
ES-C4.0,RES-FILE-COMPLAINT,LINKS_TO
ES-C4.4,RES-FILE-COMPLAINT,LINKS_TO
ES-C5.1,RES-STUDENTPRIVACY,LINKS_TO
ES-C5.2,RES-CONTACT,LINKS_TO
ES-C5.2,RES-SPPO-ADDRESS,LINKS_TO
