riskactivity_id,activity_service_or_product,riskcategory_id,category_name,source_document
CAT_Technologies_and_Connection_Types_A01,Total number of Internet service provider (ISP) connections (including branch connections),CAT_Technologies_and_Connection_Types,Technologies and Connection Types,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A02,"Unsecured external connections, number of connections not users (e.g., file transfer protocol (FTP), Telnet, rlogin)",CAT_Technologies_and_Connection_Types,Technologies and Connection Types,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A03,Wireless network access,CAT_Technologies_and_Connection_Types,Technologies and Connection Types,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A04,Personal devices allowed to connect to the corporate network,CAT_Technologies_and_Connection_Types,Technologies and Connection Types,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A05,"Third parties, including number of organizations and number of individuals from vendors and subcontractors, with access to internal systems (e.g., virtual private network, modem, intranet, direct connection)",CAT_Technologies_and_Connection_Types,Technologies and Connection Types,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A06,Wholesale customers with dedicated connections,CAT_Technologies_and_Connection_Types,Technologies and Connection Types,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A07,Internally hosted and developed or modified vendor applications supporting critical activities,CAT_Technologies_and_Connection_Types,Technologies and Connection Types,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A08,"Internally hosted, vendor-developed applications supporting critical activities",CAT_Technologies_and_Connection_Types,Technologies and Connection Types,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A09,User-developed technologies and user computing that support critical activities (includes Microsoft Excel spreadsheets and Access databases or other user-developed tools),CAT_Technologies_and_Connection_Types,Technologies and Connection Types,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A10,End-of-life (EOL) systems,CAT_Technologies_and_Connection_Types,Technologies and Connection Types,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A11,Open Source Software (OSS),CAT_Technologies_and_Connection_Types,Technologies and Connection Types,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A12,"Network devices (e.g., servers, routers, and firewalls; include physical and virtual)",CAT_Technologies_and_Connection_Types,Technologies and Connection Types,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A13,"Third-party service providers storing and/or processing information that support critical activities (Do not have access to internal systems, but the institution relies on their services)",CAT_Technologies_and_Connection_Types,Technologies and Connection Types,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A14,Cloud computing services hosted externally to support critical activities,CAT_Technologies_and_Connection_Types,Technologies and Connection Types,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Delivery_Channels_A01,Online presence (customer),CAT_Delivery_Channels,Delivery Channels,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Delivery_Channels_A02,Mobile presence,CAT_Delivery_Channels,Delivery Channels,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Delivery_Channels_A03,Automated Teller Machines (ATM) (Operation),CAT_Delivery_Channels,Delivery Channels,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A01,Issue debit or credit cards,CAT_Online_Mobile_Products_and_Technology_Se,Online/Mobile Products and Technology Services,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A02,Prepaid cards,CAT_Online_Mobile_Products_and_Technology_Se,Online/Mobile Products and Technology Services,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A03,"Emerging payments technologies (e.g., digital wallets, mobile wallets)",CAT_Online_Mobile_Products_and_Technology_Se,Online/Mobile Products and Technology Services,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A04,Person-to-person payments (P2P),CAT_Online_Mobile_Products_and_Technology_Se,Online/Mobile Products and Technology Services,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A05,Originating ACH payments,CAT_Online_Mobile_Products_and_Technology_Se,Online/Mobile Products and Technology Services,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A06,"Originating wholesale payments (e.g., CHIPS)",CAT_Online_Mobile_Products_and_Technology_Se,Online/Mobile Products and Technology Services,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A07,Wire transfers,CAT_Online_Mobile_Products_and_Technology_Se,Online/Mobile Products and Technology Services,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A08,Merchant remote deposit capture (RDC),CAT_Online_Mobile_Products_and_Technology_Se,Online/Mobile Products and Technology Services,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A09,Global remittances,CAT_Online_Mobile_Products_and_Technology_Se,Online/Mobile Products and Technology Services,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A10,Treasury services and clients,CAT_Online_Mobile_Products_and_Technology_Se,Online/Mobile Products and Technology Services,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A11,Trust services,CAT_Online_Mobile_Products_and_Technology_Se,Online/Mobile Products and Technology Services,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A12,Act as a correspondent bank (Interbank transfers),CAT_Online_Mobile_Products_and_Technology_Se,Online/Mobile Products and Technology Services,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A13,Merchant acquirer (sponsor merchants or card processor activity into the payment system),CAT_Online_Mobile_Products_and_Technology_Se,Online/Mobile Products and Technology Services,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A14,Host IT services for other organizations (either through joint systems or administrative support),CAT_Online_Mobile_Products_and_Technology_Se,Online/Mobile Products and Technology Services,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A01,Mergers and acquisitions (including divestitures and joint ventures),CAT_Organizational_Characteristics,Organizational Characteristics,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A02,Direct employees (including information technology and cybersecurity contractors),CAT_Organizational_Characteristics,Organizational Characteristics,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A03,Changes in IT and information security staffing,CAT_Organizational_Characteristics,Organizational Characteristics,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A04,"Privileged access (Administrators–network, database, applications, systems, etc.)",CAT_Organizational_Characteristics,Organizational Characteristics,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A05,"Changes in IT environment (e.g., network, infrastructure, critical applications, technologies supporting new products or services)",CAT_Organizational_Characteristics,Organizational Characteristics,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A06,Locations of branches/business presence,CAT_Organizational_Characteristics,Organizational Characteristics,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics_A07,Locations of operations/data centers,CAT_Organizational_Characteristics,Organizational Characteristics,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_External_Threats_A01,Attempted cyber attacks,CAT_External_Threats,External Threats,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
