source_id,target_id,rel_type
D1_AF1,C001,HAS_COMPONENT
D1_AF1,C002,HAS_COMPONENT
D1_AF1,C003,HAS_COMPONENT
D1_AF2,C004,HAS_COMPONENT
D1_AF2,C005,HAS_COMPONENT
D1_AF2,C006,HAS_COMPONENT
D1_AF3,C007,HAS_COMPONENT
D1_AF4,C008,HAS_COMPONENT
D1_AF4,C009,HAS_COMPONENT
D2_AF1,C010,HAS_COMPONENT
D2_AF2,C011,HAS_COMPONENT
D2_AF3,C012,HAS_COMPONENT
D3_AF1,C013,HAS_COMPONENT
D3_AF1,C014,HAS_COMPONENT
D3_AF1,C015,HAS_COMPONENT
D3_AF1,C016,HAS_COMPONENT
D3_AF2,C017,HAS_COMPONENT
D3_AF2,C018,HAS_COMPONENT
D3_AF2,C019,HAS_COMPONENT
D3_AF3,C020,HAS_COMPONENT
D3_AF3,C021,HAS_COMPONENT
D4_AF1,C022,HAS_COMPONENT
D4_AF2,C023,HAS_COMPONENT
D4_AF2,C024,HAS_COMPONENT
D4_AF2,C025,HAS_COMPONENT
D5_AF1,C026,HAS_COMPONENT
D5_AF1,C027,HAS_COMPONENT
D5_AF2,C028,HAS_COMPONENT
D5_AF2,C029,HAS_COMPONENT
D5_AF3,C030,HAS_COMPONENT
