source_id,target_id,rel_type,maturity_level
C001,C001_S001,HAS_DECLARATIVE_STATEMENT,Baseline
C001,C001_S002,HAS_DECLARATIVE_STATEMENT,Baseline
C001,C001_S003,HAS_DECLARATIVE_STATEMENT,Baseline
C001,C001_S004,HAS_DECLARATIVE_STATEMENT,Baseline
C001,C001_S005,HAS_DECLARATIVE_STATEMENT,Baseline
C001,C001_S006,HAS_DECLARATIVE_STATEMENT,Evolving
C001,C001_S007,HAS_DECLARATIVE_STATEMENT,Evolving
C001,C001_S008,HAS_DECLARATIVE_STATEMENT,Evolving
C001,C001_S009,HAS_DECLARATIVE_STATEMENT,Evolving
C001,C001_S010,HAS_DECLARATIVE_STATEMENT,Intermediate
C001,C001_S011,HAS_DECLARATIVE_STATEMENT,Intermediate
C001,C001_S012,HAS_DECLARATIVE_STATEMENT,Intermediate
C001,C001_S013,HAS_DECLARATIVE_STATEMENT,Intermediate
C001,C001_S014,HAS_DECLARATIVE_STATEMENT,Intermediate
C001,C001_S015,HAS_DECLARATIVE_STATEMENT,Intermediate
C001,C001_S016,HAS_DECLARATIVE_STATEMENT,Intermediate
C001,C001_S017,HAS_DECLARATIVE_STATEMENT,Intermediate
C001,C001_S018,HAS_DECLARATIVE_STATEMENT,Advanced
C001,C001_S019,HAS_DECLARATIVE_STATEMENT,Advanced
C001,C001_S020,HAS_DECLARATIVE_STATEMENT,Advanced
C001,C001_S021,HAS_DECLARATIVE_STATEMENT,Advanced
C001,C001_S022,HAS_DECLARATIVE_STATEMENT,Advanced
C001,C001_S023,HAS_DECLARATIVE_STATEMENT,Advanced
C001,C001_S024,HAS_DECLARATIVE_STATEMENT,Innovative
C001,C001_S025,HAS_DECLARATIVE_STATEMENT,Innovative
C002,C002_S001,HAS_DECLARATIVE_STATEMENT,Baseline
C002,C002_S002,HAS_DECLARATIVE_STATEMENT,Baseline
C002,C002_S003,HAS_DECLARATIVE_STATEMENT,Baseline
C002,C002_S004,HAS_DECLARATIVE_STATEMENT,Baseline
C002,C002_S005,HAS_DECLARATIVE_STATEMENT,Baseline
C002,C002_S006,HAS_DECLARATIVE_STATEMENT,Baseline
C002,C002_S007,HAS_DECLARATIVE_STATEMENT,Baseline
C002,C002_S008,HAS_DECLARATIVE_STATEMENT,Evolving
C002,C002_S009,HAS_DECLARATIVE_STATEMENT,Evolving
C002,C002_S010,HAS_DECLARATIVE_STATEMENT,Evolving
C002,C002_S011,HAS_DECLARATIVE_STATEMENT,Intermediate
C002,C002_S012,HAS_DECLARATIVE_STATEMENT,Intermediate
C002,C002_S013,HAS_DECLARATIVE_STATEMENT,Intermediate
C002,C002_S014,HAS_DECLARATIVE_STATEMENT,Intermediate
C002,C002_S015,HAS_DECLARATIVE_STATEMENT,Intermediate
C002,C002_S016,HAS_DECLARATIVE_STATEMENT,Advanced
