bill_clause_id,bill_section_id,bill_proposed_section_id,path,kind,label,quoted_matter,text,source_document
BILL-3(1),BILL-SEC-3,,(1),paragraph,1,no,"(1) ADDITIONAL CYBERSECURITY PROCEDURE.—The term ‘‘additional cybersecurity procedure’’ has the meaning given the term in section 3552(b) of title 44, United States Code, as amended by this Act.","USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-3(2),BILL-SEC-3,,(2),paragraph,2,no,"(2) AGENCY.—The term ‘‘agency’’ has the meaning given the term in section 3502 of title 44, United States Code.","USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-3(3),BILL-SEC-3,,(3),paragraph,3,no,(3) APPROPRIATE CONGRESSIONAL COMMITTEES.—The term ‘‘appropriate congressional committees’’ means—,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-3(3)(A),BILL-SEC-3,,(3)(A),subparagraph,A,no,(A) the Committee on Homeland Security and Governmental Affairs of the Senate;,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-3(3)(B),BILL-SEC-3,,(3)(B),subparagraph,B,no,(B) the Committee on Oversight and Reform of the House of Representatives; and,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-3(3)(C),BILL-SEC-3,,(3)(C),subparagraph,C,no,(C) the Committee on Homeland Security of the House of Representatives.,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-3(4),BILL-SEC-3,,(4),paragraph,4,no,(4) DIRECTOR.—The term ‘‘Director’’ means the Director of the Office of Management and Budget.,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-3(5),BILL-SEC-3,,(5),paragraph,5,no,"(5) INCIDENT.—The term ‘‘incident’’ has the meaning given the term in section 3552(b) of title 44, United States Code.","USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-3(6),BILL-SEC-3,,(6),paragraph,6,no,"(6) PENETRATION TEST.—The term ‘‘penetration test’’ has the meaning given the term in section 3552(b) of title 44, United States Code, as amended by this Act.","USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-3(7),BILL-SEC-3,,(7),paragraph,7,no,(7) THREAT HUNTING.—The term ‘‘threat hunting’’ means proactively and iteratively searching for threats to systems that evade detection by automated threat detection systems.,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-3(8),BILL-SEC-3,,(8),paragraph,8,no,"(8) VERIFICATION SPECIFICATION.—The term ‘‘verification specification’’ means a specification developed under section 11331(f) of title 40, United States Code, as amended by this Act.","USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-101(a),BILL-SEC-101,,(a),subsection,a,no,"(a) SUBCHAPTER I AMENDMENTS.—Subchapter I of chapter 35 of title 44, United States Code, is amended—","USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
