bill_proposed_section_id,number,heading,text,bill_section_id,instrument_id,source_document
BILL-USC-3591,3591,Definitions,,BILL-SEC-101,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-USC-3592,3592,Notification of high risk exposure after,major incident,BILL-SEC-101,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-USC-3593,3593,Congressional notifications and reports,,BILL-SEC-101,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-USC-3594,3594,Government information sharing and incident,response,BILL-SEC-101,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-USC-3595,3595,Responsibilities of contractors and grant recipients,,BILL-SEC-101,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-USC-3596,3596,Training,,BILL-SEC-101,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-USC-3597,3597,Analysis and report on Federal incidents,,BILL-SEC-101,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-USC-3598,3598,Major incident guidance,,BILL-SEC-101,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-USC-3559A,3559A,Federal penetration testing,,BILL-SEC-206,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-USC-3559B,3559B,Federal vulnerability disclosure programs,,BILL-SEC-208,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
