definition_id,term,text,defined_in,instrument_id,source_document
DEF-USC3552-b-1,binding operational directive,(1) The term ‘binding operational directive’ means a compulsory direction to an agency that—,44 U.S.C. § 3552(b)(1),FISMA-2014,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
DEF-USC3552-b-2,incident,(2) The term ‘incident’ means an occurrence that—,44 U.S.C. § 3552(b)(2),FISMA-2014,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
DEF-USC3552-b-3,information security,"(3) The term ‘information security’ means protecting information and information systems from unauthorized access, use, disclosure, disruption, modification, or destruction in order to provide—",44 U.S.C. § 3552(b)(3),FISMA-2014,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
DEF-USC3552-b-4,information technology,(4) The term ‘information technology’ has the meaning given that term in section 11101 of title 40.,44 U.S.C. § 3552(b)(4),FISMA-2014,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
DEF-USC3552-b-5,intelligence community,(5) The term ‘intelligence community’ has the meaning given that term in section 3(4) of the National Security Act of 1947 (50 U.S.C. 3003(4)).,44 U.S.C. § 3552(b)(5),FISMA-2014,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
DEF-USC3552-b-7,Secretary,(7) The term ‘Secretary’ means the Secretary of Homeland Security.,44 U.S.C. § 3552(b)(7),FISMA-2014,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
DEF-CIO-01,Derived credential,"A credential issued based on proof of possession and control of an authenticator associated with a previously issued credential (e.g., a PIV credential), so as not to duplicate the identity proofing process. (NIST SP 800-63-3)",Appendix A: Definitions,CIO-FY25,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
DEF-CIO-02,End-of-Life,"The original equipment manufacturer will no longer market, sell, or update equipment after a certain date. This is most often due to a newer model being released by the manufacturer that replaces the older model. During the EOL phase, the manufacturer may still offer maintenance options, but at a premium price.",Appendix A: Definitions,CIO-FY25,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
DEF-CIO-03,End-of-Support,"End-of-Support is when the manufacturer stops providing technical support for a product, including bug fixes, patches, and updates. EOS is the final phase of a product’s lifecycle.",Appendix A: Definitions,CIO-FY25,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
DEF-CIO-04,Enterprise-level,"The entire reporting organization, including each organizational component that has a defined mission/goal and a defined boundary, uses information systems to execute that mission, and has responsibility for managing its own risks and performance.",Appendix A: Definitions,CIO-FY25,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
DEF-CIO-05,IPv6-Operational,"The protocol is both supported, enabled and provisioned with addresses that are routable internal and external to the enterprise.",Appendix A: Definitions,CIO-FY25,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
DEF-CIO-06,Government Furnished Equipment (GFE),Government Furnished Equipment (GFE) is equipment that is owned and used by the government or made available to a contractor by the government (FAR Part 45).,Appendix A: Definitions,CIO-FY25,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
