ig_metric_id,number,identifier,function,domain,ig_domain_id,review_cycle,criteria,supplemental_guidance,question,source_document
IG-1,1,CG.01,Govern,Cybersecurity Governance,IGDOM-01,FY 2025 Supplemental,• OMB Circular A-123 • OMB Circular A-130 • FISMA 2014,"• NIST CSF FY 2025 v2.0: Section Supplemental 3.1 • NIST CSF v2.0: GV.0C-01 • NIST CSF v2.0: GV.OC-02 • NIST CSF v2.0: GV.OC-03 • NIST CSF v2.0: GV.OC-04 • NIST CSF v2.0: GV.OC-05 • NIST CSF v2.0: GV.OV-01 • NIST CSF v2.0: GV.OV-02 • NIST CSF v2.0: GV.OV-03 NIST SP 800-53, Rev. 5, PM-1, PM-11","To what extent does the organization develop and maintain cybersecurity profiles that are used to understand, tailor, assess, prioritize and communicate its cybersecurity objectives?",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IG-2,2,CG.02,Govern,Cybersecurity Governance,IGDOM-01,FY 2025 Supplemental,• OMB Circular A-123 • OMB Circular A-130 • FISMA 2014,"• NIST CSF FY 2025 v2.0: GV.RM- Supplemental 01 • NIST CSF v2.0: GV.RM-02 • NIST CSF v2.0: GV.RM-03 • NIST CSF v2.0: GV.RM-04 • NIST CSF v2.0: GV.RM-06 • NIST SP 800-53 Rev. 5: PM-9, PM-28, and RA-7",To what extent does the organization use a cybersecurity risk management strategy to support operational risk decisions?,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IG-3,3,CG.03,Govern,Cybersecurity Governance,IGDOM-01,FY 2025 Supplemental,• OMB Circular A-123 • OMB Circular A-130 • FISMA 2014 • NIST FIPS 200,"• NIST CSF FY 2025 v2.0: GV.RR-01 Supplemental • NIST CSF v2.0: GV.RR-02 • NIST CSF v2.0: GV.RR-03 • NIST CSF v2.0: GV.RR-04 • NIST SP 800-53 Rev. 5: PM-2, PM-3, PM-13, PM-23, PM-29, PS-9","To what extent do cybersecurity roles, responsibilities, and authorities foster accountability, performance assessment, and continuous improvement?",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IG-4,4,CG.SUM,Govern,Cybersecurity Governance,IGDOM-01,,,,"Provide any additional information on the effectiveness (positive or negative) of the organization’s cybersecurity governance program that was not noted in the questions above. Taking into consideration the overall maturity level generated from the questions above and based on all testing performed, is the cybersecurity governance program effective?",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IG-5,5,C-SCRM.01,Govern,Cybersecurity Supply Chain Risk Management (C-SCRM),IGDOM-02,Core Metric (Formerly Metric 14),• OMB Circular A-130 • OMB M-19-03 • OMB M-22-18 • EO 14028 • The Federal Acquisition Supply Chain Security Act of 2018,"• NIST SP 800-152 • NIST SP 800-161 (Rev. 1) • NIST SP 800-218: Task PO.1.3 NIST IR 8276 • CIS Top 18 Security Controls: Control 15 • CIGIE Cloud Computing Initiative Report • DHS’s ICT Supply Chain Library • NIST SP 800-53 (Rev. 5): SA-4, SA-9, SR-3, SR-5, and SR-6 • NIST CSF v2.0: GV.SC-01 through GV.SC-07","To what extent does the organization ensure that products, system components, systems, and services of external providers are consistent with the organization’s cybersecurity and supply chain requirements?",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IG-6,6,C-SCRM.SUM,Govern,Cybersecurity Supply Chain Risk Management (C-SCRM),IGDOM-02,,,,"Provide any additional information on the effectiveness (positive or negative) of the organization’s supply chain risk management program that was not noted in the questions above. Taking into consideration the overall maturity level generated from the questions above and based on all testing performed, is the supply chain risk management program effective? [C-SCRM.SUM] 6.1 Please provide an IG self-assessment rating (Effective/Not Effective) for the agency’s govern function.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IG-7,7,RAM.01,Identify,Risk and Asset Management (RAM),IGDOM-03,Core Metric (Formerly Metric 1),• FISMA 2014 • Federal Information Technology Acquisition Reform Act (FITARA) of 2014 • OMB M-16-12 • OMB M-19-03 • OMB M-21-31 • OMB Circular A-130 • OMB Circular A-123 • OMB M-25-04 • NIST FIPS 200 • NIST FIPS 199,"• NIST CSF v2.0: ID.AM-01 • NIST CSF v2.0: ID.AM-02 • NIST CSF v2.0: ID.AM-03 • NIST CSF v2.0: ID.AM-04 • NIST SP 800-53 (Rev. 5): CA-3, PM-5, and CM-8 • NIST SP 800-37 (Rev. 2) • OMB M-21-31, CISA Operational Guidance • FY 2025 CIO FISMA Metrics: 1.1 and 1.5","To what extent does the organization maintain a comprehensive and accurate inventory of its information systems (including cloud systems, public facing websites, and third-party systems), and system interconnections?",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IG-8,8,RAM.02,Identify,Risk and Asset Management (RAM),IGDOM-03,Core Metric (Formerly Metric 2),• FISMA 2014 • FITARA 2014 • OMB M-25-04 • OMB Circular A-130 • OMB Circular A-123 • DHS Binding Operational Directive (BOD) 23-01 • DHS BOD 23-02,"• NIST SP 800-137 • NIST SP 800-207 • NIST 1800-5 • NIST IR 8011 Vol. 1 • NIST IR 8011 Vol. 2 • CIS Top 18 Security Controls: Control 1 • NIST CSF v2.0: ID.AM-01 • NIST SP 800-53 (Rev. 5): CA-7 and CM-8 (including through • DHS BOD 23-01, Implementation Guidance • Federal Enterprise Architecture (FEA) Framework • NIST SP 800-37 (Rev. 2): Tasks P-10 and P-16 • FY 2025 CIO FISMA Metrics: 1.2, 1.3, and 10.8","To what extent does the organization use standard data elements/taxonomy to develop and maintain an up-to-date inventory of hardware assets (including Government Furnished Equipment (GFE), Internet of Things [IoT], and Bring Your Own Device [BYOD] mobile devices) connected to the organization’s network with the detailed information necessary for tracking and reporting?",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IG-9,9,RAM.03,Identify,Risk and Asset Management (RAM),IGDOM-03,Core Metric (Formerly Metric 3),• FISMA 2014 • FITARA 2014 • OMB M-25-04 • OMB Circular A-130 • OMB M-21-30 • EO 14028 • OMB M-22-18,"• NIST SP 800-137 • NIST SP 800-207: Section 7.3 • NIST 1800-5 • NIST IR 8011 Vol. 1 • NIST IR 8011 Vol. 3 • CIS Top 18 Security Controls: Control 2 • CISA Cybersecurity Incident Response Playbooks • NIST CSF v2.0: ID.AM-02 • NIST SP 800-37 (Rev. 2): Task P-10 • NIST SP 800-53 (Rev. 5): CA-7, CM-8, CM-10, and CM-11 • NIST Security Measures for EO- Critical Software Use • FY 2025 CIO FISMA Metrics: 1.4 and 4.1-4.4",To what extent does the organization use standard data elements/taxonomy to develop and maintain an up-to-date inventory of the software and associated licenses used within the organization with the detailed information necessary for tracking and reporting?,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IG-10,10,RAM.04,Identify,Risk and Asset Management (RAM),IGDOM-03,FY 2025 Supplemental,• FISMA 2014 • Privacy Act of 1974 • Federal Records Act • 44 U.S. Code Section 3511 – Data Inventory and Federal Data Catalogue • EO 14028,"• NIST SP 800- FY 2025 171 Rev. 3 Supplemental • CIS Critical Security Controls: 3.2 • Federal Zero Trust Data Security Guide • NIST CSF v2.0: ID.AM-07 • NIST SP 800-53 Rev. 5: AC-4, CM-12, CM-13, and RA-2","To what extent does the organization develop and maintain inventories of data and corresponding metadata for designated data types, as appropriate throughout the data lifecycle?",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
