saop_section_id,number,heading,instrument_id,source_document
SAOP-SEC-1,1,General Privacy Program Requirements,SAOP-FY25,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-SEC-2,2,Information Systems,SAOP-FY25,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-SEC-3,3,Information Technology Systems and Privacy Impact Assessments,SAOP-FY25,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-SEC-4,4,Systems of Records,SAOP-FY25,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-SEC-5,5,Considerations for Managing PII,SAOP-FY25,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-SEC-6,6,Social Security Numbers,SAOP-FY25,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-SEC-7,7,Digital Services,SAOP-FY25,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-SEC-8,8,Budget and Acquisition,SAOP-FY25,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-SEC-9,9,Contractors and Third Parties,SAOP-FY25,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-SEC-10,10,Privacy Workforce Management,SAOP-FY25,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-SEC-11,11,Training and Accountability,SAOP-FY25,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-SEC-12,12,Breach Response,SAOP-FY25,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-SEC-13,13,Risk Management Framework,SAOP-FY25,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-SEC-14,14,Privacy Program Website,SAOP-FY25,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
