source_id,target_id,rel_type,clause_id
FISMA-2014,DEF-USC3552-b-1,DEFINES,USC-3552(b)(1)
FISMA-2014,DEF-USC3552-b-2,DEFINES,USC-3552(b)(2)
FISMA-2014,DEF-USC3552-b-3,DEFINES,USC-3552(b)(3)
FISMA-2014,DEF-USC3552-b-4,DEFINES,USC-3552(b)(4)
FISMA-2014,DEF-USC3552-b-5,DEFINES,USC-3552(b)(5)
FISMA-2014,DEF-USC3552-b-7,DEFINES,USC-3552(b)(7)
CIO-FY25,DEF-CIO-01,DEFINES,
CIO-FY25,DEF-CIO-02,DEFINES,
CIO-FY25,DEF-CIO-03,DEFINES,
CIO-FY25,DEF-CIO-04,DEFINES,
CIO-FY25,DEF-CIO-05,DEFINES,
CIO-FY25,DEF-CIO-06,DEFINES,
CIO-FY25,DEF-CIO-07,DEFINES,
CIO-FY25,DEF-CIO-08,DEFINES,
CIO-FY25,DEF-CIO-09,DEFINES,
CIO-FY25,DEF-CIO-10,DEFINES,
CIO-FY25,DEF-CIO-11,DEFINES,
CIO-FY25,DEF-CIO-12,DEFINES,
