source_id,target_id,rel_type
slide_01,stmt_001,HAS_STATEMENT
slide_01,stmt_002,HAS_STATEMENT
slide_01,stmt_003,HAS_STATEMENT
slide_01,stmt_004,HAS_STATEMENT
slide_02,stmt_005,HAS_STATEMENT
slide_02,stmt_006,HAS_STATEMENT
slide_03,stmt_007,HAS_STATEMENT
slide_03,stmt_008,HAS_STATEMENT
slide_03,stmt_009,HAS_STATEMENT
slide_03,stmt_010,HAS_STATEMENT
slide_03,stmt_011,HAS_STATEMENT
slide_03,stmt_012,HAS_STATEMENT
slide_04,stmt_013,HAS_STATEMENT
slide_04,stmt_014,HAS_STATEMENT
slide_04,stmt_015,HAS_STATEMENT
slide_04,stmt_016,HAS_STATEMENT
slide_05,stmt_017,HAS_STATEMENT
slide_05,stmt_018,HAS_STATEMENT
slide_05,stmt_019,HAS_STATEMENT
slide_05,stmt_020,HAS_STATEMENT
slide_05,stmt_021,HAS_STATEMENT
slide_05,stmt_022,HAS_STATEMENT
slide_05,stmt_023,HAS_STATEMENT
slide_05,stmt_024,HAS_STATEMENT
slide_06,stmt_025,HAS_STATEMENT
slide_06,stmt_026,HAS_STATEMENT
slide_06,stmt_027,HAS_STATEMENT
slide_06,stmt_028,HAS_STATEMENT
slide_06,stmt_029,HAS_STATEMENT
slide_06,stmt_030,HAS_STATEMENT
slide_06,stmt_031,HAS_STATEMENT
slide_07,stmt_032,HAS_STATEMENT
slide_07,stmt_033,HAS_STATEMENT
slide_07,stmt_034,HAS_STATEMENT
slide_07,stmt_035,HAS_STATEMENT
slide_08,stmt_036,HAS_STATEMENT
slide_08,stmt_037,HAS_STATEMENT
slide_08,stmt_038,HAS_STATEMENT
slide_08,stmt_039,HAS_STATEMENT
slide_08,stmt_040,HAS_STATEMENT
slide_08,stmt_041,HAS_STATEMENT
slide_08,stmt_042,HAS_STATEMENT
slide_08,stmt_043,HAS_STATEMENT
slide_08,stmt_044,HAS_STATEMENT
slide_08,stmt_045,HAS_STATEMENT
slide_08,stmt_046,HAS_STATEMENT
slide_08,stmt_047,HAS_STATEMENT
slide_08,stmt_048,HAS_STATEMENT
slide_08,stmt_049,HAS_STATEMENT
slide_08,stmt_050,HAS_STATEMENT
slide_08,stmt_051,HAS_STATEMENT
slide_08,stmt_052,HAS_STATEMENT
slide_08,stmt_053,HAS_STATEMENT
slide_08,stmt_054,HAS_STATEMENT
slide_08,stmt_055,HAS_STATEMENT
slide_08,stmt_056,HAS_STATEMENT
slide_08,stmt_057,HAS_STATEMENT
slide_08,stmt_058,HAS_STATEMENT
slide_08,stmt_059,HAS_STATEMENT
slide_08,stmt_060,HAS_STATEMENT
slide_11,stmt_061,HAS_STATEMENT
slide_11,stmt_062,HAS_STATEMENT
slide_11,stmt_063,HAS_STATEMENT
slide_11,stmt_064,HAS_STATEMENT
slide_11,stmt_065,HAS_STATEMENT
slide_11,stmt_066,HAS_STATEMENT
slide_11,stmt_067,HAS_STATEMENT
slide_11,stmt_068,HAS_STATEMENT
slide_12,stmt_069,HAS_STATEMENT
slide_12,stmt_070,HAS_STATEMENT
slide_12,stmt_071,HAS_STATEMENT
slide_12,stmt_072,HAS_STATEMENT
slide_13,stmt_073,HAS_STATEMENT
slide_13,stmt_074,HAS_STATEMENT
