source_id,target_id,rel_type
slide_04,auth_fisma,PRESENTS
slide_04,auth_omb_a130,PRESENTS
slide_04,auth_fedramp_policy,PRESENTS
slide_04,auth_fedramp_act,PRESENTS
slide_05,body_fsca,PRESENTS
slide_05,body_jab,PRESENTS
slide_05,body_pmo,PRESENTS
slide_05,body_omb,PRESENTS
slide_05,body_dod,PRESENTS
slide_05,body_cio_council,PRESENTS
slide_05,body_dhs,PRESENTS
slide_05,body_ciso_council,PRESENTS
slide_05,body_nist,PRESENTS
slide_06,body_jab_path,PRESENTS
slide_06,path_jab_pato,PRESENTS
slide_06,path_agency_ato,PRESENTS
slide_07,stk_agencies,PRESENTS
slide_07,stk_csp,PRESENTS
slide_07,stk_3pao,PRESENTS
slide_08,wl_pmo_ops,PRESENTS
slide_08,wl_agency_eng,PRESENTS
slide_08,wl_3pao_perf,PRESENTS
slide_08,wl_jab_auth,PRESENTS
slide_08,wl_priority,PRESENTS
slide_08,wl_training,PRESENTS
slide_03,ben_do_once,PRESENTS
slide_03,ben_transparency,PRESENTS
slide_03,ben_validated,PRESENTS
slide_03,ben_central,PRESENTS
slide_11,chg_legislation,PRESENTS
slide_11,chg_funding,PRESENTS
slide_11,chg_rev5,PRESENTS
slide_11,chg_modernize,PRESENTS
slide_12,goal_1,PRESENTS
slide_12,goal_2,PRESENTS
slide_12,goal_3,PRESENTS
slide_02,con_fedramp,PRESENTS
slide_06,con_pato,PRESENTS
slide_08,con_oscal,PRESENTS
slide_06,con_fedramp_authorized,PRESENTS
slide_06,con_agency_initial_ato,PRESENTS
slide_06,con_agency_leveraged_ato,PRESENTS
