source_id,target_id,rel_type
wl_pmo_ops,stmt_036,HAS_ACTIVITY
wl_pmo_ops,stmt_037,HAS_ACTIVITY
wl_pmo_ops,stmt_038,HAS_ACTIVITY
wl_pmo_ops,stmt_039,HAS_ACTIVITY
wl_pmo_ops,stmt_040,HAS_ACTIVITY
wl_agency_eng,stmt_041,HAS_ACTIVITY
wl_agency_eng,stmt_042,HAS_ACTIVITY
wl_agency_eng,stmt_043,HAS_ACTIVITY
wl_3pao_perf,stmt_044,HAS_ACTIVITY
wl_3pao_perf,stmt_045,HAS_ACTIVITY
wl_3pao_perf,stmt_046,HAS_ACTIVITY
wl_jab_auth,stmt_047,HAS_ACTIVITY
wl_jab_auth,stmt_048,HAS_ACTIVITY
wl_jab_auth,stmt_049,HAS_ACTIVITY
wl_jab_auth,stmt_050,HAS_ACTIVITY
wl_jab_auth,stmt_051,HAS_ACTIVITY
wl_priority,stmt_052,HAS_ACTIVITY
wl_priority,stmt_053,HAS_ACTIVITY
wl_priority,stmt_054,HAS_ACTIVITY
wl_training,stmt_055,HAS_ACTIVITY
wl_training,stmt_056,HAS_ACTIVITY
wl_training,stmt_057,HAS_ACTIVITY
wl_training,stmt_058,HAS_ACTIVITY
wl_training,stmt_059,HAS_ACTIVITY
