part_id,part_number,title,authority,source_note,source_document
PART-120,120,PURPOSE AND DEFINITIONS,"Authority: (22 U.S.C.2651a, 2752, 2753, 2776, 2778, 2779, 2779a, 2785, 2794, 2797; E.O. 13637, 78 FR 16129, 3 CFR, 2013 Comp., p. 223.","Source. 87 FR 16411, Mar. 23, 2022, unless otherwise noted.","International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
PART-121,121,THE UNITED STATES MUNITIONS LIST,"Authority: (22 U.S.C. 2752, 2778, 2797; 22 U.S.C. 2651a Sec. 1514, Pub. L. 105-261, 112 Stat. 2175; E.O. 13637 78 FR 16129, 3 CFR, 2013 Comp., p. 223.","Source. 58 FR 39287, July 22, 1993, unless otherwise noted. Enumeration of Articles","International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
PART-122,122,REGISTRATION OF MANUFACTURERS AND EXPORTERS,"Authority: Sections 2 and 38, Pub. L. 90-629, 90 Stat. 744 (22 U.S.C. 2752, 2778); 22 U.S.C. 2651a; E.O. 13637, 78 FR 16129.","Source. 58 FR 39298, July 22, 1993, unless otherwise noted.","International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
PART-123,123,LICENSES FOR THE EXPORT AND TEMPORARY IMPORT OF DEFENSE ARTICLES,"Authority: Secs. 2, 38, and 71, Pub. L. 90-629, 90 Stat. 744 (22 U.S.C. 2752, 2778, 2797); 22 U.S.C. 2753; 22 U.S.C. 2651a; 22 U.S.C. 2776; Pub. L. 105-261, 112 Stat. 1920; Sec. 1205(a), Pub. L. 107-228; Sec. 520, Pub. L. 112-55; Section 1261, Pub. L. 112-239; E.O. 13637, 78 FR 16129.","Source. 58 FR 39299, July 22, 1993, unless otherwise noted.","International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
PART-124,124,"AGREEMENTS, OFF-SHORE PROCUREMENT, AND OTHER DEFENSE SERVICES","Authority: Secs. 2, 38, and 71, Pub. L. 90-629, 90 Stat. 744 (22 U.S.C. 2752, 2778, 2797); 22 U.S.C. 2753; 22 U.S.C. 2651a; 22 U.S.C. 2776; Section 1514, Pub. L. 105-261, Pub. L. 111-266; Section 1261, Pub. L. 112-239; E.O. 13637, 78 FR 16129.","Source. 58 FR 39305, July 22, 1993, unless otherwise noted.","International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
PART-125,125,LICENSES FOR THE EXPORT OF TECHNICAL DATA AND CLASSIFIED DEFENSE ARTICLES,"Authority: Secs. 2, 38, and 71, Pub. L. 90-629, 90 Stat. 744 (22 U.S.C. 2752, 2778); 22 U.S.C. 2651a; E.O. 13637, 78 FR 16129.","Source. 58 FR 39310, July 22, 1993, unless otherwise noted.","International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
PART-126,126,GENERAL POLICIES AND PROVISIONS,"Authority: 22 U.S.C. 287c, 2651a, 2752, 2753, 2776, 2778, 2779, 2779a, 2780, 2791, 2797, 10423; sec. 1225, Pub. L. 108-375,118 Stat.2091: sec. 7045, Pub. L. 112-74, 125 Stat.1232: sec.1250A, Pub L 116-92, 133 Stat. 1665: sec.205, Pub L. 116-94, 133 Stat.3052, and E.O. 13637, 78 FR 16129, 3CFR, 2013 Comp., p. 223.","Source. 58 FR 39312, July 22, 1993, unless otherwise noted.","International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
PART-127,127,VIOLATIONS AND PENALTIES,"Authority: Sections 2, 38, and 42, Pub. L. 90-629, 90 Stat. 744 (22 U.S.C. 2752, 2778, 2791); 22 U.S.C. 401; 22 U.S.C. 2651a; 22 U.S.C. 2779a; 22 U.S.C. 2780; E.O. 13637, 78 FR 16129; Pub. L. 114-74, 129 Stat. 584.","Source. 58 FR 39316, July 22, 1993, unless otherwise noted.","International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
PART-128,128,ADMINISTRATIVE PROCEDURES,"Authority: Sections 2, 38, 40, 42, and 71, Arms Export Control Act. 90 Stat. 744 (22 U.S.C. 2752, 2778, 2780, 2791, and 2797); 22 U.S.C. 2651a; E.O. 12291, 46 FR 1981; E.O. 13637, 78 FR 16129.","Source. 58 FR 39320, July 22, 1993, unless otherwise noted.","International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
PART-129,129,REGISTRATION AND LICENSING OF BROKERS,"Authority: Section 38, Pub. L. 104-164, 110 Stat. 1437, (22 U.S.C. 2778); E.O. 13637, 78 FR 16129.","Source. 62 FR 67276, Dec. 24, 1997, unless otherwise noted.","International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
