supplemententry_id,supplement,usml_entry,exclusion_text,excluded_canada_126_5,excluded_australia_126_16,excluded_uk_126_17,part_id,source_document
SUPP1-001,Supplement No. 1 to Part 126,I-XXI,Classified defense articles and services. See Note 1,X,,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-002,Supplement No. 1 to Part 126,I-XXI,Defense articles listed in the Missile Technology X Control Regime (MTCR) Annex,X,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-003,Supplement No. 1 to Part 126,I-XXI,U.S. origin defense articles and services used for X marketing purposes and not previously licensed for export in accordance with this subchapter,,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-004,Supplement No. 1 to Part 126,I-XXI,Defense services for or technical data related to X defense articles identified in this supplement as excluded from the Canadian exemption,X,,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-005,Supplement No. 1 to Part 126,I-XXI,Any transaction involving the export of defense articles and X services for which congressional notification is required in accordance with § 123.15 and § 124.11 of this subchapter. See Note 17,X,,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-006,Supplement No. 1 to Part 126,I-XXI,"U.S. origin defense articles and services specific to X developmental systems that have not obtained written Milestone B approval from the U.S. Department of Defense milestone approval authority, unless such export is pursuant to a written solicitation or contract issued or awarded by the U.S. Department of Defense for an end-use identified in paragraph (e)(1), (e)(2), or (e)(4) of § 126.16 or § 126.17 of this subchapter and is consistent with other exclusions of this supplement",,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-007,Supplement No. 1 to Part 126,I-XXI,"Nuclear weapons strategic delivery systems and all X components, parts, accessories, and attachments specifically designed for such systems and associated equipment",X,,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-008,Supplement No. 1 to Part 126,I-XXI,"Defense articles and services specific to the existence or X method of compliance with anti-tamper measures, where such measures are readily identifiable, made at originating Government direction",,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-009,Supplement No. 1 to Part 126,I-XXI,Defense articles and services specific to reduced X observables or counter low observables in any part of the spectrum. See Note 2,,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-010,Supplement No. 1 to Part 126,I-XXI,Defense articles and services specific to sensor fusion X beyond that required for display or identification correlation. See Note 3,,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
