committeemember_id,committee_id,position,designation,role,source_document
CRAC-M1,CRAC,1,"Minister, Information Technology",Chairman,KB 2/India/Information Technology Act 2000.pdf
CRAC-M2,CRAC,2,"Secretary, Legislative Department",Member,KB 2/India/Information Technology Act 2000.pdf
CRAC-M3,CRAC,3,"Secretary, Ministry of Information Technology",Member,KB 2/India/Information Technology Act 2000.pdf
CRAC-M4,CRAC,4,"Secretary, Department of Telecommunications",Member,KB 2/India/Information Technology Act 2000.pdf
CRAC-M5,CRAC,5,Finance Secretary,Member,KB 2/India/Information Technology Act 2000.pdf
CRAC-M6,CRAC,6,"Secretary, Ministry of Defence",Member,KB 2/India/Information Technology Act 2000.pdf
CRAC-M7,CRAC,7,"Secretary, Ministry of Home Affairs",Member,KB 2/India/Information Technology Act 2000.pdf
CRAC-M8,CRAC,8,"Secretary, Ministry of Commerce",Member,KB 2/India/Information Technology Act 2000.pdf
CRAC-M9,CRAC,9,"Deputy Governor, Reserve Bank of India",Member,KB 2/India/Information Technology Act 2000.pdf
CRAC-M10,CRAC,10,"Shri T K Vishwanathan, Presently Member Secretary, Law Commission",Member,KB 2/India/Information Technology Act 2000.pdf
CRAC-M11,CRAC,11,"President, NASSCOM",Member,KB 2/India/Information Technology Act 2000.pdf
CRAC-M12,CRAC,12,"President, Internet Service Providers Association",Member,KB 2/India/Information Technology Act 2000.pdf
CRAC-M13,CRAC,13,"Director, Central Bureau of Investigation",Member,KB 2/India/Information Technology Act 2000.pdf
CRAC-M14,CRAC,14,Controller of Certifying Authority,Member,KB 2/India/Information Technology Act 2000.pdf
CRAC-M15,CRAC,15,Information Technology Secretary by rotation from the States,Member,KB 2/India/Information Technology Act 2000.pdf
CRAC-M16,CRAC,16,Director General of Police by rotation from the States,Member,KB 2/India/Information Technology Act 2000.pdf
CRAC-M17,CRAC,17,"Director, IIT by rotation from the IITs",Member,KB 2/India/Information Technology Act 2000.pdf
CRAC-M18,CRAC,18,Representative of CII,Member,KB 2/India/Information Technology Act 2000.pdf
CRAC-M19,CRAC,19,Representative of FICCI,Member,KB 2/India/Information Technology Act 2000.pdf
CRAC-M20,CRAC,20,Representative of ASSOCHAM,Member,KB 2/India/Information Technology Act 2000.pdf
CRAC-M21,CRAC,21,"Senior Director, Ministry of Information Technology",Member Secretary,KB 2/India/Information Technology Act 2000.pdf
