provision_id,rule_id,ruleset_id,label,level,text,act_section_refs,rule_refs,schedule_refs,para_refs,source_document
CA-R1-1,CA-R1,RS-CA,(1),num,"These Rules may be called Information Technology (Certifying Authorities) Rules, 2000.",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R1-2,CA-R1,RS-CA,(2),num,They shall come into force on the date of their publication in the Official Gazette.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R2-a,CA-R2,RS-CA,(a),alpha,"“Act” means the Information Technology Act, 2000 (21 of 2000);",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R2-b,CA-R2,RS-CA,(b),alpha,“applicant” means Certifying Authority applicant;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R2-c,CA-R2,RS-CA,(c),alpha,“auditor” means any internationally accredited computer security professional or agency appointed by the Certifying Authority and recognized by the Controller for conducting technical audit of operation of Certifying Authority;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R2-d,CA-R2,RS-CA,(d),alpha,“Controller” means Controller of Certifying Authorities appointed under sub-section (1) of Section 17 of the Act;,17,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R2-e,CA-R2,RS-CA,(e),alpha,“Digital Signature Certificate” means Digital Signature Certificate issued under sub-section (4) of section 35 of the Act;,35,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R2-f,CA-R2,RS-CA,(f),alpha,"“information asset” means all information resources utilized in the course of any organisation’s business and includes all information, applications (software developed or purchased), and technology (hardware, system software and networks);",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R2-g,CA-R2,RS-CA,(g),alpha,“licence” means a licence granted to Certifying Authorities for the issue of Digital Signature Certificates under these rules;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R2-h,CA-R2,RS-CA,(h),alpha,“licensed Certifying Authority” means Certifying Authority who has been granted a licence to issue Digital Signature Certificates;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R2-i,CA-R2,RS-CA,(i),alpha,"“person” shall include an individual; or a company or association or body of individuals; whether incorporated or not; or Central Government or a State Government or any of the Ministries or Departments, Agencies or Authorities of such Governments;",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R2-j,CA-R2,RS-CA,(j),alpha,“Schedule” means a schedule annexed to these rules;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R2-k,CA-R2,RS-CA,(k),alpha,“subscriber identity verification method” means the method used to verify and authenticate the identity of a subscriber;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R2-l,CA-R2,RS-CA,(l),alpha,“trusted person” means any person who has: –,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R2-l-i,CA-R2,RS-CA,(l)(i),roman,"direct responsibilities for the day-to-day operations, security and performance of those business activities that are regulated under the Act or these Rules in respect of a Certifying Authority; or",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R2-l-ii,CA-R2,RS-CA,(l)(ii),roman,"duties directly involving the issuance, renewal, suspension, revocation of Digital Signature Certificates (including the identification of any person requesting a Digital Signature Certificate from a licensed Certifying Authority), creation of private keys or administration of a Certifying Authority's computing facilities.",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R2-m,CA-R2,RS-CA,(m),alpha,words and expressions used herein and not defined but defined in Schedule-IV shall have the meaning respectively assigned to them in that schedule.,,,IV,,KB 2/India/Information Technology Act 2000.pdf
CA-R3-a,CA-R3,RS-CA,(a),alpha,be created and verified by cryptography that concerns itself with transforming electronic record into seemingly unintelligible forms and back again;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R3-b,CA-R3,RS-CA,(b),alpha,"use what is known as “Public Key Cryptography”, which employs an algorithm using two different but mathematical related “keys” – one for creating a Digital Signature or transforming data into a seemingly unintelligible form, and another key for verifying a Digital Signature or returning the electronic record to original form, the process termed as hash function shall be used in both creating and verifying a Digital Signature. Explanation: Computer equipment and software utilizing two such keys are often termed as “asymmetric cryptography”.",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R5-i,CA-R5,RS-CA,(i),roman,if the Digital Signature was created using the corresponding private key; and,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R5-ii,CA-R5,RS-CA,(ii),roman,if the newly computed hash result matches the original result which was transformed into Digital Signature during the signing process. The verification software will confirm the Digital Signature as verified if:-,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R5-ii-a,CA-R5,RS-CA,(ii)(a),alpha,"the signer’s private key was used to digitally sign the electronic record, which is known to be the case if the signer’s public key was used to verify the signature because the signer’s public key will verify only a Digital Signature created with the signer’s private key; and",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R5-ii-b,CA-R5,RS-CA,(ii)(b),alpha,"the electronic record was unaltered, which is known to be the case if the hash result computed by the verifier is identical to the hash result extracted from the Digital Signature during the verification process.",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R7-a,CA-R7,RS-CA,(a),alpha,Serial Number (assigning of serial number to the Digital Signature Certificate by Certifying Authority to distinguish it from other certificate);,,,,,KB 2/India/Information Technology Act 2000.pdf
