source_id,target_id,rel_type
CA-R2-a,CA-DEF-a,DEFINES
CA-R2-b,CA-DEF-b,DEFINES
CA-R2-c,CA-DEF-c,DEFINES
CA-R2-d,CA-DEF-d,DEFINES
CA-R2-e,CA-DEF-e,DEFINES
CA-R2-f,CA-DEF-f,DEFINES
CA-R2-g,CA-DEF-g,DEFINES
CA-R2-h,CA-DEF-h,DEFINES
CA-R2-i,CA-DEF-i,DEFINES
CA-R2-j,CA-DEF-j,DEFINES
CA-R2-k,CA-DEF-k,DEFINES
CA-R2-l,CA-DEF-l,DEFINES
CA-R2-l-i,CA-DEF-l-i,DEFINES
CA-R2-l-ii,CA-DEF-l-ii,DEFINES
CA-R2-m,CA-DEF-m,DEFINES
CRAT-R2-a,CRAT-DEF-a,DEFINES
CRAT-R2-b,CRAT-DEF-b,DEFINES
CRAT-R2-c,CRAT-DEF-c,DEFINES
CRAT-R2-d,CRAT-DEF-d,DEFINES
CRAT-R2-e,CRAT-DEF-e,DEFINES
CRAT-R2-f,CRAT-DEF-f,DEFINES
CRAT-R2-g,CRAT-DEF-g,DEFINES
CRAT-R2-h,CRAT-DEF-h,DEFINES
CRAT-R2-i,CRAT-DEF-i,DEFINES
CRAT-R2-j,CRAT-DEF-j,DEFINES
