clause_id,article_id,parent_clause_id,label,level,text,source_document
art_2_1,art_2,,(1),paragraph,"This law shall apply to any Person, Public Body, and International Organization that engages in a legal act as governed by this Law:",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_2_1_a,art_2,art_2_1,a.,letter,within the jurisdiction of the Republic of Indonesia; and,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_2_1_b,art_2,art_2_1,b.,letter,"outside the jurisdiction of the Republic of Indonesia, which has a legal effect:",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_2_1_b_1,art_2,art_2_1_b,1.,number,in the jurisdiction of the State of the Republic of Indonesia; and/or,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_2_1_b_2,art_2,art_2_1_b,2.,number,on a Personal Data Subject who is an Indonesian citizen outside the jurisdiction of the State of the Republic of Indonesia.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_2_2,art_2,,(2),paragraph,This Law does not apply to the processing of Personal Data by individuals in the course of personal or household activities.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_3_a,art_3,,a.,letter,protection,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_3_b,art_3,,b.,letter,legal certainty,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_3_c,art_3,,c.,letter,public interest,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_3_d,art_3,,d.,letter,benefit,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_3_e,art_3,,e.,letter,prudence,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_3_f,art_3,,f.,letter,balance,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_3_g,art_3,,g.,letter,accountability; and,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_3_h,art_3,,h.,letter,confidentiality.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_4_1,art_4,,(1),paragraph,Personal Data shall include:,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_4_1_a,art_4,art_4_1,a.,letter,Special category Personal Data; and,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_4_1_b,art_4,art_4_1,b.,letter,Special category Personal Data,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_4_2,art_4,,(2),paragraph,Special category Personal Data under section (1) (a) shall include:,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
