definition_id,term,definition_text,definition_source,located_in,source_document
def_art1_1,Personal Data,"Personal Data means data relating to an identified or identifiable individual, wherein an identifiable individual is a person who can be identified, either independently or in a combination with other information, directly or indirectly, through an electronic or nonelectronic system.",Article 1 definition,art_1_1,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_art1_2,Personal Data Protection,Personal Data Protection means a comprehensive effort to protect Personal Data in all stages of processing in order to guarantee the constitutional rights of the Personal Data subject.,Article 1 definition,art_1_2,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_art1_3,Information,"Information means any description, statement, idea, or sign containing value, meaning, or message, associated with data, facts, or the description thereof, which is visible, audible, or readable, as conveyed in various packages and formats that keep abreast of the development of electronic or nonelectronic information and communications technology.",Article 1 definition,art_1_3,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_art1_4,Personal Data Controller,"Personal Data Controller means a person, public body, and international organization that acts individually or collectively to define the purposes, and controls the processing of Personal Data.",Article 1 definition,art_1_4,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_art1_5,Personal Data Processor,"Personal Data Processor means a person, public body, and international organization that acts individually or collectively to process Personal Data on behalf of the Personal Data Controller.",Article 1 definition,art_1_5,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_art1_6,Personal Data Subject,Personal Data Subject means an individual to whom Personal Data is attached.,Article 1 definition,art_1_6,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_art1_7,Any Person,Any Person means an individual or a Corporation.,Article 1 definition,art_1_7,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_art1_8,Corporation,"Corporation means an organized group of persons and/or assets, whether incorporated or unincorporated.",Article 1 definition,art_1_8,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_art1_9,Public Body,"Public Body means the executive, the legislature, the judiciary, and other bodies whose main functions and duties are related to the administration of the state, and whose funding is partly or wholly sourced from the State Budget and/or the Regional Budget, or non-governmental organizations to the extent the whole or any part of the fund is sourced from the State Budget and/or the Regional Budget, the public and/or foreign donations.",Article 1 definition,art_1_9,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_art1_10,International Organization,International Organization means an organization that is recognized as the subject of international law and has the capacity to enter into an international agreement.,Article 1 definition,art_1_10,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_art1_11,Central Government,"Central Government, hereinafter referred to as the Government, means the President of the Republic of Indonesia with the power of the Government of the State of the Republic of Indonesia vested in him/her under the 1945 Constitution of the Republic of Indonesia.",Article 1 definition,art_1_11,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_el_1,Principle of protection,"""Principle of protection"" means that every act of processing of Personal Data is conducted by giving protection to the Personal Data Subject of his/her Personal Data against misuse.",Elucidation definition,art_3_a,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_el_2,Principle of legal certainty,“Principle of legal certainty” means that every act of processing of Personal Data is conducted on a legal basis to actualize Personal Data Protection and anything else in furtherance of the implementation thereof in order to gain legal recognition within and outside court.,Elucidation definition,art_3_b,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_el_3,Principle of public interest,"“Principle of public interest” means that in upholding Personal Data Protection, due regard must be given extensively in the general public or community interest. Public interest includes the interests of state administration and the interests of national defense and security.",Elucidation definition,art_3_c,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_el_4,Principle of benefit,"""Principle of benefit"" means that the regulation on Personal Data Protection must be beneficial to the national interest, to especially achieve the ideals of public welfare.",Elucidation definition,art_3_d,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_el_5,Principle of prudence,“Principle of prudence” means that parties involved in the processing and supervision of Personal Data must be concerned about any aspect with potential to cause loss.,Elucidation definition,art_3_e,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_el_6,Principle of balance,"""Principle of balance"" means an effort to protect Personal Data in order to balance the right to Personal Data and legitimate state rights in the public interest.",Elucidation definition,art_3_f,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_el_7,Principle of accountability,"“Principle of accountability” means that parties involved in the processing and supervision of Personal Data should act responsibly so as to ensure the balance of rights and obligations of the relevant parties, including the Personal Data Subject.",Elucidation definition,art_3_g,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_el_8,Principle of confidentiality,“Principle of confidentiality” means that Personal Data is protected from unauthorized parties and/or from unauthorized processing of Personal Data.,Elucidation definition,art_3_h,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_el_9,Special category Personal Data,"Special category Personal Data is Personal Data which, if processed, may have a greater impact on the Personal Data Subject, including discriminatory treatment and greater loss to a Personal Data Subject.",Elucidation definition,art_4_1_a,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_el_10,Health data and information,"“Health data and information” means individual records or statement relating to physical health, mental health; and/or health services.",Elucidation definition,art_4_2_a,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_el_11,Biometric data,"“Biometric data” means data relating to physical, physiological, or behavioral characteristics of individuals that allows unique identification of individuals, such as facial images, or dactyloscopic data. Biometric data, which is duly guarded and maintained, also indicates the uniqueness and/or characteristics of a person, including, but not limited to, fingerprint mapping, retina, scans, and DNA samples.",Elucidation definition,art_4_2_b,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_el_12,Genetic data,“Genetic data” means all data of any kind relating to the inherited or acquired genetic characteristics of an individual in early prenatal development;,Elucidation definition,art_4_2_c,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_el_13,Criminal records,"""Criminal records"" means a written record of a person who has committed a tort or broken the law or is currently in the process of justice for the commission, including police records and inclusion on the banned-exit and -entry list.",Elucidation definition,art_4_2_d,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
def_el_14,Personal financial data,"“Personal financial data” includes, but is not limited to data on bank deposits, including savings, fixed deposits, and credit card data.",Elucidation definition,art_4_2_f,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
