source_id,target_id,rel_type
art_2,art_2_1,HAS_CLAUSE
art_2_1,art_2_1_a,HAS_SUBCLAUSE
art_2_1,art_2_1_b,HAS_SUBCLAUSE
art_2_1_b,art_2_1_b_1,HAS_SUBCLAUSE
art_2_1_b,art_2_1_b_2,HAS_SUBCLAUSE
art_2,art_2_2,HAS_CLAUSE
art_3,art_3_a,HAS_CLAUSE
art_3,art_3_b,HAS_CLAUSE
art_3,art_3_c,HAS_CLAUSE
art_3,art_3_d,HAS_CLAUSE
art_3,art_3_e,HAS_CLAUSE
art_3,art_3_f,HAS_CLAUSE
art_3,art_3_g,HAS_CLAUSE
art_3,art_3_h,HAS_CLAUSE
art_4,art_4_1,HAS_CLAUSE
art_4_1,art_4_1_a,HAS_SUBCLAUSE
art_4_1,art_4_1_b,HAS_SUBCLAUSE
art_4,art_4_2,HAS_CLAUSE
art_4_2,art_4_2_a,HAS_SUBCLAUSE
art_4_2,art_4_2_b,HAS_SUBCLAUSE
art_4_2,art_4_2_c,HAS_SUBCLAUSE
art_4_2,art_4_2_d,HAS_SUBCLAUSE
art_4_2,art_4_2_e,HAS_SUBCLAUSE
art_4_2,art_4_2_f,HAS_SUBCLAUSE
art_4_2,art_4_2_g,HAS_SUBCLAUSE
art_4,art_4_3,HAS_CLAUSE
art_4_3,art_4_3_a,HAS_SUBCLAUSE
art_4_3,art_4_3_b,HAS_SUBCLAUSE
art_4_3,art_4_3_c,HAS_SUBCLAUSE
art_4_3,art_4_3_d,HAS_SUBCLAUSE
art_4_3,art_4_3_e,HAS_SUBCLAUSE
art_4_3,art_4_3_f,HAS_SUBCLAUSE
art_7,art_7_note,HAS_CLAUSE
art_10,art_10_1,HAS_CLAUSE
art_10,art_10_2,HAS_CLAUSE
art_12,art_12_1,HAS_CLAUSE
art_12,art_12_2,HAS_CLAUSE
art_13,art_13_1,HAS_CLAUSE
art_13,art_13_2,HAS_CLAUSE
art_13,art_13_3,HAS_CLAUSE
art_15,art_15_1,HAS_CLAUSE
art_15_1,art_15_1_a,HAS_SUBCLAUSE
art_15_1,art_15_1_b,HAS_SUBCLAUSE
art_15_1,art_15_1_c,HAS_SUBCLAUSE
art_15_1,art_15_1_d,HAS_SUBCLAUSE
art_15_1,art_15_1_e,HAS_SUBCLAUSE
art_15,art_15_2,HAS_CLAUSE
art_16,art_16_1,HAS_CLAUSE
art_16_1,art_16_1_a,HAS_SUBCLAUSE
art_16_1,art_16_1_b,HAS_SUBCLAUSE
art_16_1,art_16_1_c,HAS_SUBCLAUSE
art_16_1,art_16_1_d,HAS_SUBCLAUSE
art_16_1,art_16_1_e,HAS_SUBCLAUSE
art_16_1,art_16_1_f,HAS_SUBCLAUSE
art_16,art_16_2,HAS_CLAUSE
art_16_2,art_16_2_a,HAS_SUBCLAUSE
art_16_2,art_16_2_b,HAS_SUBCLAUSE
art_16_2,art_16_2_c,HAS_SUBCLAUSE
art_16_2,art_16_2_d,HAS_SUBCLAUSE
art_16_2,art_16_2_e,HAS_SUBCLAUSE
