article_id,number,heading,container_id,text,source_document
ART_1,Article 1,Purpose,CH_1,"The purpose of this Act is to protect the rights and interests of individuals while taking consideration of the usefulness of personal information, in view of a remarkable increase in the utilization of personal information due to development of the advanced information and communications society, by clarifying the responsibilities of the State and local governments, etc. with laying down basic principle, establishment of a basic policy by the Government and the matters to serve as a basis for other measures on the protection of personal information, and by prescribing the duties to be observed by entities handling personal information, etc., regarding the proper handling of personal information.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_2,Article 2,Definitions,CH_1,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_3,Article 3,Basic Principle,CH_1,"In view of the fact that personal information should be handled cautiously under the philosophy of respecting the personalities of individuals, proper handling of personal information shall be promoted.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_4,Article 4,Responsibilities of the State,CH_2,The State shall be responsible for comprehensively formulating and implementing measures necessary for ensuring the proper handling of personal information in conformity with the purport of this Act.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_5,Article 5,Responsibilities of Local governments,CH_2,Local governments shall be responsible for formulating and implementing the measures necessary for ensuring the proper handling of personal information according to the characteristics of their area in conformity with the purport of this Act.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_6,Article 6,"Legislative Measures, etc.",CH_2,The Government shall take necessary legislative and other measures to ensure that special measures will be taken for the protection of the personal information which especially needs to be ensured the strict implementation of its proper handling for the further protection of the rights and interests of individuals in view of the nature and the method of utilization of the personal information.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_7,Article 7,,SEC_3_1,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_8,Article 8,Support to Local Governments and Others,SEC_3_2,"In order to support the measures for the protection of personal information formulated or implemented by local governments and the activities performed by citizens, entities, and others to ensure the proper handling of personal information, the State shall provide information, formulate guidelines to ensure the appropriate and effective implementation of measures to be taken by entities and others, and take any other necessary measures.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_9,Article 9,Measures for the Processing of Complaints,SEC_3_2,"The State shall take necessary measures to ensure the appropriate, prompt processing of complaints arising between a business operator and a person about the handling of personal information concerning the person.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_10,Article 10,Measures to Ensure Proper Handling of Personal Information,SEC_3_2,"Through the appropriate division of roles between the State and local governments, the State shall take necessary measures to ensure the proper handling of personal information by entities handling personal information provided in the next chapter.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_11,Article 11,Protection of Personal Information Held by Local Governments and Others,SEC_3_3,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_12,Article 12,Support to Entities and Others in the Area,SEC_3_3,"In order to ensure the proper handling of personal information, a local government shall endeavor to take necessary measures for supporting entities and residents in its area.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_13,Article 13,"Mediation for the Processing of Complaints, etc.",SEC_3_3,"In order to ensure that any complaint arising between a business operator and a person about the handling of personal information will be handled appropriately and promptly, a local government shall endeavor to mediate the processing of complaints and take other necessary measures.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_14,Article 14,,SEC_3_4,The State and local governments shall cooperate in taking measures for the protection of personal information.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_15,Article 15,Specification of the Purpose of Utilization,SEC_4_1,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_16,Article 16,Restriction by the Purpose of Utilization,SEC_4_1,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_17,Article 17,Proper Acquisition,SEC_4_1,A business operator handling personal information shall not acquire personal information by a deception or other wrongful means.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_18,Article 18,"Notice of the Purpose of Utilization at the Time of Acquisition, etc.",SEC_4_1,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_19,Article 19,Maintenance of the Accuracy of Data,SEC_4_1,A business operator handling personal information shall endeavor to maintain personal data accurate and up to date within the scope necessary for the achievement of the Purpose of Utilization.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_20,Article 20,Security Control Measures,SEC_4_1,"A business operator handling personal information shall take necessary and proper measures for the prevention of leakage, loss, or damage, and for other security control of the personal data.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_21,Article 21,Supervision of Employees,SEC_4_1,"When a business operator handling personal information has an employee handle personal data, it shall exercise necessary and appropriate supervision over the employee to ensure the security control of the personal data.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_22,Article 22,Supervision of Trustees,SEC_4_1,"When a business operator handling personal information entrusts an individual or a business operator with the handling of personal data in whole or in part, it shall exercise necessary and appropriate supervision over the trustee to ensure the security control of the entrusted personal data.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_23,Article 23,Restriction of Provision to A Third Party,SEC_4_1,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_24,Article 24,"Public Announcement of Matters Concerning Retained Personal Data, etc.",SEC_4_1,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_25,Article 25,Disclosure,SEC_4_1,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_26,Article 26,"Correction, etc.",SEC_4_1,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_27,Article 27,"Discontinuance of the Utilization, etc.",SEC_4_1,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_28,Article 28,Explanation of Reasons,SEC_4_1,"When a business operator handling personal information notifies a person requesting the business operator to take certain measures pursuant to the provisions of paragraph 3 of Article 24, paragraph 2 of Article 25, paragraph 2 of Article 26, or paragraph 3 of the preceding article that the business operator will not take all or part of the measures or that the business operator will take different measures, the business operator shall endeavor to explain the reasons.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_29,Article 29,Procedures to Meet Requests for Disclosure and Others,SEC_4_1,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_30,Article 30,Charges,SEC_4_1,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_31,Article 31,Processing of Complaints by Entities Handling Personal Information,SEC_4_1,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_32,Article 32,Collection of Reports,SEC_4_1,The competent minister may have a business operator handling personal information make a report on the handle of personal information to the extent necessary for implementation of the provisions of this section.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_33,Article 33,Advice,SEC_4_1,The competent minister may advise a business operator handling personal information on the handle of personal information to the extent necessary for implementation of the provisions of this section.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_34,Article 34,Recommendations and Orders,SEC_4_1,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_35,Article 35,Restrictions of the Exercise of Authority by the Competent Minister,SEC_4_1,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_36,Article 36,Competent Ministers,SEC_4_1,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_37,Article 37,Authorization,SEC_4_2,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_38,Article 38,Clause of Disqualification,SEC_4_2,A business operator falling under any of the following items may not receive authorization set forth in paragraph 1 of the preceding article:,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_39,Article 39,Authorization Standard,SEC_4_2,The competent minister shall not grant authorization unless he or she considers that an application for authorization filed under paragraph 1 of Article 37 conforms every requirement enumerated in the following items:,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_40,Article 40,Notification of Abolition,SEC_4_2,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_41,Article 41,Target Entities,SEC_4_2,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_42,Article 42,Handling of Complaints,SEC_4_2,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_43,Article 43,Personal Information Protection Guidelines,SEC_4_2,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_44,Article 44,Prohibition of Utilization Other Than for Intended Purposes,SEC_4_2,An authorized personal information protection organization shall not utilize any information acquired in the course of conducting its authorized businesses for purposes other than that for the authorized business.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_45,Article 45,Restriction on Use of the Name,SEC_4_2,"A business operator that is not an authorized personal information protection organization shall not use the name ""authorized personal information protection organization"" or any other name that might be mistaken for it.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_46,Article 46,Collection of Reports,SEC_4_2,The competent minister may have an authorized personal information protection organization make a report on the authorized businesses to the extent necessary for implementation of the provisions of this section.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_47,Article 47,Orders,SEC_4_2,"The competent minister may order an authorized personal information protection organization to improve the method of conducting its authorized businesses, to amend its personal information protection guidelines, or to take any other necessary measures to the extent necessary for implementation of the provisions of this section.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_48,Article 48,Rescission of Authorization,SEC_4_2,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_49,Article 49,Competent Ministers,SEC_4_2,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_50,Article 50,Exclusion from Application,CH_5,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_51,Article 51,Affairs Handled by Local Governments,CH_5,The affairs belonging to the authority of a competent minister provided by this Act may be handled by the heads of local governments or by other executive agencies as prescribed by a Cabinet Order.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_52,Article 52,Delegation of Authority or Affairs,CH_5,The matters belonging to the authority or the affairs of a competent minister may be delegated to his or her staffs as prescribed by a Cabinet Order.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_53,Article 53,Public Announcement of the Status of Enforcement,CH_5,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_54,Article 54,Liaison and Cooperation,CH_5,The Prime Minister and the heads of the administrative organs involved in the enforecement of this Act shall maintain close liaison and cooperate with each other.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_55,Article 55,Delegation to Cabinet Orders,CH_5,"The matters necessary for implementation of this Act, in addition to those prescribed in this Act, shall be prescribed by Cabinet Orders.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_56,Article 56,,CH_6,"A business operator who violates orders issued under paragraph 2 or 3 of Article 34 shall be sentenced to imprisonment with work of not more than six months or to a fine of not more than 300,000 yen.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_57,Article 57,,CH_6,"A business operator who does not make a report required by Article 32 or 46 or who has made a false report shall be sentenced to a fine of not more than 300,000 yen.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_58,Article 58,,CH_6,,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_59,Article 59,,CH_6,"A business operator who falls under any of the following items shall be sentenced to a civil fine of not more than 100,000 yen:",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_SUPP_1,Supplementary Provisions Article 1,Effective Date,CH_SUPP,"This Act shall come into force as from the day of promulgation. However, the provisions of Chapter 4 to Chapter 6 and Article 2 to Article 6 of the supplementary Provisions shall become effective as of the date specified by a Cabinet Order within a period not exceeding two years from the day of promulgation.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_SUPP_2,Supplementary Provisions Article 2,Transitional Measures Concerning a Consent of a Person,CH_SUPP,"Where a person has given consent to the handling of his or her personal information prior to enforcement of this Act, and where the consent is equivalent to the consent that allows the personal information to be handled for a purpose other than the Purpose of Utilization specified under paragraph 1 of Article 15, then it shall be deemed that there is such consent as is prescribed in paragraph 1 or 2 of Article 16.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_SUPP_3,Supplementary Provisions Article 3,,CH_SUPP,"Where a person has given consent to the handling of his or her personal information prior to enforcement of this Act, and where the consent is equivalent to the consent that allows the personal data to be provided to a third party under paragraph 1 of Article 23, then it shall be deemed that there is such consent as is prescribed in the same paragraph.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_SUPP_4,Supplementary Provisions Article 4,Transitional Measures Concerning Notices,CH_SUPP,"If an individual has been notified, prior to enforcement of this Act, of the matters that shall be notified to the individual or be put in a readily accessible condition for the individual under paragraph 2 of Article 23, then it shall be deemed that the notice concerned has been given under the provision of the same paragraph.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_SUPP_5,Supplementary Provisions Article 5,,CH_SUPP,"If an individual has been notified, prior to enforcement of this Act, of the matters that shall be notified to the individual or be put in a readily accessible condition for the individual under item 3 of paragraph 4 of Article 23, then it shall be deemed that the notice concerned has been given under the provision of the same paragraph.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
ART_SUPP_6,Supplementary Provisions Article 6,Transitional Measures Concerning the Restriction on Use of the Name,CH_SUPP,"The provisions of Article 45 shall not apply, for six months after the provision of the same article is enforced, to any business operator actually using the name ""authorized personal information protection organization"" or a name that might be mistaken for it at the time when this Act is enforced.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
