paragraph_id,article_id,number,text,source_document
P_2_1,ART_2,(1),"The term ""personal information"" as used in this Act shall mean information about a living individual which can identify the specific individual by name, date of birth or other description contained in such information ( including such information as will allow easy reference to other information and will thereby enable the identification of the specific individual) .",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_2_2,ART_2,(2),"The term ""a personal information database, etc."" as used in this Act shall mean an assembly of information including personal information as set forth below:",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_2_3,ART_2,(3),"The term ""a business operator handling personal information"" as used in this Act shall mean a business operator using a personal information database, etc. for its business; however, the following entities shall be excluded;",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_2_4,ART_2,(4),"The term ""personal data"" as used in this Act shall mean personal information constituting a personal information database, etc.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_2_5,ART_2,(5),"The term ""retained personal data"" as used in this Act shall mean such personal data over which a business operator handling personal information has the authority to disclose, to correct, add or delete the content, to discontinue its utilization, to erase, and to discontinue its provision to a third party, excluding the data which is specified by a Cabinet Order as harming public or other interests if its presence or absence is known and the data which will be erased within a period of no longer than one year that is specified by a Cabinet Order.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_2_6,ART_2,(6),"The term ""person"" as to personal information as used in this Act shall mean a specific individual identified by personal information.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_7_1,ART_7,(1),"The Government shall establish a basic policy on the protection of personal information (hereinafter referred to as ""Basic Policy"") in order to ensure the comprehensive and integrated promotion of measures for the protection of personal information.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_7_2,ART_7,(2),The Basic Policy shall cover the following matters:,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_7_3,ART_7,(3),"The Prime Minister shall prepare a draft of the Basic Policy, consulting the Quality of Life Council, and seek a cabinet decision.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_7_4,ART_7,(4),"When a cabinet decision is made under the preceding paragraph, the Prime Minister shall publicly announce the Basic Policy without delay.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
