source_id,target_id,rel_type
ART_2,P_2_1,HAS_PARAGRAPH
ART_2,P_2_2,HAS_PARAGRAPH
ART_2,P_2_3,HAS_PARAGRAPH
ART_2,P_2_4,HAS_PARAGRAPH
ART_2,P_2_5,HAS_PARAGRAPH
ART_2,P_2_6,HAS_PARAGRAPH
ART_7,P_7_1,HAS_PARAGRAPH
ART_7,P_7_2,HAS_PARAGRAPH
ART_7,P_7_3,HAS_PARAGRAPH
ART_7,P_7_4,HAS_PARAGRAPH
ART_7,P_7_5,HAS_PARAGRAPH
ART_11,P_11_1,HAS_PARAGRAPH
ART_11,P_11_2,HAS_PARAGRAPH
ART_15,P_15_1,HAS_PARAGRAPH
ART_15,P_15_2,HAS_PARAGRAPH
ART_16,P_16_1,HAS_PARAGRAPH
ART_16,P_16_2,HAS_PARAGRAPH
ART_16,P_16_3,HAS_PARAGRAPH
ART_18,P_18_1,HAS_PARAGRAPH
ART_18,P_18_2,HAS_PARAGRAPH
ART_18,P_18_3,HAS_PARAGRAPH
ART_18,P_18_4,HAS_PARAGRAPH
ART_23,P_23_1,HAS_PARAGRAPH
ART_23,P_23_2,HAS_PARAGRAPH
ART_23,P_23_3,HAS_PARAGRAPH
ART_23,P_23_4,HAS_PARAGRAPH
ART_23,P_23_5,HAS_PARAGRAPH
ART_24,P_24_1,HAS_PARAGRAPH
ART_24,P_24_2,HAS_PARAGRAPH
ART_24,P_24_3,HAS_PARAGRAPH
ART_25,P_25_1,HAS_PARAGRAPH
ART_25,P_25_2,HAS_PARAGRAPH
ART_25,P_25_3,HAS_PARAGRAPH
ART_26,P_26_1,HAS_PARAGRAPH
ART_26,P_26_2,HAS_PARAGRAPH
ART_27,P_27_1,HAS_PARAGRAPH
ART_27,P_27_2,HAS_PARAGRAPH
ART_27,P_27_3,HAS_PARAGRAPH
ART_29,P_29_1,HAS_PARAGRAPH
ART_29,P_29_2,HAS_PARAGRAPH
ART_29,P_29_3,HAS_PARAGRAPH
ART_29,P_29_4,HAS_PARAGRAPH
ART_30,P_30_1,HAS_PARAGRAPH
ART_30,P_30_2,HAS_PARAGRAPH
ART_31,P_31_1,HAS_PARAGRAPH
ART_31,P_31_2,HAS_PARAGRAPH
ART_34,P_34_1,HAS_PARAGRAPH
ART_34,P_34_2,HAS_PARAGRAPH
ART_34,P_34_3,HAS_PARAGRAPH
ART_35,P_35_1,HAS_PARAGRAPH
ART_35,P_35_2,HAS_PARAGRAPH
ART_36,P_36_1,HAS_PARAGRAPH
ART_36,P_36_2,HAS_PARAGRAPH
ART_36,P_36_3,HAS_PARAGRAPH
ART_37,P_37_1,HAS_PARAGRAPH
ART_37,P_37_2,HAS_PARAGRAPH
ART_37,P_37_3,HAS_PARAGRAPH
ART_40,P_40_1,HAS_PARAGRAPH
ART_40,P_40_2,HAS_PARAGRAPH
ART_41,P_41_1,HAS_PARAGRAPH
ART_41,P_41_2,HAS_PARAGRAPH
ART_42,P_42_1,HAS_PARAGRAPH
ART_42,P_42_2,HAS_PARAGRAPH
ART_42,P_42_3,HAS_PARAGRAPH
ART_43,P_43_1,HAS_PARAGRAPH
ART_43,P_43_2,HAS_PARAGRAPH
ART_48,P_48_1,HAS_PARAGRAPH
ART_48,P_48_2,HAS_PARAGRAPH
ART_49,P_49_1,HAS_PARAGRAPH
ART_49,P_49_2,HAS_PARAGRAPH
ART_50,P_50_1,HAS_PARAGRAPH
ART_50,P_50_2,HAS_PARAGRAPH
ART_50,P_50_3,HAS_PARAGRAPH
ART_53,P_53_1,HAS_PARAGRAPH
ART_53,P_53_2,HAS_PARAGRAPH
ART_58,P_58_1,HAS_PARAGRAPH
ART_58,P_58_2,HAS_PARAGRAPH
