clause_id,section_id,parent_clause_id,label,level,text,source_document
s3(a),s3,,(a),paragraph,to regulate the processing of personal data;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s3(b),s3,,(b),paragraph,to ensure that the processing of personal data of a data subject is guided by the principles set out in section 25;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s3(c),s3,,(c),paragraph,to protect the privacy of individuals;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s3(d),s3,,(d),paragraph,to establish the legal and institutional mechanism to protect personal data; and,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s3(e),s3,,(e),paragraph,to provide data subjects with rights and remedies to protect their personal data from processing that is not in accordance with this Act.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s4(a),s4,,(a),paragraph,"entered in a record, by or for a data controller or processor, by making use of automated or non-automated means: Provided that when the recorded personal data is processed by non-automated means, it forms a whole or part of a filing system;",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s4(b),s4,,(b),paragraph,by a data controller or data processor who-,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s4(b)(i),s4,s4(b),(i),subparagraph,is established or ordinarily resident in Kenya and processes personal data while in Kenya; or,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s4(b)(ii),s4,s4(b),(ii),subparagraph,"not established or ordinarily resident in Kenya, but processing personal data of data subjects located in Kenya.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s5(1),s5,,(1),subsection,"There is established the office of the Data Protection Commissioner which shall be a body corporate with perpetual succession and a common seal and shall in its corporate name, be capable of-",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s5(1)(a),s5,s5(1),(a),paragraph,suing and being sued;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s5(1)(b),s5,s5(1),(b),paragraph,"taking, purchasing or otherwise acquiring, holding, charging or disposing of movable and immovable property;",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s5(1)(c),s5,s5(1),(c),paragraph,entering into contracts; and,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s5(1)(d),s5,s5(1),(d),paragraph,doing such other legal acts necessary for the proper performance of the functions of the Office.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s5(2),s5,,(2),subsection,The Office is designated as a State Office in accordance with Article 260(q) of the Constitution.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s5(3),s5,,(3),subsection,"The Office shall comprise the Data Commissioner as its head and accounting officer, and other staff appointed by the Data Commissioner.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s5(4),s5,,(4),subsection,The Office shall ensure reasonable access to its services in all parts of the Republic.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s5(5),s5,,(5),subsection,"The Data Commissioner shall in consultation with the Cabinet Secretary, establish such directorates as may be necessary for the better carrying of the functions of the Office.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s6(1),s6,,(1),subsection,"The Public Service Commission shall, whenever a vacancy arises in the position of the Data Commissioner, initiate the recruitment process.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s6(2),s6,,(2),subsection,"The Public Service Commission shall, within seven days of being notified of a vacancy under subsection (1), invite applications from persons who qualify for nomination and appointment for the position of the Data Commissioner.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s6(3),s6,,(3),subsection,The Public Service Commission shall within twenty-one days of receipt of applications under subsection (2)-,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s6(3)(a),s6,s6(3),(a),paragraph,consider the applications received to determine their compliance with this Act;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s6(3)(b),s6,s6(3),(b),paragraph,shortlist qualified applicants;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s6(3)(c),s6,s6(3),(c),paragraph,publish and publicise the names of the applicants and the shortlisted applicants;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s6(3)(d),s6,s6(3),(d),paragraph,conduct interviews of the shortlisted persons in an open and transparent process;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s6(3)(e),s6,s6(3),(e),paragraph,nominate three qualified applicants in the order of merit for the position of Data Commissioner; and,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s6(3)(f),s6,s6(3),(f),paragraph,submit the names of the persons nominated under paragraph (e) to the President.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s6(4),s6,,(4),subsection,"The President shall nominate and, with approval of the National Assembly, appoint the Data Commissioner.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s7(1),s7,,(1),subsection,A person shall be qualified for appointment as the Data Commissioner if that person-,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s7(1)(a),s7,s7(1),(a),paragraph,holds a degree from a university recognized in Kenya in-,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s7(1)(a)(i),s7,s7(1)(a),(i),subparagraph,data science;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s7(1)(a)(ii),s7,s7(1)(a),(ii),subparagraph,law;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s7(1)(a)(iii),s7,s7(1)(a),(iii),subparagraph,information technology; or,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s7(1)(a)(iv),s7,s7(1)(a),(iv),subparagraph,any other related field;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s7(1)(b),s7,s7(1),(b),paragraph,has knowledge and relevant experience of not less than ten years;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s7(1)(c),s7,s7(1),(c),paragraph,meets the requirements of Chapter Six of the Constitution; and,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s7(1)(d),s7,s7(1),(d),paragraph,holds a master's degree.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s7(2),s7,,(2),subsection,The Data Commissioner shall be appointed for a single term of six years and shall not be eligible for a re-appointment.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s8(1),s8,,(1),subsection,The Office shall-,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s8(1)(a),s8,s8(1),(a),paragraph,oversee the implementation of and be responsible for the enforcement of this Act;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s8(1)(b),s8,s8(1),(b),paragraph,establish and maintain a register of data controllers and data processors;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s8(1)(c),s8,s8(1),(c),paragraph,"exercise oversight on data processing operations, either of own motion or at the request of a data subject, and verify whether the processing of data is done in accordance with this Act;",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s8(1)(d),s8,s8(1),(d),paragraph,promote self-regulation among data controllers and data processors;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s8(1)(e),s8,s8(1),(e),paragraph,"conduct an assessment, on its own initiative of a public or private body, or at the request of a private or public body for the purpose of ascertaining whether information is processed according to the provisions of this Act or any other relevant law;",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s8(1)(f),s8,s8(1),(f),paragraph,receive and investigate any complaint by any person on infringements of the rights under this Act;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s8(1)(g),s8,s8(1),(g),paragraph,take such measures as may be necessary to bring the provisions of this Act to the knowledge of the general public;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s8(1)(h),s8,s8(1),(h),paragraph,carry out inspections of public and private entities with a view to evaluating the processing of personal data;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s8(1)(i),s8,s8(1),(i),paragraph,promote international cooperation in matters relating to data protection and ensure country's compliance on data protection obligations under international conventions and agreements;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s8(1)(j),s8,s8(1),(j),paragraph,undertake research on developments in data processing of personal data and ensure that there is no significant risk or adverse effect of any developments on the privacy of individuals; and,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s8(1)(k),s8,s8(1),(k),paragraph,perform such other functions as may be prescribed by any other law or as necessary for the promotion of object of this Act.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s8(2),s8,,(2),subsection,"The Office of the Data Commissioner may, in the performance of its functions collaborate with the national security organs.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s8(3),s8,,(3),subsection,The Data Commissioner shall act independently in exercise of powers and carrying out of functions under this Act.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s9(1),s9,,(1),subsection,The Data Commissioner shall have power to-,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s9(1)(a),s9,s9(1),(a),paragraph,"conduct investigations on own initiative, or on the basis of a complaint made by a data subject or a third party;",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s9(1)(b),s9,s9(1),(b),paragraph,"obtain professional assistance, consultancy or advice from such persons or organisations whether within or outside public service as considered appropriate;",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s9(1)(c),s9,s9(1),(c),paragraph,"facilitate conciliation, mediation and negotiation on disputes arising from this Act;",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s9(1)(d),s9,s9(1),(d),paragraph,issue summons to a witness for the purposes of investigation;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s9(1)(e),s9,s9(1),(e),paragraph,"require any person that is subject to this Act to provide explanations, information and assistance in person and in writing;",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s9(1)(f),s9,s9(1),(f),paragraph,impose administrative fines for failures to comply with this Act;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s9(1)(g),s9,s9(1),(g),paragraph,undertake any activity necessary for the fulfilment of any of the functions of the Office; and,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s9(1)(h),s9,s9(1),(h),paragraph,exercise any powers prescribed by any other legislation.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s9(2),s9,,(2),subsection,The Data Commissioner may enter into association with other bodies or organisations within and outside Kenya as appropriate in furtherance of the object of this Act.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s11(a),s11,,(a),paragraph,dies;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s11(b),s11,,(b),paragraph,resigns from office by notice in writing addressed to the President;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s11(c),s11,,(c),paragraph,is convicted of an offence and sentenced to imprisonment for a term exceeding six months without the option of a fine;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s11(d),s11,,(d),paragraph,is removed from office on the grounds of-,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s11(d)(i),s11,s11(d),(i),subparagraph,inability to perform the functions of office arising from mental or physical infirmity;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s11(d)(ii),s11,s11(d),(ii),subparagraph,non-compliance with Chapter Six of the Constitution;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s11(d)(iii),s11,s11(d),(iii),subparagraph,bankruptcy;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s11(d)(iv),s11,s11(d),(iv),subparagraph,incompetence; or,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s11(d)(v),s11,s11(d),(v),subparagraph,gross misconduct.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s12(1),s12,,(1),subsection,A person desiring the removal of Data Commissioner on any ground specified under section 11(d) may present a complaint to the Public Service Commission setting out the alleged facts constituting that ground.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s12(2),s12,,(2),subsection,"Subject to Article 47 of the Constitution, the Public Service Commission shall consider the complaint and, if satisfied that the complaint discloses a ground under section 11(d), shall-",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s12(2)(a),s12,s12(2),(a),paragraph,investigate the matter expeditiously;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s12(2)(b),s12,s12(2),(b),paragraph,report on the facts; and,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s12(2)(c),s12,s12(2),(c),paragraph,make a recommendation to the Cabinet Secretary.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s12(3),s12,,(3),subsection,"Prior to any action under sub-section (2), the Data Commissioner shall be-",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s12(3)(a),s12,s12(3),(a),paragraph,"informed, in writing, of the reasons for the intended removal; and",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s12(3)(b),s12,s12(3),(b),paragraph,offered an opportunity to put in a defence against any such allegations.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s18(1),s18,,(1),subsection,"Subject to sub-section (2), no person shall act as a data controller or data processor unless registered with the Data Commissioner.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s18(2),s18,,(2),subsection,"The Data Commissioner shall prescribe thresholds required for mandatory registration of data controllers and data processors, and in making such determination, the Data Commissioner shall consider-",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s18(2)(a),s18,s18(2),(a),paragraph,the nature of industry;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s18(2)(b),s18,s18(2),(b),paragraph,the volumes of data processed;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s18(2)(c),s18,s18(2),(c),paragraph,whether sensitive personal data is being processed; and,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s18(2)(d),s18,s18(2),(d),paragraph,any other criteria the Data Commissioner may specify.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s19(1),s19,,(1),subsection,A data controller or data processor required to register under section 18 shall apply to the Data Commissioner.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s19(2),s19,,(2),subsection,An application under sub-section (1) shall provide the following particulars-,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s19(2)(a),s19,s19(2),(a),paragraph,a description of the personal data to be processed by the data controller or data processor;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s19(2)(b),s19,s19(2),(b),paragraph,a description of the purpose for which the personal data is to be processed;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s19(2)(c),s19,s19(2),(c),paragraph,"the category of data subjects, to which the personal data relates;",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s19(2)(d),s19,s19(2),(d),paragraph,contact details of the data controller or data processor;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
