deadline_id,period,text,source_document
DL_s6(2),seven days,"The Public Service Commission shall, within seven days of being notified of a vacancy under subsection (1), invite applications from persons who qualify for nomination and appointment for the position of the Data Commissioner.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
DL_s6(3),twenty-one days,The Public Service Commission shall within twenty-one days of receipt of applications under subsection (2)-,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
DL_s7(2),six years,The Data Commissioner shall be appointed for a single term of six years and shall not be eligible for a re-appointment.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
DL_s31(5),sixty days,The data impact assessment reports shall be submitted sixty days prior to the processing of data.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
DL_s38(6),thirty days,"A data controller or data processor shall comply with data portability requests, at reasonable cost and within a period of thirty days.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
DL_s43(1)(a),seventy-two hours,"notify the Data Commissioner without delay, within seventy-two hours of becoming aware of such breach; and",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
DL_s43(3),forty-eight hours,"Where a data processor becomes aware of a personal data breach, the data processor shall notify the data controller without delay and where reasonably practicable, within forty-eight hours of becoming aware of such breach.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
DL_s56(5),ninety days,A complaint made to the Data Commissioner shall be investigated and concluded within ninety days.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
DL_s58(2)(c),not less than twenty-one days,specify a period which shall not be less than twenty-one days within which those measures shall be implemented; and,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
DL_s68(1),three months,"At least three months before the commencement of each financial year, the Data Commissioner shall cause to be prepared estimates of the revenue and expenditure of the Office for that year.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
DL_s70(1),three months,"The Data Commissioner shall, within three months after the end of each financial year, prepare and submit to the Cabinet Secretary a report of the operations of the Office for the immediately preceding year.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
DL_s70(2),three months,The Cabinet Secretary shall submit the annual report before the National Assembly within three months of receipt of the report under subsection (1).,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
