definition_id,term,definition,defined_in_section,source_document
def_anonymisation,anonymisation,the removal of personal identifiers from personal data so that the data subject is no longer identifiable,s2,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
def_biometric_data,biometric data,"personal data resulting from specific technical processing based on physical, physiological or behavioural characterisation including blood typing, fingerprinting, deoxyribonucleic acid analysis, earlobe geometry, retinal scanning and voice recognition",s2,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
def_cabinet_secretary,Cabinet Secretary,"the Cabinet Secretary responsible for matters relating to information, communication and technology",s2,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
def_consent,consent,"any manifestation of express, unequivocal, free, specific and informed indication of the data subject's wishes by a statement or by a clear affirmative action, signifying agreement to the processing of personal data relating to the data subject",s2,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
def_data,data,"information which- (a) is processed by means of equipment operating automatically in response to instructions given for that purpose; (b) is recorded with intention that it should be processed by means of such equipment; (c) is recorded as part of a relevant filing system; (d) where it does not fall under paragraphs (a), (b) or (c), forms part of an accessible record; or (e) is recorded information which is held by a public entity and does not fall within any of paragraphs (a) to (d).",s2,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
def_data_commissioner,Data Commissioner,the person appointed under section 6,s2,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
def_data_controller,data controller,"a natural or legal person, public authority, agency or other body which, alone or jointly with others, determines the purpose and means of processing of personal data",s2,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
def_data_processor,data processor,"a natural or legal person, public authority, agency or other body which processes personal data on behalf of the data controller",s2,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
def_data_subject,data subject,an identified or identifiable natural person who is the subject of personal data,s2,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
def_encryption,encryption,the process of converting the content of any readable data using technical means into coded form,s2,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
def_filing_system,filing system,"any structured set of personal data which is readily accessible by reference to a data subject or according to specific criteria, whether centralised, decentralised or dispersed on a functional or geographical basis",s2,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
