part_id,part_number,title,section_range,source_document
PART_I,I,PRELIMINARY,sections 1-4,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PART_II,II,ESTABLISHMENT OF THE OFFICE OF DATA PROTECTION COMMISSIONER,sections 5-17,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PART_III,III,REGISTRATION OF DATA CONTROLLERS AND DATA PROCESSORS,sections 18-24,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PART_IV,IV,PRINCIPLES AND OBLIGATIONS OF PERSONAL DATA PROTECTION,sections 25-43,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PART_V,V,GROUNDS FOR PROCESSING OF SENSITIVE PERSONAL DATA,sections 44-47,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PART_VI,VI,TRANSFER OF PERSONAL DATA OUTSIDE KENYA,sections 48-50,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PART_VII,VII,EXEMPTIONS,sections 51-55,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PART_VIII,VIII,ENFORCEMENT PROVISIONS,sections 56-66,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PART_IX,IX,FINANCIAL PROVISIONS,sections 67-70,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PART_X,X,PROVISIONS ON DELEGATED POWERS,sections 71-71,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PART_XI,XI,MISCELLANEOUS PROVISIONS,sections 72-75,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
