penalty_id,penalty_type,monetary_penalty,custodial_penalty,text,source_document
PEN_s19(3),offence,,,A data controller or data processor who knowingly supplies any false or misleading detail under sub-section (1) commits an offence.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PEN_s19(7),offence,,,A data controller or data processor who fails to comply with the provisions of this section commits an offence.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PEN_s30(3),offence,,,A data controller who contravenes the provisions of sub-section (1) commits an offence.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PEN_s57(3),offence,,,"A person who, without reasonable excuse, fails or refuses to comply with a notice, or who furnishes to the Data Commissioner any information which the person knows to be false or misleading, commits an offence.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PEN_s58(3),offence and conviction penalty,a fine not exceeding five million shillings,"imprisonment for a term not exceeding two years, or to both","Any person who, without reasonable excuse, fails to comply with an enforcement notice commits an offence and is liable on conviction to a fine not exceeding five million shillings or to imprisonment for a term not exceeding two years, or to both.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PEN_s61,offence and conviction penalty,a fine not exceeding five million shillings,"imprisonment for a term not exceeding two years, or to both","commits an offence and is liable on conviction to a fine not exceeding five million shillings or to imprisonment for a term not exceeding two years, or to both.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PEN_s63,administrative fine,"up to five million shillings, or in the case of an undertaking, up to one per centum of its annual turnover of the preceding financial year, whichever is lower",,"In relation to an infringement of a provision of this Act, the maximum amount of the penalty that may be imposed by the Data Commissioner in a penalty notice is up to five million shillings, or in the case of an undertaking, up to one per centum of its annual turnover of the preceding financial year, whichever is lower.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PEN_s72(1),offence,,,"A data controller who, without lawful excuse, discloses personal data in any manner that is incompatible with the purpose for which such data has been collected commits an offence.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PEN_s72(2),offence,,,"A data processor who, without lawful excuse, discloses personal data processed by the data processor without the prior authority of the data controller commits an offence.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PEN_s72(3),offence,,,"Subject to subsection (4), a person who- (a) obtains access to personal data, or obtains any information constituting such data, without prior authority of the data controller or data processor by whom the data is kept; or (b) discloses personal data to third party, commit an offence.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PEN_s72(5),offence,,,A person who offers to sell personal data where such personal data has been obtained in breach of sub-section (1) commits an offence.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
PEN_s73(1),general penalty,a fine not exceeding three million shillings,"an imprisonment term not exceeding ten years, or to both","A person who commits an offence under this Act for which no specific penalty is provided or who otherwise contravenes this Act shall, on conviction, be liable to a fine not exceeding three million shillings or to an imprisonment term not exceeding ten years, or to both.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
