source_id,target_id,rel_type,level
s3,s3(a),HAS_CLAUSE,paragraph
s3,s3(b),HAS_CLAUSE,paragraph
s3,s3(c),HAS_CLAUSE,paragraph
s3,s3(d),HAS_CLAUSE,paragraph
s3,s3(e),HAS_CLAUSE,paragraph
s4,s4(a),HAS_CLAUSE,paragraph
s4,s4(b),HAS_CLAUSE,paragraph
s4(b),s4(b)(i),HAS_CLAUSE,subparagraph
s4(b),s4(b)(ii),HAS_CLAUSE,subparagraph
s5,s5(1),HAS_CLAUSE,subsection
s5(1),s5(1)(a),HAS_CLAUSE,paragraph
s5(1),s5(1)(b),HAS_CLAUSE,paragraph
s5(1),s5(1)(c),HAS_CLAUSE,paragraph
s5(1),s5(1)(d),HAS_CLAUSE,paragraph
s5,s5(2),HAS_CLAUSE,subsection
s5,s5(3),HAS_CLAUSE,subsection
s5,s5(4),HAS_CLAUSE,subsection
s5,s5(5),HAS_CLAUSE,subsection
s6,s6(1),HAS_CLAUSE,subsection
s6,s6(2),HAS_CLAUSE,subsection
s6,s6(3),HAS_CLAUSE,subsection
s6(3),s6(3)(a),HAS_CLAUSE,paragraph
s6(3),s6(3)(b),HAS_CLAUSE,paragraph
s6(3),s6(3)(c),HAS_CLAUSE,paragraph
s6(3),s6(3)(d),HAS_CLAUSE,paragraph
s6(3),s6(3)(e),HAS_CLAUSE,paragraph
s6(3),s6(3)(f),HAS_CLAUSE,paragraph
s6,s6(4),HAS_CLAUSE,subsection
s7,s7(1),HAS_CLAUSE,subsection
s7(1),s7(1)(a),HAS_CLAUSE,paragraph
s7(1)(a),s7(1)(a)(i),HAS_CLAUSE,subparagraph
s7(1)(a),s7(1)(a)(ii),HAS_CLAUSE,subparagraph
s7(1)(a),s7(1)(a)(iii),HAS_CLAUSE,subparagraph
s7(1)(a),s7(1)(a)(iv),HAS_CLAUSE,subparagraph
s7(1),s7(1)(b),HAS_CLAUSE,paragraph
s7(1),s7(1)(c),HAS_CLAUSE,paragraph
s7(1),s7(1)(d),HAS_CLAUSE,paragraph
s7,s7(2),HAS_CLAUSE,subsection
s8,s8(1),HAS_CLAUSE,subsection
s8(1),s8(1)(a),HAS_CLAUSE,paragraph
s8(1),s8(1)(b),HAS_CLAUSE,paragraph
s8(1),s8(1)(c),HAS_CLAUSE,paragraph
s8(1),s8(1)(d),HAS_CLAUSE,paragraph
s8(1),s8(1)(e),HAS_CLAUSE,paragraph
s8(1),s8(1)(f),HAS_CLAUSE,paragraph
s8(1),s8(1)(g),HAS_CLAUSE,paragraph
s8(1),s8(1)(h),HAS_CLAUSE,paragraph
s8(1),s8(1)(i),HAS_CLAUSE,paragraph
s8(1),s8(1)(j),HAS_CLAUSE,paragraph
s8(1),s8(1)(k),HAS_CLAUSE,paragraph
s8,s8(2),HAS_CLAUSE,subsection
s8,s8(3),HAS_CLAUSE,subsection
s9,s9(1),HAS_CLAUSE,subsection
s9(1),s9(1)(a),HAS_CLAUSE,paragraph
s9(1),s9(1)(b),HAS_CLAUSE,paragraph
s9(1),s9(1)(c),HAS_CLAUSE,paragraph
s9(1),s9(1)(d),HAS_CLAUSE,paragraph
s9(1),s9(1)(e),HAS_CLAUSE,paragraph
s9(1),s9(1)(f),HAS_CLAUSE,paragraph
s9(1),s9(1)(g),HAS_CLAUSE,paragraph
s9(1),s9(1)(h),HAS_CLAUSE,paragraph
s9,s9(2),HAS_CLAUSE,subsection
s11,s11(a),HAS_CLAUSE,paragraph
s11,s11(b),HAS_CLAUSE,paragraph
s11,s11(c),HAS_CLAUSE,paragraph
s11,s11(d),HAS_CLAUSE,paragraph
s11(d),s11(d)(i),HAS_CLAUSE,subparagraph
s11(d),s11(d)(ii),HAS_CLAUSE,subparagraph
s11(d),s11(d)(iii),HAS_CLAUSE,subparagraph
s11(d),s11(d)(iv),HAS_CLAUSE,subparagraph
s11(d),s11(d)(v),HAS_CLAUSE,subparagraph
s12,s12(1),HAS_CLAUSE,subsection
s12,s12(2),HAS_CLAUSE,subsection
s12(2),s12(2)(a),HAS_CLAUSE,paragraph
s12(2),s12(2)(b),HAS_CLAUSE,paragraph
s12(2),s12(2)(c),HAS_CLAUSE,paragraph
s12,s12(3),HAS_CLAUSE,subsection
s12(3),s12(3)(a),HAS_CLAUSE,paragraph
s12(3),s12(3)(b),HAS_CLAUSE,paragraph
s18,s18(1),HAS_CLAUSE,subsection
s18,s18(2),HAS_CLAUSE,subsection
s18(2),s18(2)(a),HAS_CLAUSE,paragraph
s18(2),s18(2)(b),HAS_CLAUSE,paragraph
s18(2),s18(2)(c),HAS_CLAUSE,paragraph
s18(2),s18(2)(d),HAS_CLAUSE,paragraph
s19,s19(1),HAS_CLAUSE,subsection
s19,s19(2),HAS_CLAUSE,subsection
s19(2),s19(2)(a),HAS_CLAUSE,paragraph
s19(2),s19(2)(b),HAS_CLAUSE,paragraph
s19(2),s19(2)(c),HAS_CLAUSE,paragraph
s19(2),s19(2)(d),HAS_CLAUSE,paragraph
s19(2),s19(2)(e),HAS_CLAUSE,paragraph
s19(2),s19(2)(f),HAS_CLAUSE,paragraph
s19(2),s19(2)(g),HAS_CLAUSE,paragraph
s19,s19(3),HAS_CLAUSE,subsection
s19,s19(4),HAS_CLAUSE,subsection
s19,s19(5),HAS_CLAUSE,subsection
s19,s19(6),HAS_CLAUSE,subsection
s19,s19(7),HAS_CLAUSE,subsection
s21,s21(1),HAS_CLAUSE,subsection
s21,s21(2),HAS_CLAUSE,subsection
s21,s21(3),HAS_CLAUSE,subsection
s21,s21(4),HAS_CLAUSE,subsection
s22,s22(a),HAS_CLAUSE,paragraph
s22,s22(b),HAS_CLAUSE,paragraph
s24,s24(1),HAS_CLAUSE,subsection
s24(1),s24(1)(a),HAS_CLAUSE,paragraph
s24(1),s24(1)(b),HAS_CLAUSE,paragraph
s24(1),s24(1)(c),HAS_CLAUSE,paragraph
s24,s24(2),HAS_CLAUSE,subsection
s24,s24(3),HAS_CLAUSE,subsection
s24,s24(4),HAS_CLAUSE,subsection
s24,s24(5),HAS_CLAUSE,subsection
s24,s24(6),HAS_CLAUSE,subsection
s24,s24(7),HAS_CLAUSE,subsection
s24(7),s24(7)(a),HAS_CLAUSE,paragraph
s24(7),s24(7)(b),HAS_CLAUSE,paragraph
s24(7),s24(7)(c),HAS_CLAUSE,paragraph
s24(7),s24(7)(d),HAS_CLAUSE,paragraph
s24(7),s24(7)(e),HAS_CLAUSE,paragraph
s25,s25(a),HAS_CLAUSE,paragraph
s25,s25(b),HAS_CLAUSE,paragraph
s25,s25(c),HAS_CLAUSE,paragraph
s25,s25(d),HAS_CLAUSE,paragraph
s25,s25(e),HAS_CLAUSE,paragraph
s25,s25(f),HAS_CLAUSE,paragraph
s25,s25(g),HAS_CLAUSE,paragraph
s25,s25(h),HAS_CLAUSE,paragraph
s26,s26(a),HAS_CLAUSE,paragraph
s26,s26(b),HAS_CLAUSE,paragraph
s26,s26(c),HAS_CLAUSE,paragraph
s26,s26(d),HAS_CLAUSE,paragraph
s26,s26(e),HAS_CLAUSE,paragraph
s27,s27(a),HAS_CLAUSE,paragraph
s27,s27(b),HAS_CLAUSE,paragraph
s27,s27(c),HAS_CLAUSE,paragraph
s28,s28(1),HAS_CLAUSE,subsection
s28,s28(2),HAS_CLAUSE,subsection
s28(2),s28(2)(a),HAS_CLAUSE,paragraph
s28(2),s28(2)(b),HAS_CLAUSE,paragraph
s28(2),s28(2)(c),HAS_CLAUSE,paragraph
s28(2),s28(2)(d),HAS_CLAUSE,paragraph
s28(2),s28(2)(e),HAS_CLAUSE,paragraph
s28(2),s28(2)(f),HAS_CLAUSE,paragraph
s28(2)(f),s28(2)(f)(i),HAS_CLAUSE,subparagraph
s28(2)(f),s28(2)(f)(ii),HAS_CLAUSE,subparagraph
s28(2)(f),s28(2)(f)(iii),HAS_CLAUSE,subparagraph
s28,s28(3),HAS_CLAUSE,subsection
s29,s29(a),HAS_CLAUSE,paragraph
s29,s29(b),HAS_CLAUSE,paragraph
s29,s29(c),HAS_CLAUSE,paragraph
s29,s29(d),HAS_CLAUSE,paragraph
s29,s29(e),HAS_CLAUSE,paragraph
s29,s29(f),HAS_CLAUSE,paragraph
s29,s29(g),HAS_CLAUSE,paragraph
s29,s29(h),HAS_CLAUSE,paragraph
s30,s30(1),HAS_CLAUSE,subsection
s30(1),s30(1)(a),HAS_CLAUSE,paragraph
s30(1),s30(1)(b),HAS_CLAUSE,paragraph
s30(1)(b),s30(1)(b)(i),HAS_CLAUSE,subparagraph
s30(1)(b),s30(1)(b)(ii),HAS_CLAUSE,subparagraph
s30(1)(b),s30(1)(b)(iii),HAS_CLAUSE,subparagraph
s30(1)(b),s30(1)(b)(iv),HAS_CLAUSE,subparagraph
s30(1)(b),s30(1)(b)(v),HAS_CLAUSE,subparagraph
s30(1)(b),s30(1)(b)(vi),HAS_CLAUSE,subparagraph
s30(1)(b),s30(1)(b)(vii),HAS_CLAUSE,subparagraph
s30(1)(b),s30(1)(b)(viii),HAS_CLAUSE,subparagraph
s30,s30(2),HAS_CLAUSE,subsection
s30,s30(3),HAS_CLAUSE,subsection
s31,s31(1),HAS_CLAUSE,subsection
s31,s31(2),HAS_CLAUSE,subsection
s31(2),s31(2)(a),HAS_CLAUSE,paragraph
s31(2),s31(2)(b),HAS_CLAUSE,paragraph
s31(2),s31(2)(c),HAS_CLAUSE,paragraph
s31(2),s31(2)(d),HAS_CLAUSE,paragraph
s31,s31(3),HAS_CLAUSE,subsection
s31,s31(4),HAS_CLAUSE,subsection
s31,s31(5),HAS_CLAUSE,subsection
s31,s31(6),HAS_CLAUSE,subsection
s32,s32(1),HAS_CLAUSE,subsection
s32,s32(2),HAS_CLAUSE,subsection
s32,s32(3),HAS_CLAUSE,subsection
s32,s32(4),HAS_CLAUSE,subsection
s33,s33(1),HAS_CLAUSE,subsection
