source_id,target_id,rel_type
3.1,3.1.1,HAS_CLAUSE
3.1,3.1.2,HAS_CLAUSE
3.1,3.1.3,HAS_CLAUSE
3.1,3.1.4,HAS_CLAUSE
3.1,3.1.5,HAS_CLAUSE
3.1,3.1.6,HAS_CLAUSE
3.1,3.1.7,HAS_CLAUSE
3.1,3.1.8,HAS_CLAUSE
3.2,3.2.1,HAS_CLAUSE
3.2,3.2.2,HAS_CLAUSE
3.2,3.2.3,HAS_CLAUSE
3.3,3.3.1,HAS_CLAUSE
3.3,3.3.2,HAS_CLAUSE
3.4,3.4.1,HAS_CLAUSE
3.4,3.4.2,HAS_CLAUSE
3.4,3.4.3,HAS_CLAUSE
3.5,3.5.1,HAS_CLAUSE
3.5,3.5.2,HAS_CLAUSE
3.6,3.6.1,HAS_CLAUSE
3.6,3.6.2,HAS_CLAUSE
3.6,3.6.3,HAS_CLAUSE
3.6,3.6.4,HAS_CLAUSE
4.1,4.1.1,HAS_CLAUSE
4.1,4.1.2,HAS_CLAUSE
4.1,4.1.3,HAS_CLAUSE
4.1,4.1.4,HAS_CLAUSE
4.1,4.1.5,HAS_CLAUSE
4.2,4.2.1,HAS_CLAUSE
4.3,4.3.1,HAS_CLAUSE
4.3,4.3.2,HAS_CLAUSE
4.4,4.4.1,HAS_CLAUSE
4.4,4.4.2,HAS_CLAUSE
4.4,4.4.3,HAS_CLAUSE
4.5,4.5.1,HAS_CLAUSE
4.5,4.5.2,HAS_CLAUSE
4.5,4.5.3,HAS_CLAUSE
5.1,5.1.1,HAS_CLAUSE
5.1,5.1.2,HAS_CLAUSE
5.1,5.1.3,HAS_CLAUSE
5.1,5.1.4,HAS_CLAUSE
5.2,5.2.1,HAS_CLAUSE
5.2,5.2.2,HAS_CLAUSE
5.3,5.3.1,HAS_CLAUSE
5.3,5.3.2,HAS_CLAUSE
5.3,5.3.3,HAS_CLAUSE
5.3,5.3.4,HAS_CLAUSE
5.4,5.4.1,HAS_CLAUSE
5.4,5.4.2,HAS_CLAUSE
5.4,5.4.3,HAS_CLAUSE
5.4,5.4.4,HAS_CLAUSE
5.5,5.5.1,HAS_CLAUSE
5.5,5.5.2,HAS_CLAUSE
5.6,5.6.1,HAS_CLAUSE
5.6,5.6.2,HAS_CLAUSE
5.6,5.6.3,HAS_CLAUSE
5.7,5.7.1,HAS_CLAUSE
5.7,5.7.2,HAS_CLAUSE
5.7,5.7.3,HAS_CLAUSE
5.7,5.7.4,HAS_CLAUSE
5.7,5.7.5,HAS_CLAUSE
5.7,5.7.6,HAS_CLAUSE
5.8,5.8.1,HAS_CLAUSE
