clause_id,article_id,clause_type,label,paragraph_no,text,source_document
LAW_ART_1_P1,LAW_ART_1,paragraph,,1,"This Law is of public order and of general observance throughout the national territory and its purpose is the protection of personal data in possession of private parties, with the purpose of regulating its legitimate, controlled and informed processing, in order to guarantee the privacy and the right to informational self-determination of individuals.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_1_P2,LAW_ART_1,paragraph,,2,The following are exempted from the application of this Law:,KB 2/Mexico/Federal LAW.pdf
LAW_ART_1_F_I,LAW_ART_1,fraction,I,,"Credit reporting companies under the provisions of the Law to Regulate Credit Reporting Companies and other applicable provisions, and",KB 2/Mexico/Federal LAW.pdf
LAW_ART_1_F_II,LAW_ART_1,fraction,II,,"Persons who carry out the collection and storage of personal data, which is exclusively for personal use, and without the purpose of disclosure or commercial use.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_2_P1,LAW_ART_2,paragraph,,1,"For the purposes of this Law, the following definitions shall apply:",KB 2/Mexico/Federal LAW.pdf
LAW_ART_2_F_I,LAW_ART_2,fraction,I,,"Privacy Notice: Document available to the data subject in physical, electronic or any other format generated by the data controller, from the moment in which his/her personal data is collected, in order to inform him/her of the purposes of the processing thereof, in accordance with Article 14 of this Law;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_2_F_II,LAW_ART_2,fraction,II,,"Databases: An ordered set of personal data referring to an identified or identifiable person conditioned to determined criteria, regardless of the form or modality of its creation, type of support, processing, storage and organization;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_2_F_III,LAW_ART_2,fraction,III,,"Blocking: Identification and preservation of personal data once the purpose for which they were collected has been fulfilled, for the sole purpose of determining possible liabilities in connection with their processing, until the legal or contractual statute of limitations period. During this period, personal data may not be processed and, after this period has elapsed, they will be cancelled in the corresponding database;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_2_F_IV,LAW_ART_2,fraction,IV,,"Consent: Manifestation of the free, specific and informed will of the data subject by means of which the data is processed;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_2_F_V,LAW_ART_2,fraction,V,,Personal Data: Any information concerning an identified or identifiable person. A person is considered identifiable when his identity can be determined directly or indirectly through any information;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_2_F_VI,LAW_ART_2,fraction,VI,,"Sensitive personal data: Those personal data that affect the most intimate sphere of the data subject, or whose improper use may give rise to discrimination or entail a serious risk for the data subject. By way of example, but not limited to, personal data that may reveal aspects such as racial or ethnic origin, present or future health status, genetic information, religious, philosophical and moral beliefs, political opinions and sexual preference are considered sensitive;",KB 2/Mexico/Federal LAW.pdf
