reg_chapter_id,number,title,order,regulation_id,source_document
REG_CH_1,I,General Provisions,1,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CH_2,II,Principles of Protection of Personal Data,2,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CH_3,III,Security Measures for Processing Personal Data,3,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CH_4,IV,Transfers of Personal Data,4,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CH_5,V,Coordination among Authorities,5,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CH_6,VII,Binding Self-Regulation,6,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CH_7,VII,Rights of Personal Data Subjects and their Exercise,7,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CH_8,VIII,Procedure for Protection of Rights,8,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CH_9,IX,Inspections,9,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CH_10,X,Procedure for Imposing Sanctions,10,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
