transitory_id,ordinal,text,law_id,source_document
LAW_TR_First,First,"This Decree shall enter into force on the day following its publication in the Official Gazette of the Federation, with the exception of the provisions set forth in the Third transitory provision of this instrument.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_TR_Second,Second,"Upon the entry into force of this Decree, the following provisions are hereby repealed:",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_TR_Third,Third,"Articles 71 and 72 of the General Law of Transparency and Access to Public Information will enter into force when the Federal Economic Competition Commission and the Federal Telecommunications Institute are extinguished pursuant to the provisions of the Tenth and Eleventh transitory paragraphs of the ""Decree by which several provisions of the Political Constitution of the United Mexican States are amended, added and repealed, in matters of organic simplification"", published in the Official Gazette of the Federation on December 20, 2024. For purposes of the preceding paragraph, the Federal Economic Competition Commission and the Federal Telecommunications Institute must make available to the public and update the information referred to in Article 72, Sections II and V, respectively, of the Federal Law on Transparency and Access to Public Information, which is repealed by this Decree.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_TR_Fourth,Fourth,"The mentions, attributions or functions contained in other laws, regulations and, in general, in any normative provision, with respect to the National Institute of Transparency, Access to Information and Protection of Personal Data shall be understood as made or conferred to the public entities that acquire such attributions or functions, as the case may be.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_TR_Fifth,Fifth,"The labor rights of the public servants of the National Institute of Transparency, Access to Information and Protection of Personal Data will be respected, in terms of the applicable legislation. The human resources of the aforementioned Institute will become part of the Anti-Corruption and Good Governance and Transparency for the People Secretariat. The National Institute of Transparency, Access to Information and Protection of Personal Data will transfer the resources corresponding to the value of the inventory or payroll to the Ministry of Finance and Public Credit, within twenty working days from the entry into force of this Decree, in order for such agency to carry out the corresponding actions, in accordance with the applicable legal provisions. The public servants of the National Institute for Transparency, Access to Information and Protection of Personal Data who cease to render their services in the aforementioned Institute and who are required to file a statement of assets and interests, in accordance with the applicable legal provisions, shall do so in the systems of the Anticorruption and Good Governance Secretariat enabled for such purposes or in the means determined by the latter and in accordance with the regulations applicable to the Federal Public Administration. The foregoing is also applicable to persons who have served as public servants in the aforementioned Institute and who, as of the date of entry into force of this Decree, have yet to comply with such obligation. Persons who within ten days prior to the entry into force of this Decree have served as public servants of the National Institute for Transparency, Access to Information and Protection of Personal Data, including Commissioners, must submit an administrative record of institutional and individual handover, as appropriate, to the public servant that the Anticorruption and Good Governance Secretariat designates and in accordance with the regulations applicable to the Federal Public Administration, in the systems of the referred agency enabled for such purposes or in the means that it determines, in the understanding that the delivery that is made does not imply any release of responsibilities that could be determined by the competent authority at a later date.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_TR_Sixth,Sixth,"The material resources of the National Institute of Transparency, Access to Information and Protection of Personal Data shall be transferred to the Anticorruption and Good Governance Secretariat, within twenty working days following the entry into force of this Decree.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_TR_Seventh,Seventh,"The National Institute of Transparency, Access to Information and Protection of Personal Data will transfer the financial resources to the Ministry of Finance and Public Credit, in accordance with the applicable legal provisions. Likewise, the National Institute for Transparency, Access to Information and Protection of Personal Data must deliver to the aforementioned agency the information and formats necessary to integrate the Public Account and other reports corresponding to the first quarter, in accordance with the applicable legal provisions, within ten working days following the entry into force of this Decree.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_TR_Eighth,Eighth,"The internal and external records, lists and systems that make up the National Transparency Platform of the National Institute for Transparency, Access to Information and Protection of Personal Data, as well as the computer systems used by said Institute, including those that are no longer in use but contain historical records, including their documentation and data subjectship, shall be transferred to the Anticorruption and Good Governance Secretariat within fifteen working days following the entry into force of this Decree.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_TR_Ninth,Ninth,"Proceedings initiated prior to the entry into force of this Decree before the National Institute of Transparency, Access to Information and Protection of Personal Data, in matters of access to public information, shall be substantiated before Transparency for the People in accordance with the applicable provisions in force at the time of its initiation. The legal defense before administrative, jurisdictional and judicial authorities of the administrative and legal acts issued by the National Institute of Transparency, Access to Information and Protection of Personal Data, in matters of access to public information, will be carried out by Transparency for the People. Transparency for the People may refer to the competent guarantor authority those matters mentioned in the preceding paragraphs that correspond to it in accordance with the scope of its powers for its attention.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_TR_Tenth,Tenth,"Proceedings initiated prior to the entry into force of this Decree before the National Institute of Transparency, Access to Information and Protection of Personal Data, in matters of personal data or any other different from those mentioned in the preceding transitory provision, shall be substantiated in accordance with the provisions in force at the time of their initiation before the Anti- Corruption and Good Governance Secretariat referred to in this Decree. The legal defense before administrative, jurisdictional or judicial authorities of the administrative and legal acts issued by the National Institute of Transparency, Access to Information and Protection of Personal Data, in matters of personal data or any other different from those mentioned in the preceding transitory provision, as well as the follow-up of those in process, including criminal and labor proceedings, will be carried out by the Anticorruption and Good Governance Secretariat. The Anticorruption and Good Governance Secretariat may refer to the competent guarantor authority those matters mentioned in the preceding paragraphs that correspond to it according to the scope of its powers for its attention.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
