source_id,target_id,rel_type,article_number
REG_CH_2_S_I,REG_ART_9,HAS_ARTICLE,9
REG_CH_2_S_I,REG_ART_10,HAS_ARTICLE,10
REG_CH_2_S_I,REG_ART_11,HAS_ARTICLE,11
REG_CH_2_S_I,REG_ART_12,HAS_ARTICLE,12
REG_CH_2_S_I,REG_ART_13,HAS_ARTICLE,13
REG_CH_2_S_I,REG_ART_14,HAS_ARTICLE,14
REG_CH_2_S_I,REG_ART_15,HAS_ARTICLE,15
REG_CH_2_S_I,REG_ART_16,HAS_ARTICLE,16
REG_CH_2_S_I,REG_ART_17,HAS_ARTICLE,17
REG_CH_2_S_I,REG_ART_18,HAS_ARTICLE,18
REG_CH_2_S_I,REG_ART_19,HAS_ARTICLE,19
REG_CH_2_S_I,REG_ART_20,HAS_ARTICLE,20
REG_CH_2_S_I,REG_ART_21,HAS_ARTICLE,21
REG_CH_2_S_I,REG_ART_22,HAS_ARTICLE,22
REG_CH_2_S_I,REG_ART_23,HAS_ARTICLE,23
REG_CH_2_S_I,REG_ART_24,HAS_ARTICLE,24
REG_CH_2_S_I,REG_ART_25,HAS_ARTICLE,25
REG_CH_2_S_I,REG_ART_26,HAS_ARTICLE,26
REG_CH_2_S_I,REG_ART_27,HAS_ARTICLE,27
REG_CH_2_S_I,REG_ART_28,HAS_ARTICLE,28
REG_CH_2_S_I,REG_ART_29,HAS_ARTICLE,29
REG_CH_2_S_I,REG_ART_30,HAS_ARTICLE,30
REG_CH_2_S_I,REG_ART_31,HAS_ARTICLE,31
REG_CH_2_S_I,REG_ART_32,HAS_ARTICLE,32
REG_CH_2_S_I,REG_ART_33,HAS_ARTICLE,33
REG_CH_2_S_I,REG_ART_34,HAS_ARTICLE,34
REG_CH_2_S_I,REG_ART_35,HAS_ARTICLE,35
REG_CH_2_S_I,REG_ART_36,HAS_ARTICLE,36
REG_CH_2_S_I,REG_ART_37,HAS_ARTICLE,37
REG_CH_2_S_I,REG_ART_38,HAS_ARTICLE,38
REG_CH_2_S_I,REG_ART_39,HAS_ARTICLE,39
REG_CH_2_S_I,REG_ART_40,HAS_ARTICLE,40
REG_CH_2_S_I,REG_ART_41,HAS_ARTICLE,41
REG_CH_2_S_I,REG_ART_42,HAS_ARTICLE,42
REG_CH_2_S_I,REG_ART_43,HAS_ARTICLE,43
REG_CH_2_S_I,REG_ART_44,HAS_ARTICLE,44
REG_CH_2_S_I,REG_ART_45,HAS_ARTICLE,45
REG_CH_2_S_I,REG_ART_46,HAS_ARTICLE,46
REG_CH_2_S_I,REG_ART_47,HAS_ARTICLE,47
REG_CH_2_S_I,REG_ART_48,HAS_ARTICLE,48
REG_CH_2_S_I,REG_ART_49,HAS_ARTICLE,49
REG_CH_2_S_I,REG_ART_50,HAS_ARTICLE,50
REG_CH_2_S_I,REG_ART_51,HAS_ARTICLE,51
REG_CH_2_S_I,REG_ART_52,HAS_ARTICLE,52
REG_CH_2_S_I,REG_ART_53,HAS_ARTICLE,53
REG_CH_2_S_I,REG_ART_54,HAS_ARTICLE,54
REG_CH_2_S_I,REG_ART_55,HAS_ARTICLE,55
REG_CH_2_S_II,REG_ART_56,HAS_ARTICLE,56
REG_CH_4_S_I,REG_ART_67,HAS_ARTICLE,67
REG_CH_4_S_I,REG_ART_68,HAS_ARTICLE,68
REG_CH_4_S_I,REG_ART_69,HAS_ARTICLE,69
REG_CH_4_S_I,REG_ART_70,HAS_ARTICLE,70
REG_CH_4_S_II,REG_ART_71,HAS_ARTICLE,71
REG_CH_4_S_II,REG_ART_72,HAS_ARTICLE,72
REG_CH_4_S_II,REG_ART_73,HAS_ARTICLE,73
REG_CH_4_S_III,REG_ART_74,HAS_ARTICLE,74
REG_CH_4_S_III,REG_ART_75,HAS_ARTICLE,75
REG_CH_4_S_III,REG_ART_76,HAS_ARTICLE,76
REG_CH_7_S_I,REG_ART_87,HAS_ARTICLE,87
REG_CH_7_S_I,REG_ART_88,HAS_ARTICLE,88
REG_CH_7_S_I,REG_ART_89,HAS_ARTICLE,89
REG_CH_7_S_I,REG_ART_90,HAS_ARTICLE,90
REG_CH_7_S_I,REG_ART_91,HAS_ARTICLE,91
REG_CH_7_S_I,REG_ART_92,HAS_ARTICLE,92
REG_CH_7_S_I,REG_ART_93,HAS_ARTICLE,93
REG_CH_7_S_I,REG_ART_94,HAS_ARTICLE,94
REG_CH_7_S_I,REG_ART_95,HAS_ARTICLE,95
REG_CH_7_S_I,REG_ART_96,HAS_ARTICLE,96
REG_CH_7_S_I,REG_ART_97,HAS_ARTICLE,97
REG_CH_7_S_I,REG_ART_98,HAS_ARTICLE,98
REG_CH_7_S_I,REG_ART_99,HAS_ARTICLE,99
REG_CH_7_S_I,REG_ART_100,HAS_ARTICLE,100
REG_CH_7_S_II,REG_ART_101,HAS_ARTICLE,101
REG_CH_7_S_II,REG_ART_102,HAS_ARTICLE,102
REG_CH_7_S_III,REG_ART_103,HAS_ARTICLE,103
REG_CH_7_S_III,REG_ART_104,HAS_ARTICLE,104
REG_CH_7_S_IV,REG_ART_105,HAS_ARTICLE,105
REG_CH_7_S_IV,REG_ART_106,HAS_ARTICLE,106
REG_CH_7_S_IV,REG_ART_107,HAS_ARTICLE,107
REG_CH_7_S_IV,REG_ART_108,HAS_ARTICLE,108
REG_CH_7_S_V,REG_ART_109,HAS_ARTICLE,109
REG_CH_7_S_V,REG_ART_110,HAS_ARTICLE,110
REG_CH_7_S_V,REG_ART_111,HAS_ARTICLE,111
REG_CH_7_S_VI,REG_ART_112,HAS_ARTICLE,112
