article_id,number,chapter_id,title_id,chapeau,full_text,source_line,source_document
Art1,1,T1-C1,T1,"This Law regulates Articles 6, Base A, and 16, second paragraph, of the Political Constitution of the United Mexican States, regarding the protection of personal data in the possession of obligated subjects, and its provisions are of public order of social interes t and of general observance throughout the national territory.","This Law regulates Articles 6, Base A, and 16, second paragraph, of the Political Constitution of the United Mexican States, regarding the protection of personal data in the possession of obligated subjects, and its provisions are of public order of social interes t and of general observance throughout the national territory.",43,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art2,2,T1-C1,T1,The purpose of this Law is:,"The purpose of this Law is: I. Establish the bases, principles and procedures to guarantee the right of every person to the protection of their personal data, held by obligated subjects; II. Distribute powers between the Secretariat and the Guarantor Authorities regarding the protection of personal data held by obliged subjects; III. Establish the minimum bases and homogeneous conditions that will govern the processing of personal data and the exercise of the rights of access, rectification, cancellation and opposition, through simple and expeditious procedures; IV. Ensure compliance with the principles of personal data protection provided for in this document Law and other provisions that are applicable in the matter; V. Protect personal data in the possession of any authority, entity, body and organization of the Executive, Legislative and Judicial Powers, autonomous bodies, trusts and public funds, of the Federation, political parties, the Federative Entities and the municipalities, with the purpose of regulating their due treatment; VI. Ensure that every person can exercise the right to the protection of personal data; VII. Promote, encourage and disseminate a culture of personal data protection, and VIII. Establish mechanisms to ensure compliance and effective enforcement of appropriate enforcement measures for conduct that violates the provisions of this Law.",49,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3,3,T1-C1,T1,"For the purposes of this Law, the following terms shall be understood as:","For the purposes of this Law, the following terms shall be understood as: I. Areas: Instances of the obligated subjects provided for in the respective internal regulations, organic statutes or equivalent instruments, which have or may have, process, and be responsible for or in charge of personal data; II. Guarantor authorities: Control and disciplinary body of the Judiciary; the internal control bodies of the autonomous constitutional bodies; the internal comptroller's offices of the Congress of the Union; the National Electoral Institute, with regard to access to the protection of personal data by political parties; and the bodies in charge of internal comptrollership or their counterparts. Executive, Legislative and Judicial Powers, as well as the autonomous constitutional bodies, of the Federative Entities; III. Privacy Notice: Document available to the data subject, whether physically, electronically, or in any format generated by the data controller, from the moment in which their personal data is collected, in order to inform them of the purposes for which said data is processed; IV. Databases: An ordered set of personal data relating to an identified or identifiable person, subject to certain criteria, regardless of the form or method of its creation, type of support, processing, storage and organization; V. Blocking: Identification and retention of personal data once the purpose for which it was collected has been fulfilled, for the sole purpose of determining potential liabilities related to its processing, until the statutory or contractual limitation period for such processing expires. During this period, personal data may not be processed, and once this period has elapsed, they will be deleted from the corresponding database. VI. Transparency Committee: Body referred to in article 39 of the General Law of Transparency and Access to Public Information; VII. Cloud computing: A model for the external provision of on-demand computing services, which involves the provision of infrastructure, a platform, or software, distributed flexibly, through virtual procedures, on dynamically shared resources; VIII. Consent: Manifestation of the free, specific and informed will of the data subject through which the processing of the data is carried out; IX. Personal data: Any information relating to an identified or identifiable person. A person is considered identifiable when their identity can be determined, directly or indirectly, from any information; X. Sensitive personal data: Data that relates to the most intimate sphere of the data subject, or whose improper use could give rise to discrimination or pose a serious risk to discrimination. By way of example, but not limited to, sensitive personal data includes data that may reveal aspects such as racial or ethnic origin, current or future health status, genetic information, religious, philosophical, and moral beliefs, political opinions, and sexual preference. XI. ARCO Rights: Rights of access, rectification, cancellation and opposition to the processing of personal data; XII. Days: Business days; XIII. Dissociation: Procedure by which personal data cannot be associated with the data subject nor, due to their structure, content or degree of disaggregation, allow their identification; XIV. Security document: Instrument that describes and provides a general account of the technical, physical and administrative security measures adopted by the controller to guarantee the confidentiality, integrity and availability of the personal data it holds; XV. Personal data protection impact assessment: Document through which obligated subjects who intend to implement or modify public policies, programs, computer systems or platforms, electronic applications or any other technology that involves the intensive or relevant processing of personal data, assess the real impacts regarding certain processing of personal data, in order to identify and mitigate possible risks related to the principles, duties and rights of the data subjects, as well as the duties of those responsible and those in charge, provided for in the applicable legal provisions; XVI. Publicly accessible sources: Those databases, systems, or files that, by law, may be publicly consulted when there is no impediment imposed by a restrictive rule and with no other requirement than, where applicable, the payment of a fee, contribution, or consideration. A source shall not be considered publicly accessible when the information contained therein was obtained or comes from an illicit source, in accordance with the provisions of this Law and other applicable legal provisions; XVII. Compensatory measures: Alternative mechanisms to inform the data subjects of the privacy notice, through its dissemination through mass media or other broad-based media; XVIII. Security measures: Set of actions, activities, controls or administrative, technical and physical mechanisms that allow the protection of personal data; XIX. Administrative security measures: Policies and procedures for the management, support, and review of information security at the organizational level, the identification, classification, and secure deletion of information, as well as staff awareness and training on personal data protection; XX. Physical security measures: A set of actions and mechanisms to protect the physical environment of personal data and the resources involved in its processing. The following activities should be considered, but are not limited to: a) Prevent unauthorized access to the organization's perimeter, its physical facilities, areas reviews, resources and information; b) Prevent damage or interference to the physical facilities, critical areas of the organization, resources and information; c) Protect mobile and portable resources and any physical or electronic media that may leave the organization, and d) Provide equipment containing or storing personal data with effective maintenance to ensure its availability and integrity; XXI. Technical security measures: A set of actions and mechanisms that use hardware and software technology to protect the digital environment of personal data and the resources involved in its processing. The following activities should be considered, but are not limited to: a) Prevent access to databases or information, as well as resources, by identified and authorized users; b) Generate a privilege scheme so that the user can carry out the activities required by his/her duties; c) Review the security configuration in the acquisition, operation, development and maintenance of software and hardware, and d) Manage communications, operations and storage media of resources computer scientists in the processing of personal data; XXII. Person in Charge: A natural or legal person, public or private, outside the organization of the person responsible, who alone or jointly with others processes personal data on behalf of and for the account of the person responsible; XXIII. National Platform: National Transparency Platform referred to in article 44 of the General Law on Transparency and Access to Public Information; XXIV. Referral: All communication of personal data carried out exclusively between the controller and the person in charge, within or outside Mexican territory; XXV. Responsible: Obligated subjects referred to in section XXVII of this article who decide on the processing of personal data; XXVI. Secretariat: Anti-Corruption and Good Government Secretariat; XXVII. Obligated Subjects: Any authority, entity, body and organization of the executive, legislative and judicial branches, autonomous bodies, political parties, trusts and public funds, at the federal, state and municipal level or in the territorial demarcations of Mexico City; XXVIII. Deletion: Archival removal of personal data in accordance with the applicable legal provisions on archives, which results in the elimination, erasure or destruction of personal data under the security measures previously established by the controller; XXIX. Data Subject: Subject to whom the personal data correspond; XXX. Transfer: Any communication of personal data within or outside Mexican territory, made to a person other than the owner, the controller or the person in charge; XXXI. Processing: Any operation or set of operations carried out by manual or automated procedures applied to personal data, related to the obtaining, use, registration, organization, conservation, elaboration, utilization, communication, dissemination, storage, possession, access, handling, exploitation, disclosure, transfer or disposition of personal data, and XXXII. Transparency Unit: Instance referred to in article 41 of the General Law of Transparency and Access to Public Information.",87,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art4,4,T1-C1,T1,"This Law shall apply to any processing of personal data held on physical or electronic media, regardless of the form or method of its creation, type of media, processing, storage, and organization.","This Law shall apply to any processing of personal data held on physical or electronic media, regardless of the form or method of its creation, type of media, processing, storage, and organization.",253,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art5,5,T1-C1,T1,"For the purposes of this Law, the following shall be considered as sources of public access:","For the purposes of this Law, the following shall be considered as sources of public access: I. Internet pages or remote or local means of electronic, optical and other technological communication, provided that the site where the personal data is located is designed to provide information to the public and is open to general consultation; II. Telephone directories in terms of specific regulations; III. Newspapers, gazettes or official bulletins, in accordance with the corresponding legal provisions; IV. Social media, and V. Public records in accordance with the provisions applicable to them. For the assumptions listed in this article to be considered publicly accessible sources, they must be accessible by any person not impeded by a restrictive rule, or without any requirement other than, where applicable, the payment of a fee, right, or charge. A source will not be considered publicly accessible when the information it contains is or comes from an illicit source.",257,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art6,6,T1-C1,T1,The State shall guarantee the privacy of individuals and shall ensure that third parties do not engage in conduct that could arbitrarily affect it.,"The State shall guarantee the privacy of individuals and shall ensure that third parties do not engage in conduct that could arbitrarily affect it. The right to the protection of personal data shall only be limited for reasons of national security, in accordance with the relevant law, public order, public health and safety provisions, or to protect the rights of third parties.",272,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art7,7,T1-C1,T1,"As a general rule, sensitive personal data may not be processed unless the data subject has given express consent or, failing that, in the cases established in Article 16 of this Law.","As a general rule, sensitive personal data may not be processed unless the data subject has given express consent or, failing that, in the cases established in Article 16 of this Law. In the processing of personal data of minors, the best interests of the girl must be given priority, child and adolescent, in terms of the applicable legal provisions.",278,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art8,8,T1-C1,T1,"The application and interpretation of this Law shall be carried out in accordance with the provisions of the Political Constitution of the United Mexican States, the international treaties to which the Mexican State is a party, as well as the binding resolutions and sentences issued by specialized national and international bodies, always favoring the right to privacy, the protection of personal data and the broadest protection for individuals.","The application and interpretation of this Law shall be carried out in accordance with the provisions of the Political Constitution of the United Mexican States, the international treaties to which the Mexican State is a party, as well as the binding resolutions and sentences issued by specialized national and international bodies, always favoring the right to privacy, the protection of personal data and the broadest protection for individuals. In the case of interpretation, the criteria, determinations, and opinions of national and international organizations regarding the protection of personal data may be taken into account.",298,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art9,9,T1-C1,T1,"In the absence of an express provision in this Law, the provisions of the present Law shall apply in a supplementary manner. of the Federal Code of Civil Procedure and the Federal Law of Administrative Procedure.","In the absence of an express provision in this Law, the provisions of the present Law shall apply in a supplementary manner. of the Federal Code of Civil Procedure and the Federal Law of Administrative Procedure. The laws of the Federal Entities, within the scope of their respective powers, shall determine the provisions applicable to the Guarantor Authorities in the application and interpretation of this Law.",306,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art10,10,T2-C2,T2,"The person responsible must observe the principles of legality, purpose, loyalty, consent, quality, proportionality, information and responsibility in the processing of personal data.","The person responsible must observe the principles of legality, purpose, loyalty, consent, quality, proportionality, information and responsibility in the processing of personal data.",317,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
