title_id,label,heading,order,source_line,source_document
T1,FIRST TITLE,GENERAL PROVISIONS,1,38,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T2,SECOND TITLE,PRINCIPLES AND DUTIES,2,312,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T3,THIRD TITLE,RIGHTS OF THE HOLDER PERSONS AND THEIR EXERCISE,3,689,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T4,TITLE FOUR,RELATIONSHIP BETWEEN THE PERSON IN CHARGE AND THE PERSON IN CHARGE,4,939,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T5,TITLE FIVE,COMMUNICATIONS OF PERSONAL DATA,5,1064,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T6,TITLE SIX,PREVENTIVE ACTIONS IN PERSONAL DATA PROTECTION,6,1146,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T7,TITLE SEVEN,PERSONAL DATA PROTECTION RESPONSIBLE PARTIES IN THE POSSESSION OF SUBJECTS OBLIGED,7,1276,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T8,TITLE EIGHT,Guarantor Authorities,8,1358,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T9,TITLE NINE,OF THE CHALLENGE PROCEDURE,9,1576,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T10,TITLE TEN,FACULTY OF VERIFICATION,10,2010,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T11,TITLE ELEVENTH,ENFORCEMENT MEASURES AND RESPONSIBILITIES,11,2111,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
