source_id,target_id,rel_type
Art7,Art16,CROSS_REFERENCES
Art14,Art16,CROSS_REFERENCES
Art15,Art16,CROSS_REFERENCES
Art23,Art24,CROSS_REFERENCES
Art49,Art45,CROSS_REFERENCES
Art50,Art86,CROSS_REFERENCES
Art59,Art16,CROSS_REFERENCES
Art59,Art60,CROSS_REFERENCES
Art59,Art64,CROSS_REFERENCES
Art64,Art16,CROSS_REFERENCES
Art95,Art45,CROSS_REFERENCES
Art99,Art59,CROSS_REFERENCES
Art102,Art97,CROSS_REFERENCES
Art104,Art86,CROSS_REFERENCES
Art104,Art96,CROSS_REFERENCES
Art118,Art119,CROSS_REFERENCES
Art122,Art132,CROSS_REFERENCES
Art132,Art21,CROSS_REFERENCES
Art132,Art36,CROSS_REFERENCES
Art132,Art25,CROSS_REFERENCES
Art132,Art26,CROSS_REFERENCES
Art132,Art27,CROSS_REFERENCES
Art132,Art5,CROSS_REFERENCES
Art134,Art132,CROSS_REFERENCES
