source_id,target_id,rel_type
T1-C1,Art1,HAS_ARTICLE
T1-C1,Art2,HAS_ARTICLE
T1-C1,Art3,HAS_ARTICLE
T1-C1,Art4,HAS_ARTICLE
T1-C1,Art5,HAS_ARTICLE
T1-C1,Art6,HAS_ARTICLE
T1-C1,Art7,HAS_ARTICLE
T1-C1,Art8,HAS_ARTICLE
T1-C1,Art9,HAS_ARTICLE
T2-C2,Art10,HAS_ARTICLE
T2-C2,Art11,HAS_ARTICLE
T2-C2,Art12,HAS_ARTICLE
T2-C2,Art13,HAS_ARTICLE
T2-C2,Art14,HAS_ARTICLE
T2-C2,Art15,HAS_ARTICLE
T2-C2,Art16,HAS_ARTICLE
T2-C2,Art17,HAS_ARTICLE
T2-C2,Art18,HAS_ARTICLE
T2-C2,Art19,HAS_ARTICLE
T2-C2,Art20,HAS_ARTICLE
T2-C2,Art21,HAS_ARTICLE
T2-C2,Art22,HAS_ARTICLE
T2-C2,Art23,HAS_ARTICLE
T2-C2,Art24,HAS_ARTICLE
T2-C3,Art25,HAS_ARTICLE
T2-C3,Art26,HAS_ARTICLE
T2-C3,Art27,HAS_ARTICLE
T2-C3,Art28,HAS_ARTICLE
T2-C3,Art29,HAS_ARTICLE
T2-C3,Art30,HAS_ARTICLE
T2-C3,Art31,HAS_ARTICLE
T2-C3,Art32,HAS_ARTICLE
T2-C3,Art33,HAS_ARTICLE
T2-C3,Art34,HAS_ARTICLE
T2-C3,Art35,HAS_ARTICLE
T2-C3,Art36,HAS_ARTICLE
T3-C4,Art37,HAS_ARTICLE
T3-C4,Art38,HAS_ARTICLE
T3-C4,Art39,HAS_ARTICLE
T3-C4,Art40,HAS_ARTICLE
T3-C4,Art41,HAS_ARTICLE
T3-C5,Art42,HAS_ARTICLE
T3-C5,Art43,HAS_ARTICLE
T3-C5,Art44,HAS_ARTICLE
T3-C5,Art45,HAS_ARTICLE
T3-C5,Art46,HAS_ARTICLE
T3-C5,Art47,HAS_ARTICLE
T3-C5,Art48,HAS_ARTICLE
T3-C5,Art49,HAS_ARTICLE
T3-C5,Art50,HAS_ARTICLE
T3-C6,Art51,HAS_ARTICLE
T4-C7,Art52,HAS_ARTICLE
T4-C7,Art53,HAS_ARTICLE
T4-C7,Art54,HAS_ARTICLE
T4-C7,Art55,HAS_ARTICLE
T4-C7,Art56,HAS_ARTICLE
T4-C7,Art57,HAS_ARTICLE
T4-C7,Art58,HAS_ARTICLE
T5-C8,Art59,HAS_ARTICLE
T5-C8,Art60,HAS_ARTICLE
T5-C8,Art61,HAS_ARTICLE
T5-C8,Art62,HAS_ARTICLE
T5-C8,Art63,HAS_ARTICLE
T5-C8,Art64,HAS_ARTICLE
T5-C8,Art65,HAS_ARTICLE
T6-C9,Art66,HAS_ARTICLE
T6-C9,Art67,HAS_ARTICLE
T6-C9,Art68,HAS_ARTICLE
T6-C9,Art69,HAS_ARTICLE
T6-C9,Art70,HAS_ARTICLE
T6-C9,Art71,HAS_ARTICLE
T6-C9,Art72,HAS_ARTICLE
T6-C9,Art73,HAS_ARTICLE
T6-C10,Art74,HAS_ARTICLE
T6-C10,Art75,HAS_ARTICLE
T6-C10,Art76,HAS_ARTICLE
T7-C11,Art77,HAS_ARTICLE
T7-C11,Art78,HAS_ARTICLE
T7-C12,Art79,HAS_ARTICLE
T7-C12,Art80,HAS_ARTICLE
T8-C13,Art81,HAS_ARTICLE
T8-C14,Art82,HAS_ARTICLE
T8-C14,Art83,HAS_ARTICLE
T8-C15,Art84,HAS_ARTICLE
T8-C15,Art85,HAS_ARTICLE
T9-C16,Art86,HAS_ARTICLE
T9-C16,Art87,HAS_ARTICLE
T9-C16,Art88,HAS_ARTICLE
T9-C16,Art89,HAS_ARTICLE
T9-C16,Art90,HAS_ARTICLE
T9-C16,Art91,HAS_ARTICLE
T9-C16,Art92,HAS_ARTICLE
T9-C16,Art93,HAS_ARTICLE
T9-C16,Art94,HAS_ARTICLE
T9-C16,Art95,HAS_ARTICLE
T9-C16,Art96,HAS_ARTICLE
T9-C16,Art97,HAS_ARTICLE
T9-C16,Art98,HAS_ARTICLE
T9-C16,Art99,HAS_ARTICLE
T9-C16,Art100,HAS_ARTICLE
T9-C16,Art101,HAS_ARTICLE
T9-C16,Art102,HAS_ARTICLE
T9-C16,Art103,HAS_ARTICLE
T9-C16,Art104,HAS_ARTICLE
T9-C16,Art105,HAS_ARTICLE
T9-C16,Art106,HAS_ARTICLE
T9-C16,Art107,HAS_ARTICLE
T9-C17,Art108,HAS_ARTICLE
T9-C17,Art109,HAS_ARTICLE
T9-C17,Art110,HAS_ARTICLE
T9-C17,Art111,HAS_ARTICLE
T9-C17,Art112,HAS_ARTICLE
T9-C18,Art113,HAS_ARTICLE
T9-C18,Art114,HAS_ARTICLE
T10-C19,Art115,HAS_ARTICLE
T10-C19,Art116,HAS_ARTICLE
T10-C19,Art117,HAS_ARTICLE
T10-C19,Art118,HAS_ARTICLE
T10-C19,Art119,HAS_ARTICLE
T10-C19,Art120,HAS_ARTICLE
T11-C20,Art121,HAS_ARTICLE
T11-C20,Art122,HAS_ARTICLE
T11-C20,Art123,HAS_ARTICLE
T11-C20,Art124,HAS_ARTICLE
T11-C20,Art125,HAS_ARTICLE
T11-C20,Art126,HAS_ARTICLE
T11-C20,Art127,HAS_ARTICLE
T11-C20,Art128,HAS_ARTICLE
T11-C20,Art129,HAS_ARTICLE
T11-C20,Art130,HAS_ARTICLE
T11-C20,Art131,HAS_ARTICLE
T11-C21,Art132,HAS_ARTICLE
T11-C21,Art133,HAS_ARTICLE
T11-C21,Art134,HAS_ARTICLE
T11-C21,Art135,HAS_ARTICLE
T11-C21,Art136,HAS_ARTICLE
T11-C21,Art137,HAS_ARTICLE
