source_id,target_id,rel_type
Art132-I,SG-I,IS_SANCTION_GROUND
Art132-II,SG-II,IS_SANCTION_GROUND
Art132-III,SG-III,IS_SANCTION_GROUND
Art132-IV,SG-IV,IS_SANCTION_GROUND
Art132-V,SG-V,IS_SANCTION_GROUND
Art132-VI,SG-VI,IS_SANCTION_GROUND
Art132-VII,SG-VII,IS_SANCTION_GROUND
Art132-VIII,SG-VIII,IS_SANCTION_GROUND
Art132-IX,SG-IX,IS_SANCTION_GROUND
Art132-X,SG-X,IS_SANCTION_GROUND
Art132-XI,SG-XI,IS_SANCTION_GROUND
Art132-XII,SG-XII,IS_SANCTION_GROUND
Art132-XIII,SG-XIII,IS_SANCTION_GROUND
Art132-XIV,SG-XIV,IS_SANCTION_GROUND
