source_id,target_id,rel_type
DEF-3J,CL-3J-1,HAS_CLAUSE
DEF-3J,CL-3J-2,HAS_CLAUSE
DEF-3J,CL-3J-3,HAS_CLAUSE
DEF-3K,CL-3K-1,HAS_CLAUSE
DEF-3K,CL-3K-2,HAS_CLAUSE
CL-3K-2,CL-3K-2-a,HAS_CLAUSE
CL-3K-2,CL-3K-2-b,HAS_CLAUSE
CL-3K-2,CL-3K-2-c,HAS_CLAUSE
CL-3K-2,CL-3K-2-d,HAS_CLAUSE
CL-3K-2,CL-3K-2-e,HAS_CLAUSE
DEF-3K,CL-3K-3,HAS_CLAUSE
CL-3K-3,CL-3K-3-a,HAS_CLAUSE
CL-3K-3,CL-3K-3-b,HAS_CLAUSE
CL-3K-3,CL-3K-3-c,HAS_CLAUSE
DEF-3M,CL-3M-1,HAS_CLAUSE
DEF-3M,CL-3M-2,HAS_CLAUSE
SUB-4B,CL-4B-1,HAS_CLAUSE
SUB-4B,CL-4B-2,HAS_CLAUSE
SUB-4B,CL-4B-3,HAS_CLAUSE
SUB-4B,CL-4B-4,HAS_CLAUSE
SUB-4C,CL-4C-1,HAS_CLAUSE
SUB-4C,CL-4C-2,HAS_CLAUSE
SUB-4C,CL-4C-3,HAS_CLAUSE
SUB-4C,CL-4C-4,HAS_CLAUSE
CL-4C-4,CL-4C-4-a,HAS_CLAUSE
CL-4C-4,CL-4C-4-b,HAS_CLAUSE
CL-4C-4,CL-4C-4-c,HAS_CLAUSE
SUB-4C,CL-4C-5,HAS_CLAUSE
SUB-4D,CL-4D-1,HAS_CLAUSE
SUB-4D,CL-4D-2,HAS_CLAUSE
CL-4D-2,CL-4D-2-a,HAS_CLAUSE
CL-4D-2,CL-4D-2-b,HAS_CLAUSE
CL-4D-2,CL-4D-2-c,HAS_CLAUSE
CL-4D-2,CL-4D-2-d,HAS_CLAUSE
CL-4D-2,CL-4D-2-e,HAS_CLAUSE
CL-4D-2,CL-4D-2-f,HAS_CLAUSE
CL-4D-2,CL-4D-2-g,HAS_CLAUSE
CL-4D-2,CL-4D-2-h,HAS_CLAUSE
CL-4D-2,CL-4D-2-i,HAS_CLAUSE
CL-4D-2,CL-4D-2-j,HAS_CLAUSE
CL-4D-2,CL-4D-2-k,HAS_CLAUSE
SUB-4D,CL-4D-3,HAS_CLAUSE
SUB-4D,CL-4D-4,HAS_CLAUSE
SUB-4D,CL-4D-5,HAS_CLAUSE
SUB-4E,CL-4E-1,HAS_CLAUSE
SUB-4E,CL-4E-2,HAS_CLAUSE
CL-4E-2,CL-4E-2-a,HAS_CLAUSE
CL-4E-2,CL-4E-2-b,HAS_CLAUSE
SUB-4E,CL-4E-3,HAS_CLAUSE
SUB-4F,CL-4F-1,HAS_CLAUSE
SUB-4F,CL-4F-2,HAS_CLAUSE
SUB-4H,CL-4H-1,HAS_CLAUSE
SUB-4H,CL-4H-2,HAS_CLAUSE
CL-4H-2,CL-4H-2-a,HAS_CLAUSE
CL-4H-2,CL-4H-2-b,HAS_CLAUSE
CL-4H-2,CL-4H-2-c,HAS_CLAUSE
CL-4H-2,CL-4H-2-d,HAS_CLAUSE
CL-4H-2,CL-4H-2-e,HAS_CLAUSE
CL-4H-2,CL-4H-2-f,HAS_CLAUSE
CL-4H-2,CL-4H-2-g,HAS_CLAUSE
SUB-5B,CL-5B-1,HAS_CLAUSE
SUB-5B,CL-5B-2,HAS_CLAUSE
SUB-5B,CL-5B-3,HAS_CLAUSE
SUB-5B,CL-5B-4,HAS_CLAUSE
SUB-6A,CL-6A-1,HAS_CLAUSE
SUB-6A,CL-6A-2,HAS_CLAUSE
CL-6A-2,CL-6A-2-a,HAS_CLAUSE
CL-6A-2,CL-6A-2-b,HAS_CLAUSE
CL-6A-2-b,CL-6A-2-b-i,HAS_CLAUSE
CL-6A-2-b,CL-6A-2-b-ii,HAS_CLAUSE
SUB-6B,CL-6B-1,HAS_CLAUSE
SUB-6B,CL-6B-2,HAS_CLAUSE
SUB-6B,CL-6B-3,HAS_CLAUSE
SUB-6B,CL-6B-4,HAS_CLAUSE
SUB-6B,CL-6B-5,HAS_CLAUSE
SUB-6B,CL-6B-6,HAS_CLAUSE
SUB-6B,CL-6B-7,HAS_CLAUSE
SUB-6B,CL-6B-8,HAS_CLAUSE
SUB-6B,CL-6B-9,HAS_CLAUSE
SUB-6B,CL-6B-10,HAS_CLAUSE
SUB-6B,CL-6B-11,HAS_CLAUSE
SUB-6B,CL-6B-12,HAS_CLAUSE
SUB-6B,CL-6B-13,HAS_CLAUSE
SUB-6D,CL-6D-1,HAS_CLAUSE
SUB-6D,CL-6D-2,HAS_CLAUSE
SUB-6D,CL-6D-3,HAS_CLAUSE
SUB-6E,CL-6E-1,HAS_CLAUSE
CL-6E-1,CL-6E-1-a,HAS_CLAUSE
CL-6E-1,CL-6E-1-b,HAS_CLAUSE
SUB-6E,CL-6E-2,HAS_CLAUSE
CL-6E-2,CL-6E-2-a,HAS_CLAUSE
CL-6E-2,CL-6E-2-b,HAS_CLAUSE
SUB-8C,CL-8C-1,HAS_CLAUSE
SUB-8C,CL-8C-2,HAS_CLAUSE
SUB-8C,CL-8C-3,HAS_CLAUSE
SUB-8C,CL-8C-4,HAS_CLAUSE
SUB-9A,CL-9A-1,HAS_CLAUSE
SUB-9A,CL-9A-2,HAS_CLAUSE
SUB-9A,CL-9A-3,HAS_CLAUSE
