tailoringdecision_id,table,control_identifier,control_name,tailoring_criteria,security_requirement,source_document
td_0001,Table 3. Access Control (AC),AC-01,Policy and Procedures,CUI,03.15.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0002,Table 3. Access Control (AC),AC-02,Account Management,CUI,03.01.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0003,Table 3. Access Control (AC),AC-02(01),Account Management | Automated System Account Management,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0004,Table 3. Access Control (AC),AC-02(02),Account Management | Automated Temporary and Emergency Account Management,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0005,Table 3. Access Control (AC),AC-02(03),Account Management | Disable Accounts,CUI,03.01.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0006,Table 3. Access Control (AC),AC-02(04),Account Management | Automated Audit Actions,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0007,Table 3. Access Control (AC),AC-02(05),Account Management | Inactivity Logout,CUI,03.01.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0008,Table 3. Access Control (AC),AC-02(13),Account Management | Disable Accounts for High-Risk Individuals,CUI,03.01.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0009,Table 3. Access Control (AC),AC-03,Access Enforcement,CUI,03.01.02,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0010,Table 3. Access Control (AC),AC-04,Information Flow Enforcement,CUI,03.01.03,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
