source_id,target_id,rel_type
odp_001,03.01.01.f.02,ODP_APPLIES_TO_CLAUSE
odp_002,03.01.01.g.01,ODP_APPLIES_TO_CLAUSE
odp_003,03.01.01.g.02,ODP_APPLIES_TO_CLAUSE
odp_004,03.01.01.g.03,ODP_APPLIES_TO_CLAUSE
odp_005,03.01.01.h,ODP_APPLIES_TO_CLAUSE
odp_006,03.01.01.h,ODP_APPLIES_TO_CLAUSE
odp_007,03.01.05.b,ODP_APPLIES_TO_CLAUSE
odp_008,03.01.05.b,ODP_APPLIES_TO_CLAUSE
odp_009,03.01.05.c,ODP_APPLIES_TO_CLAUSE
odp_010,03.01.06.a,ODP_APPLIES_TO_CLAUSE
odp_011,03.01.08.a,ODP_APPLIES_TO_CLAUSE
odp_012,03.01.08.a,ODP_APPLIES_TO_CLAUSE
odp_013,03.01.08.b,ODP_APPLIES_TO_CLAUSE
odp_014,03.01.10.a,ODP_APPLIES_TO_CLAUSE
odp_016,03.01.20.b,ODP_APPLIES_TO_CLAUSE
odp_017,03.02.01.a.01,ODP_APPLIES_TO_CLAUSE
odp_018,03.02.01.a.02,ODP_APPLIES_TO_CLAUSE
odp_019,03.02.01.b,ODP_APPLIES_TO_CLAUSE
odp_020,03.02.01.b,ODP_APPLIES_TO_CLAUSE
odp_021,03.02.02.a.01,ODP_APPLIES_TO_CLAUSE
odp_022,03.02.02.a.02,ODP_APPLIES_TO_CLAUSE
odp_023,03.02.02.b,ODP_APPLIES_TO_CLAUSE
odp_024,03.02.02.b,ODP_APPLIES_TO_CLAUSE
odp_025,03.03.01.a,ODP_APPLIES_TO_CLAUSE
odp_026,03.03.01.b,ODP_APPLIES_TO_CLAUSE
odp_027,03.03.04.a,ODP_APPLIES_TO_CLAUSE
odp_028,03.03.04.b,ODP_APPLIES_TO_CLAUSE
odp_029,03.03.05.a,ODP_APPLIES_TO_CLAUSE
odp_030,03.03.07.b,ODP_APPLIES_TO_CLAUSE
odp_031,03.04.01.b,ODP_APPLIES_TO_CLAUSE
odp_032,03.04.02.a,ODP_APPLIES_TO_CLAUSE
odp_033,03.04.06.b,ODP_APPLIES_TO_CLAUSE
odp_034,03.04.06.c,ODP_APPLIES_TO_CLAUSE
odp_035,03.04.08.c,ODP_APPLIES_TO_CLAUSE
odp_036,03.04.10.b,ODP_APPLIES_TO_CLAUSE
odp_037,03.04.12.a,ODP_APPLIES_TO_CLAUSE
odp_038,03.04.12.b,ODP_APPLIES_TO_CLAUSE
odp_039,03.05.01.b,ODP_APPLIES_TO_CLAUSE
odp_041,03.05.05.c,ODP_APPLIES_TO_CLAUSE
odp_042,03.05.05.d,ODP_APPLIES_TO_CLAUSE
odp_043,03.05.07.a,ODP_APPLIES_TO_CLAUSE
odp_044,03.05.07.f,ODP_APPLIES_TO_CLAUSE
odp_045,03.05.12.e,ODP_APPLIES_TO_CLAUSE
odp_046,03.05.12.e,ODP_APPLIES_TO_CLAUSE
odp_047,03.06.02.b,ODP_APPLIES_TO_CLAUSE
odp_048,03.06.02.c,ODP_APPLIES_TO_CLAUSE
odp_050,03.06.04.a.01,ODP_APPLIES_TO_CLAUSE
odp_051,03.06.04.a.03,ODP_APPLIES_TO_CLAUSE
odp_052,03.06.04.b,ODP_APPLIES_TO_CLAUSE
odp_053,03.06.04.b,ODP_APPLIES_TO_CLAUSE
odp_054,03.08.07.a,ODP_APPLIES_TO_CLAUSE
odp_055,03.09.01.b,ODP_APPLIES_TO_CLAUSE
odp_056,03.09.02.a.01,ODP_APPLIES_TO_CLAUSE
odp_057,03.10.01.c,ODP_APPLIES_TO_CLAUSE
odp_058,03.10.02.b,ODP_APPLIES_TO_CLAUSE
odp_059,03.10.02.b,ODP_APPLIES_TO_CLAUSE
odp_060,03.10.06.b,ODP_APPLIES_TO_CLAUSE
odp_061,03.11.01.b,ODP_APPLIES_TO_CLAUSE
odp_062,03.11.02.a,ODP_APPLIES_TO_CLAUSE
odp_063,03.11.02.b,ODP_APPLIES_TO_CLAUSE
odp_064,03.11.02.c,ODP_APPLIES_TO_CLAUSE
odp_066,03.12.05.a,ODP_APPLIES_TO_CLAUSE
odp_067,03.12.05.c,ODP_APPLIES_TO_CLAUSE
odp_071,03.13.12.a,ODP_APPLIES_TO_CLAUSE
odp_072,03.14.01.b,ODP_APPLIES_TO_CLAUSE
odp_073,03.14.02.c.01,ODP_APPLIES_TO_CLAUSE
odp_074,03.15.01.b,ODP_APPLIES_TO_CLAUSE
odp_075,03.15.02.b,ODP_APPLIES_TO_CLAUSE
odp_076,03.15.03.d,ODP_APPLIES_TO_CLAUSE
odp_078,03.16.03.a,ODP_APPLIES_TO_CLAUSE
odp_079,03.17.01.b,ODP_APPLIES_TO_CLAUSE
odp_080,03.17.03.b,ODP_APPLIES_TO_CLAUSE
