acronym_id,acronym,expansion,clause,source_document
ACR-API,API,Application Programming Interface,Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
ACR-BYOD,BYOD,Bring Your Own Device,Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
ACR-CDM,CDM,Continuous Diagnostics and Mitigation,Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
ACR-DHS,DHS,Department of Homeland Security,Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
ACR-G2B,G2B,Government to Business (private industry),Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
ACR-G2G,G2G,Government to Government,Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
ACR-NIST,NIST,National Institute of Standards and Technology,Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
ACR-NPE,NPE,Non-Person Entity,Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
ACR-PA,PA,Policy Administrator,Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
ACR-PDP,PDP,Policy Decision Point,Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
ACR-PE,PE,Policy Engine,Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
ACR-PEP,PEP,Policy Enforcement Point,Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
ACR-PKI,PKI,Public Key Infrastructure,Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
ACR-RMF,RMF,NIST Risk Management Framework,Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
ACR-SDN,SDN,Software Defined Network,Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
ACR-SDP,SDP,Software Defined Perimeter,Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
ACR-SIEM,SIEM,Security Information and Event Monitoring,Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
ACR-TIC,TIC,Trusted Internet Connections,Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
ACR-VPN,VPN,Virtual Private Network,Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
ACR-ZT,ZT,Zero Trust,Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
ACR-ZTA,ZTA,Zero Trust Architecture,Appendix A,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
