source_id,target_id,rel_type,note
SP800-207,REF-ACT-IAC,CITES_REFERENCE,References
SP800-207,REF-Anderson,CITES_REFERENCE,References
SP800-207,REF-BCORE,CITES_REFERENCE,References
SP800-207,REF-CSA-SDP,CITES_REFERENCE,References
SP800-207,REF-FIPS199,CITES_REFERENCE,References
SP800-207,REF-Gilman,CITES_REFERENCE,References
SP800-207,REF-HWAM,CITES_REFERENCE,References
SP800-207,REF-IBNVN,CITES_REFERENCE,References
SP800-207,REF-JERICHO,CITES_REFERENCE,References
SP800-207,REF-M-19-03,CITES_REFERENCE,References
SP800-207,REF-M-19-17,CITES_REFERENCE,References
SP800-207,REF-M-19-19,CITES_REFERENCE,References
SP800-207,REF-M-19-26,CITES_REFERENCE,References
SP800-207,REF-NISTIR 7987,CITES_REFERENCE,References
SP800-207,REF-NISTIR 8062,CITES_REFERENCE,References
SP800-207,REF-NISTPRIV,CITES_REFERENCE,References
SP800-207,REF-SDNBOOK,CITES_REFERENCE,References
SP800-207,REF-SP800-37,CITES_REFERENCE,References
SP800-207,REF-SP800-63,CITES_REFERENCE,References
SP800-207,REF-SP800-63A,CITES_REFERENCE,References
SP800-207,REF-SP800-160v1,CITES_REFERENCE,References
SP800-207,REF-SP800-160v2,CITES_REFERENCE,References
SP800-207,REF-SP800-162,CITES_REFERENCE,References
SP800-207,REF-SWAM,CITES_REFERENCE,References
SP800-207,REF-B-1,CITES_REFERENCE,B.5
SP800-207,REF-B-2,CITES_REFERENCE,B.5
SP800-207,REF-B-3,CITES_REFERENCE,B.5
SP800-207,REF-B-4,CITES_REFERENCE,B.5
SP800-207,REF-B-5,CITES_REFERENCE,B.5
